Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Брединская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №2332									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22042	1116	367	1021	708	1368	916	1037	1061	485	475	961	348	595	1125	159	156	169	1115	453	438	303	133	1129	680	193	86	903	267	1186	133	1079	170	96	1024	257	330									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21180	1050	350	1000	650	1300	900	1000	1000	450	450	900	350	550	1100	150	150	160	1100	450	400	300	130	1100	650	190	80	900	270	1100	130	1050	170	100	1000	250	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9089	480	151	330	313	380	325	406	361	153	227	459	175	253	478	77	86	84	456	192	173	102	57	480	364	81	54	388	97	581	45	486	74	35	423	127	136									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	799	66	6	31	18	25	16	51	19	26	13	25	13	24	19	6	0	4	43	17	12	4	0	33	36	0	6	53	17	72	23	56	5	1	47	10	2									
6	Число погашенных избирательных бюллетеней	11292	504	193	639	319	895	559	543	620	271	210	416	162	273	603	67	64	72	601	241	215	194	73	587	250	109	20	459	156	447	62	508	91	64	530	113	162									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	799	66	6	31	18	25	16	51	19	26	13	25	13	24	19	6	0	4	43	17	12	4	0	33	36	0	6	53	17	72	23	56	5	1	47	10	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9088	480	151	330	312	380	325	406	361	153	227	459	175	253	478	77	86	84	456	192	173	102	57	480	364	81	54	388	97	581	45	486	74	35	423	127	136									
9	Число недействительных избирательных бюллетеней	215	6	2	10	4	9	14	10	10	3	3	8	4	11	9	5	4	1	10	4	4	2	0	9	4	1	0	18	1	1	0	15	3	2	19	5	4									
10	Число действительных избирательных бюллетеней	9672	540	155	351	326	396	327	447	370	176	237	476	184	266	488	78	82	87	489	205	181	104	57	504	396	80	60	423	113	652	68	527	76	34	451	132	134									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	383	20	10	15	10	10	10	15	28	5	5	15	5	10	15	5	5	5	15	5	5	5	5	15	10	5	5	15	10	15	15	15	10	10	15	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	133	5	2	3	3	5	6	10	12	1	0	4	3	1	8	0	0	0	9	0	0	0	0	4	3	0	3	5	0	7	0	7	4	3	15	10	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	39	1	2	2	6	1	1	0	1	1	2	2	1	3	0	0	0	2	0	0	0	0	1	4	0	0	0	1	0	1	1	2	1	1	0	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	250	15	8	12	7	5	4	5	16	4	5	11	2	9	7	5	5	5	6	5	5	5	5	11	7	5	2	10	10	8	15	8	6	7	0	0	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	2	0	3	4	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	96	6	1	1	5	3	4	9	2	1	2	8	4	1	5	0	0	1	7	3	2	0	0	1	1	0	0	10	2	5	1	4	1	0	4	0	2									
		0.97%	1.10%	0.64%	0.28%	1.52%	0.74%	1.17%	1.97%	0.53%	0.56%	0.83%	1.65%	2.13%	0.36%	1.01%	0.00%	0.00%	1.14%	1.40%	1.44%	1.08%	0.00%	0.00%	0.19%	0.25%	0.00%	0.00%	2.27%	1.75%	0.77%	1.47%	0.74%	1.27%	0.00%	0.85%	0.00%	1.45%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	349	20	4	13	4	12	9	19	16	6	21	13	6	11	30	6	2	5	18	5	6	5	0	27	14	1	2	11	5	22	1	12	2	1	15	2	3									
		3.53%	3.66%	2.55%	3.60%	1.21%	2.96%	2.64%	4.16%	4.21%	3.35%	8.75%	2.69%	3.19%	3.97%	6.04%	7.23%	2.33%	5.68%	3.61%	2.39%	3.24%	4.72%	0.00%	5.26%	3.50%	1.23%	3.33%	2.49%	4.39%	3.37%	1.47%	2.21%	2.53%	2.78%	3.19%	1.46%	2.17%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	136	10	0	0	4	3	5	5	12	3	6	7	10	2	4	1	1	1	16	3	4	0	0	9	2	0	0	8	1	6	1	7	0	0	3	2	0									
		1.38%	1.83%	0.00%	0.00%	1.21%	0.74%	1.47%	1.09%	3.16%	1.68%	2.50%	1.45%	5.32%	0.72%	0.80%	1.20%	1.16%	1.14%	3.21%	1.44%	2.16%	0.00%	0.00%	1.75%	0.50%	0.00%	0.00%	1.81%	0.88%	0.92%	1.47%	1.29%	0.00%	0.00%	0.64%	1.46%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4726	210	66	141	142	167	127	153	146	90	126	201	89	171	237	39	46	69	223	93	96	61	53	263	228	56	13	198	66	447	54	247	54	11	206	77	60									
		47.80%	38.46%	42.04%	39.06%	43.03%	41.23%	37.24%	33.48%	38.42%	50.28%	52.50%	41.53%	47.34%	61.73%	47.69%	46.99%	53.49%	78.41%	44.69%	44.50%	51.89%	57.55%	92.98%	51.27%	57.00%	69.14%	21.67%	44.90%	57.89%	68.45%	79.41%	45.57%	68.35%	30.56%	43.83%	56.20%	43.48%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	32	2	0	1	2	2	1	3	1	0	1	2	0	0	1	0	0	0	5	0	1	0	0	1	0	0	1	0	0	2	1	3	0	0	1	1	0									
		0.32%	0.37%	0.00%	0.28%	0.61%	0.49%	0.29%	0.66%	0.26%	0.00%	0.42%	0.41%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	1.00%	0.00%	0.54%	0.00%	0.00%	0.19%	0.00%	0.00%	1.67%	0.00%	0.00%	0.31%	1.47%	0.55%	0.00%	0.00%	0.21%	0.73%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	16	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	3	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	2	0	0									
		0.16%	0.00%	0.00%	0.00%	0.00%	0.25%	0.29%	0.22%	0.00%	0.00%	0.00%	0.00%	0.53%	0.36%	0.20%	0.00%	0.00%	0.00%	0.60%	0.48%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.18%	1.27%	0.00%	0.43%	0.00%	0.00%									
