Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Алтайская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20240	416	1663	1164	2541	1843	1224	647	1500	1738	806	1203	385	1642	194	203	290	219	169	197	873	729	261	333									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19600	400	1600	1150	2500	1750	1200	600	1450	1700	800	1150	350	1600	180	200	280	200	160	190	850	700	250	340									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8009	162	591	430	1098	743	419	247	546	579	341	652	180	609	82	66	107	89	70	90	330	299	129	150									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	917	8	51	28	55	73	36	110	86	54	43	49	23	67	1	9	15	30	9	27	11	82	26	24									
6	Число погашенных избирательных бюллетеней	10674	230	958	692	1347	934	745	243	818	1067	416	449	147	924	97	125	158	81	81	73	509	319	95	166									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	917	8	51	28	55	73	36	110	86	54	43	49	23	67	1	9	15	30	9	27	11	82	26	24									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8005	162	591	429	1098	742	418	247	546	579	341	652	180	609	82	66	107	89	70	90	330	299	128	150									
9	Число недействительных избирательных бюллетеней	204	1	25	12	19	21	9	6	8	19	4	22	5	17	3	0	5	0	7	4	3	8	1	5									
10	Число действительных избирательных бюллетеней	8718	169	617	445	1134	794	445	351	624	614	380	679	198	659	80	75	117	119	72	113	338	373	153	169									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	186	4	19	10	21	15	8	4	12	13	12	9	6	7	3	4	5	4	2	3	4	9	5	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	128	3	19	7	18	13	5	2	8	12	12	9	4	3	1	0	0	3	0	0	1	1	2	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	83	1	6	9	9	8	2	1	4	3	4	3	1	10	3	3	1	1	2	2	4	3	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	58	1	0	3	3	2	3	2	4	1	0	0	2	4	2	4	5	1	2	3	3	8	3	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	1	1	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	84	4	4	5	12	6	4	2	6	3	4	3	1	8	2	1	1	1	1	2	5	5	2	2									
		0.94%	2.35%	0.62%	1.09%	1.04%	0.74%	0.88%	0.56%	0.95%	0.47%	1.04%	0.43%	0.49%	1.18%	2.41%	1.33%	0.82%	0.84%	1.27%	1.71%	1.47%	1.31%	1.30%	1.15%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	451	7	26	29	54	58	32	15	29	39	17	30	4	26	1	1	6	4	1	7	24	29	1	11									
		5.05%	4.12%	4.05%	6.35%	4.68%	7.12%	7.05%	4.20%	4.59%	6.16%	4.43%	4.28%	1.97%	3.85%	1.20%	1.33%	4.92%	3.36%	1.27%	5.98%	7.04%	7.61%	0.65%	6.32%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	140	4	7	6	12	19	12	3	8	11	5	10	2	17	3	2	1	2	1	1	1	9	2	2									
		1.57%	2.35%	1.09%	1.31%	1.04%	2.33%	2.64%	0.84%	1.27%	1.74%	1.30%	1.43%	0.99%	2.51%	3.61%	2.67%	0.82%	1.68%	1.27%	0.85%	0.29%	2.36%	1.30%	1.15%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3388	51	237	139	397	259	125	159	250	250	171	342	98	254	39	23	38	49	35	38	110	175	87	62									
		37.97%	30.00%	36.92%	30.42%	34.43%	31.78%	27.53%	44.54%	39.56%	39.49%	44.53%	48.79%	48.28%	37.57%	46.99%	30.67%	31.15%	41.18%	44.30%	32.48%	32.26%	45.93%	56.49%	35.63%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	51	3	5	3	12	5	3	3	7	1	0	0	1	4	0	0	1	0	0	1	1	0	1	0									
		0.57%	1.76%	0.78%	0.66%	1.04%	0.61%	0.66%	0.84%	1.11%	0.16%	0.00%	0.00%	0.49%	0.59%	0.00%	0.00%	0.82%	0.00%	0.00%	0.85%	0.29%	0.00%	0.65%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	14	0	2	0	1	0	0	0	2	3	2	0	0	1	0	0	0	0	1	0	0	0	2	0									
		0.16%	0.00%	0.31%	0.00%	0.09%	0.00%	0.00%	0.00%	0.32%	0.47%	0.52%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	1.27%	0.00%	0.00%	0.00%	1.30%	0.00%									
