Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																										
Дата голосования: 04.12.2011																										
																										
Наименование Избирательной комиссии:    Шалинская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068					
1	"Число избирателей, внесенных в список избирателей"	17284	2331	2407	872	1202	1531	1312	825	121	680	147	693	491	1070	1123	583	1069	137	602	88					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17106	2250	2390	870	1200	1520	1310	840	117	700	140	700	460	1040	1120	580	1050	140	590	89					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	309	0	39	0	34	0	17	11	0	95	0	67	0	46	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7055	1022	896	403	422	665	406	345	77	306	79	275	244	379	479	228	450	59	283	37					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1426	117	115	21	97	154	232	115	6	53	10	79	24	66	100	36	113	8	65	15					
6	Число погашенных избирательных бюллетеней	8316	1111	1340	446	647	701	655	369	34	246	51	279	192	549	541	316	487	73	242	37					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1735	117	154	21	131	154	249	126	6	148	10	146	24	112	100	36	113	8	65	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7050	1018	896	403	421	665	406	345	77	306	79	275	244	379	479	228	450	59	283	37					
9	Число недействительных избирательных бюллетеней	153	19	13	6	22	7	2	8	0	2	0	7	12	14	16	5	14	0	6	0					
10	Число действительных избирательных бюллетеней	8632	1116	1037	418	530	812	653	463	83	452	89	414	256	477	563	259	549	67	342	52					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	245	20	25	10	10	15	15	10	10	20	10	20	10	10	15	5	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	167	15	25	6	4	9	8	10	1	20	10	14	6	3	12	1	8	2	8	5					
