Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Касимовская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24202	426	548	290	288	284	145	212	479	584	164	477	196	118	412	276	141	205	805	303	300	381	1384	453	805	435	737	150	153	853	874	490	561	279	164	338	378	716	477	171	324	1062	733	113	1846	820	149	1312	1391									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23972	400	550	290	288	290	148	200	480	590	165	480	197	117	400	270	135	200	800	300	300	380	1300	450	800	430	730	151	149	850	880	490	550	280	166	340	380	730	470	170	320	1050	740	117	1800	820	149	1300	1380									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8182	205	181	54	85	127	22	55	191	255	50	134	59	59	125	69	55	79	244	103	143	143	602	113	228	91	253	80	50	184	180	125	207	52	78	134	137	283	176	56	134	357	284	23	653	353	20	378	513									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3097	54	104	83	40	32	60	43	52	77	70	80	36	30	103	53	29	29	93	40	24	57	45	91	94	109	123	10	37	109	109	129	80	103	10	36	11	47	36	14	32	49	36	32	133	24	51	98	260									
6	Число погашенных избирательных бюллетеней	12693	141	265	153	163	131	66	102	237	258	45	266	102	28	172	148	51	92	463	157	133	180	653	246	478	230	354	61	62	557	591	236	263	125	78	170	232	400	258	100	154	644	420	62	1014	443	78	824	607									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3097	54	104	83	40	32	60	43	52	77	70	80	36	30	103	53	29	29	93	40	24	57	45	91	94	109	123	10	37	109	109	129	80	103	10	36	11	47	36	14	32	49	36	32	133	24	51	98	260									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8181	205	181	54	85	127	22	55	191	255	50	134	59	59	125	69	55	79	244	103	143	143	602	113	228	91	253	80	50	184	180	125	207	52	78	134	137	283	176	56	134	357	284	23	652	353	20	378	513									
9	Число недействительных избирательных бюллетеней	133	5	4	0	2	5	0	2	5	1	0	1	0	2	0	3	2	1	5	2	3	1	10	1	5	1	4	0	0	3	3	3	4	0	2	4	2	7	1	0	1	6	2	0	9	8	0	7	6									
10	Число действительных избирательных бюллетеней	11145	254	281	137	123	154	82	96	238	331	120	213	95	87	228	119	82	107	332	141	164	199	637	203	317	199	372	90	87	290	286	251	283	155	86	166	146	323	211	70	165	400	318	55	776	369	71	469	767									
