Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Косинская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №4901	УИК №4902	УИК №4903	УИК №4904	УИК №4905	УИК №4906	УИК №4907	УИК №4908	УИК №4909	УИК №4910	УИК №4911	УИК №4912	УИК №4913	УИК №4914	УИК №4915	УИК №4916	УИК №4917									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6032	2062	941	66	69	339	294	205	285	113	223	379	216	153	91	276	164	156									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6100	2060	955	67	70	350	300	205	285	120	220	388	225	155	95	280	170	155									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2247	730	331	33	31	132	104	54	104	35	100	161	85	53	49	109	55	81									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	101	16	5	0	0	12	9	2	13	4	4	1	12	3	1	4	9	6									
6	Число погашенных избирательных бюллетеней	3752	1314	619	34	39	206	187	149	168	81	116	226	128	99	45	167	106	68									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	101	16	5	0	0	12	9	2	13	4	4	1	12	3	1	4	9	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2247	730	331	33	31	132	104	54	104	35	100	161	85	53	49	109	55	81									
9	Число недействительных избирательных бюллетеней	105	25	15	2	1	8	9	4	9	1	8	5	6	2	2	4	2	2									
10	Число действительных избирательных бюллетеней	2243	721	321	31	30	136	104	52	108	38	96	157	91	54	48	109	62	85									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	193	37	15	5	5	10	13	10	10	10	8	10	10	10	10	15	10	5									
