Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Новоульяновская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14976	2083	2324	661	1474	1225	723	2195	267	845	521	88	2018	552									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13040	1800	2000	600	1200	1000	600	2000	250	700	500	90	1800	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5835	810	934	266	554	527	246	923	99	298	211	43	662	262									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	350	53	40	4	13	14	19	19	5	36	25	7	94	21									
6	Число погашенных избирательных бюллетеней	6855	937	1026	330	633	459	335	1058	146	366	264	40	1044	217									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	350	53	40	4	13	14	19	19	5	36	25	7	94	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5831	809	934	266	554	527	246	923	99	298	211	43	659	262									
9	Число недействительных избирательных бюллетеней	106	16	9	3	16	13	6	15	2	7	6	0	6	7									
10	Число действительных избирательных бюллетеней	6075	846	965	267	551	528	259	927	102	327	230	50	747	276									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	260	20	20	15	15	15	15	20	5	15	30	10	50	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	124	8	9	0	3	7	1	5	1	2	24	7	46	11									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	50	11	11	0	3	7	0	3	2	0	0	5	7	1									
14	Число погашенных неиспользованных открепительных удостоверений	136	12	11	15	12	8	14	15	4	13	6	3	4	19									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	2	1	1	1	3	0	1	0	2	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	78	21	12	0	3	6	5	8	1	7	3	2	10	0									
		1.26%	2.44%	1.23%	0.00%	0.53%	1.11%	1.89%	0.85%	0.96%	2.10%	1.27%	4.00%	1.33%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	231	25	47	9	18	26	16	39	4	17	4	1	19	6									
		3.74%	2.90%	4.83%	3.33%	3.17%	4.81%	6.04%	4.14%	3.85%	5.09%	1.69%	2.00%	2.52%	2.12%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	154	22	32	3	15	9	4	19	1	14	6	0	26	3									
		2.49%	2.55%	3.29%	1.11%	2.65%	1.66%	1.51%	2.02%	0.96%	4.19%	2.54%	0.00%	3.45%	1.06%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2530	333	414	125	234	226	99	346	53	111	126	21	318	124									
		40.93%	38.63%	42.51%	46.30%	41.27%	41.77%	37.36%	36.73%	50.96%	33.23%	53.39%	42.00%	42.23%	43.82%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	19	3	1	1	1	3	2	4	1	0	1	0	1	1									
		0.31%	0.35%	0.10%	0.37%	0.18%	0.55%	0.75%	0.42%	0.96%	0.00%	0.42%	0.00%	0.13%	0.35%									
24	"6. Политическая партия ""Гражданская Платформа"""	17	3	1	1	3	1	2	2	0	2	1	0	0	1									
		0.28%	0.35%	0.10%	0.37%	0.53%	0.18%	0.75%	0.21%	0.00%	0.60%	0.42%	0.00%	0.00%	0.35%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1545	214	207	60	134	137	63	240	15	88	53	12	222	100									
		24.99%	24.83%	21.25%	22.22%	23.63%	25.32%	23.77%	25.48%	14.42%	26.35%	22.46%	24.00%	29.48%	35.34%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	32	3	5	7	3	1	2	4	0	0	0	1	6	0									
		0.52%	0.35%	0.51%	2.59%	0.53%	0.18%	0.75%	0.42%	0.00%	0.00%	0.00%	2.00%	0.80%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	106	7	18	6	14	6	8	25	4	8	0	1	8	1									
		1.71%	0.81%	1.85%	2.22%	2.47%	1.11%	3.02%	2.65%	3.85%	2.40%	0.00%	2.00%	1.06%	0.35%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	9	0	2	0	1	0	0	3	0	0	1	0	2	0									
		0.15%	0.00%	0.21%	0.00%	0.18%	0.00%	0.00%	0.32%	0.00%	0.00%	0.42%	0.00%	0.27%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	69	12	13	5	8	4	4	12	2	6	0	0	2	1									
		1.12%	1.39%	1.33%	1.85%	1.41%	0.74%	1.51%	1.27%	1.92%	1.80%	0.00%	0.00%	0.27%	0.35%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1080	171	183	41	96	83	50	192	19	63	31	11	108	32									
		17.47%	19.84%	18.79%	15.19%	16.93%	15.34%	18.87%	20.38%	18.27%	18.86%	13.14%	22.00%	14.34%	11.31%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	20	2	4	2	2	1	0	4	0	1	0	0	1	3									
		0.32%	0.23%	0.41%	0.74%	0.35%	0.18%	0.00%	0.42%	0.00%	0.30%	0.00%	0.00%	0.13%	1.06%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	185	30	26	7	19	25	4	29	2	10	4	1	24	4									
		2.99%	3.48%	2.67%	2.59%	3.35%	4.62%	1.51%	3.08%	1.92%	2.99%	1.69%	2.00%	3.19%	1.41%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
