Выборы Президента Российской Федерации																						
																						
Наименование Избирательной комиссии:    Пыть-Яхская городская																						
																						
Итоги голосования 																						
																						
		Сумма	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380					
1	"Число избирателей, внесенных в список"	29844	2447	2017	2614	2801	2452	2218	2124	2811	1053	1554	1601	1572	1400	1242	1938					
2	Число полученных избирательных бюллетеней	29690	2500	2000	2630	2800	2440	2220	2110	2770	1060	1500	1590	1550	1380	1240	1900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17763	1559	1152	1607	1655	1543	1285	1370	1540	654	865	930	1182	771	654	996					
5	"Число избирательных бюллетеней, выданных вне помещения"	226	20	15	17	11	12	12	13	26	22	27	8	6	12	7	18					
6	Число погашенных избирательных бюллетеней	11701	921	833	1006	1134	885	923	727	1204	384	608	652	362	597	579	886					
7	Число избирательных бюллетеней в переносных ящиках	226	20	15	17	11	12	12	13	26	22	27	8	6	12	7	18					
8	Число бюллетеней в стационарных ящиках для голосования	17762	1559	1152	1607	1655	1543	1285	1370	1540	654	865	930	1182	771	654	995					
9	Число недействительных избирательных бюллетеней	130	16	7	8	6	16	10	10	12	3	14	1	6	13	4	4					
10	Число действительных избирательных бюллетеней	17858	1563	1160	1616	1660	1539	1287	1373	1554	673	878	937	1182	770	657	1009					
11	Число полученных открепительных  удостоверений	326	30	29	20	28	30	30	30	11	13	10	25	25	15	15	15					
12	Число выданных открепительных удостоверений	231	30	20	20	28	18	19	17	11	10	10	5	15	7	6	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	86	16	11	5	11	5	2	5	5	4	5	5	3	5	0	4					
14	Число неиспользованных открепительных удостоверений	95	0	9	0	0	12	11	13	0	3	0	20	10	8	9	0					
15	"Число открепительных удостоверений, выданных в ТИК"	24	4	2	4	4	2	0	2	0	0	0	0	0	5	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																						
18	. Глазьев Сергей Юрьевич	564	53	42	58	57	53	37	46	51	25	28	23	23	15	23	30					
		3.14%	3.36%	3.60%	3.57%	3.42%	3.41%	2.85%	3.33%	3.26%	3.70%	3.14%	2.45%	1.94%	1.92%	3.48%	2.96%					
19	. Малышкин Олег Александрович	451	38	30	34	43	30	39	25	36	23	31	29	27	16	17	33					
		2.51%	2.41%	2.57%	2.09%	2.58%	1.93%	3.01%	1.81%	2.30%	3.40%	3.48%	3.09%	2.27%	2.04%	2.57%	3.26%					
20	. Миронов Сергей Михайлович	98	9	7	4	7	12	8	6	4	5	5	11	3	8	3	6					
		0.54%	0.57%	0.60%	0.25%	0.42%	0.77%	0.62%	0.43%	0.26%	0.74%	0.56%	1.17%	0.25%	1.02%	0.45%	0.59%					
21	. Путин Владимир Владимирович	13429	1142	875	1201	1240	1134	960	1054	1179	536	679	705	965	587	471	701					
		74.66%	72.32%	74.98%	73.95%	74.43%	72.93%	74.02%	76.21%	75.29%	79.29%	76.12%	75.16%	81.23%	74.97%	71.26%	69.20%					
22	. Хакамада Ирина Муцуовна	742	69	39	89	87	77	51	57	50	29	30	39	31	18	29	47					
		4.12%	4.37%	3.34%	5.48%	5.22%	4.95%	3.93%	4.12%	3.19%	4.29%	3.36%	4.16%	2.61%	2.30%	4.39%	4.64%					
23	. Харитонов Николай Михайлович	1759	172	99	144	150	153	147	132	173	39	74	87	98	93	49	149					
		9.78%	10.89%	8.48%	8.87%	9.00%	9.84%	11.33%	9.54%	11.05%	5.77%	8.30%	9.28%	8.25%	11.88%	7.41%	14.71%					
																						
24	Против всех	815	80	68	86	76	80	45	53	61	16	31	43	35	33	65	43					
		4.53%	5.07%	5.83%	5.30%	4.56%	5.14%	3.47%	3.83%	3.90%	2.37%	3.48%	4.58%	2.95%	4.21%	9.83%	4.24%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
