Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																															
Дата голосования: 04.12.2011																																																															
																																																															
Наименование Избирательной комиссии:    Узловская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802					
1	"Число избирателей, внесенных в список избирателей"	69832	1603	1580	387	1301	2050	1539	1364	1397	595	421	374	2281	1845	2047	2005	1618	2040	1745	1694	1530	1523	1509	2107	2395	2448	1843	1973	1933	1746	1449	1466	1075	1836	1689	2493	1947	702	608	430	2103	672	2210	592	363	281	321	777	253	298	271	488	230	163	78	65	79					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	69850	1650	1550	350	1350	2100	1550	1350	1400	600	480	440	2250	1850	2100	2000	1550	2050	1750	1700	1550	1500	1550	2150	2450	2450	1850	2000	1950	1700	1350	1450	1050	1850	1750	2450	2000	700	650	400	2050	650	2150	500	350	300	300	750	250	300	250	500	250	160	80	60	80					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	40660	682	614	161	554	1009	692	621	705	235	349	210	1384	1450	1829	1392	1203	871	1306	1152	1040	904	937	1352	1792	1623	1038	1294	1100	821	1129	1205	349	808	664	971	911	361	165	125	1486	380	1036	226	146	152	223	588	197	165	151	395	130	160	78	60	79					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4936	85	153	4	316	105	152	143	82	214	42	127	124	68	106	56	133	80	75	70	65	60	43	78	52	36	87	154	70	33	39	245	54	51	36	58	249	84	151	88	131	172	111	144	42	88	61	114	30	29	36	53	57	0	0	0	0					
6	Число погашенных избирательных бюллетеней	24254	883	783	185	480	986	706	586	613	151	89	103	742	332	165	552	214	1099	369	478	445	536	570	720	606	791	725	552	780	846	182	0	647	991	1050	1421	840	255	334	187	433	98	1003	130	162	60	16	48	23	106	63	52	63	0	2	0	1					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4936	85	153	4	316	105	152	143	82	214	42	127	124	68	106	56	133	80	75	70	65	60	43	78	52	36	87	154	70	33	39	245	54	51	36	58	249	84	151	88	131	172	111	144	42	88	61	114	30	29	36	53	57	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	40644	682	614	161	554	1009	692	621	705	235	349	210	1384	1449	1829	1390	1203	871	1306	1146	1040	904	937	1351	1791	1623	1038	1294	1100	817	1129	1205	349	808	664	971	910	361	165	125	1486	380	1036	226	146	152	223	588	197	165	151	395	130	160	78	60	79					
9	Число недействительных избирательных бюллетеней	605	11	35	11	34	7	16	56	10	8	1	2	4	21	12	20	12	11	11	17	18	3	8	8	20	23	27	48	5	9	7	0	7	9	9	14	10	5	6	2	13	3	25	0	1	0	4	5	2	3	2	2	0	4	1	1	2					
10	Число действительных избирательных бюллетеней	44975	756	732	154	836	1107	828	708	777	441	390	335	1504	1496	1923	1426	1324	940	1370	1199	1087	961	972	1421	1823	1636	1098	1400	1165	841	1161	1450	396	850	691	1015	1149	440	310	211	1604	549	1122	370	187	240	280	697	225	191	185	446	187	156	77	59	77					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1596	40	35	14	28	40	30	30	38	33	10	10	47	33	42	50	31	52	32	43	35	30	35	40	40	42	45	40	53	35	45	30	20	40	35	43	60	10	20	10	40	10	40	10	15	25	20	10	10	10	20	10	30	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1536	37	35	12	27	30	30	30	38	33	10	3	47	33	41	49	30	51	32	43	35	28	34	40	40	42	45	40	50	35	45	30	13	40	35	43	60	10	20	10	40	10	40	4	15	25	20	10	1	10	20	5	30	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1325	32	25	6	18	21	8	52	32	10	4	13	55	36	8	39	26	20	19	27	22	30	13	24	38	24	18	23	24	85	139	14	10	13	12	14	5	4	8	5	80	28	106	12	6	8	6	6	1	7	4	9	2	36	5	13	20					
14	Число погашенных неиспользованных открепительных удостоверений	60	3	0	2	1	10	0	0	0	0	0	7	0	0	1	1	1	1	0	0	0	2	1	0	0	0	0	0	3	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	9	0	0	5	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	204	7	3	1	11	5	2	2	2	0	0	0	8	17	6	11	3	12	11	10	7	5	4	9	6	7	3	7	5	3	0	4	3	5	5	4	4	0	0	2	6	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
