Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Павлово-Посадская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289	УИК №2290	УИК №2291	УИК №2292									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	65222	257	1058	2014	1992	1433	890	2321	1837	1705	1673	1824	1677	1665	1438	1432	1164	1766	1772	1861	1863	1775	1834	1850	1797	1373	1854	1281	1382	1716	1464	1027	1242	2018	1847	268	715	298	301	830	795	698	198	1464	1100	546	1764	289	723	411	306	414									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	64560	400	1000	2000	2000	1400	800	2300	1800	1700	1700	1800	1700	1600	1400	1400	1100	1800	1800	1900	1800	1800	1800	1900	1800	1400	1900	1300	1300	1700	1400	1000	1200	2000	1900	270	700	260	250	800	800	700	200	1400	1100	500	1700	280	700	400	300	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21876	191	356	700	659	515	298	815	684	587	522	608	550	523	478	489	361	556	538	602	545	638	641	696	613	406	631	455	370	576	468	279	405	586	728	71	286	57	99	215	267	196	72	578	336	173	640	146	268	128	113	162									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1244	60	7	11	23	7	5	13	18	10	5	9	5	55	21	17	5	6	27	12	5	11	4	14	14	13	8	11	58	12	20	32	28	35	24	20	9	85	32	42	18	48	42	18	37	35	15	18	48	61	47	64									
6	Число погашенных избирательных бюллетеней	41439	149	637	1289	1318	878	497	1472	1098	1103	1173	1183	1145	1022	901	894	734	1238	1235	1286	1250	1151	1155	1190	1173	981	1261	834	872	1112	912	689	767	1379	1148	179	405	118	119	543	515	456	86	804	726	292	1045	116	384	211	140	174									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1243	60	7	11	23	7	5	13	18	10	5	9	5	55	21	17	5	6	27	12	5	11	4	14	14	13	8	10	58	12	20	32	28	35	24	20	9	85	32	42	18	48	42	18	37	35	15	18	48	61	47	64									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	21852	191	355	700	659	514	298	815	683	586	522	607	550	523	478	489	361	556	538	590	543	638	641	696	613	406	631	455	370	576	468	279	405	585	728	71	286	57	99	215	267	196	72	578	333	173	639	146	268	128	113	162									
9	Число недействительных избирательных бюллетеней	1034	16	6	21	36	23	6	34	25	21	19	32	32	20	20	23	14	33	59	33	28	19	24	26	27	16	37	22	6	29	28	14	20	18	34	2	16	3	6	21	16	16	2	24	20	7	42	7	14	7	5	5									
10	Число действительных избирательных бюллетеней	22061	235	356	690	646	498	297	794	676	575	508	584	523	558	479	483	352	529	506	569	520	630	621	684	600	403	602	443	422	559	460	297	413	602	718	89	279	139	125	236	269	228	112	572	350	201	612	157	302	182	155	221									
