Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Кировградская городская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23545	2586	2415	2071	1957	2147	1823	1709	1603	1486	2114	1513	991	1130									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17740	1950	1840	1580	1430	1620	1390	1290	1170	1130	1590	1150	750	850									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9355	1203	1075	836	647	974	804	664	667	513	691	501	363	417									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	556	42	13	32	133	13	14	23	32	13	34	73	52	82									
6	Число погашенных избирательных бюллетеней	7829	705	752	712	650	633	572	603	471	604	865	576	335	351									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	556	42	13	32	133	13	14	23	32	13	34	73	52	82									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9346	1202	1075	835	643	974	804	662	667	513	691	500	363	417									
9	Число недействительных избирательных бюллетеней	297	35	35	34	22	37	20	20	21	19	15	22	8	9									
10	Число действительных избирательных бюллетеней	9605	1209	1053	833	754	950	798	665	678	507	710	551	407	490									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	508	40	60	40	60	40	30	38	30	40	40	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	387	40	46	40	51	28	26	33	14	35	24	20	11	19									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	148	8	6	5	6	12	6	4	36	14	23	7	8	13									
14	Число погашенных неиспользованных открепительных удостоверений	121	0	14	0	9	12	4	5	16	5	16	10	19	11									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	1	0	3	3	1	1	0	0	1	5	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
