Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Щелковская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК №3161	УИК №3162	УИК №3163	УИК №3164	УИК №3165	УИК №3166	УИК №3167	УИК №3168					
1	"Число избирателей, внесенных в списки"	10608	618	438	326	2823	3252	606	459	2086					
2	"Число бюллетеней, полученных участковыми комиссиями"	9148	565	401	314	1930	2850	590	432	2066					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5544	293	192	136	1610	1866	257	208	982					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	281	22	46	15	27	25	69	27	50					
6	Число погашенных бюллетеней	3323	250	163	163	293	959	264	197	1034					
7	Число бюллетеней в переносных ящиках для голосования	281	22	46	15	27	25	69	27	50					
8	Число бюллетеней в стационарных ящиках для голосования	5537	292	192	136	1607	1863	257	208	982					
9	Число недействительных бюллетеней	91	4	3	0	12	24	6	1	41					
10	Число действительных бюллетеней	5727	310	235	151	1622	1864	320	234	991					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	160	5	10	5	70	45	5	5	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	105	3	5	3	42	40	0	1	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	113	35	19	15	19	10	5	2	8					
14	Число погашенных открепительных удостоверений	55	2	5	2	28	5	5	4	4					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0					
															
18	"1. ""ЕДИНЕНИЕ"""	66	2	6	3	11	20	2	6	16					
		1.13%	0.63%	2.52%	1.98%	0.67%	1.05%	0.61%	2.55%	1.55%					
