Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Воткинская городская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646					
1	"Число избирателей, внесенных в список"	78550	1587	1753	1309	1560	243	1832	1799	2126	1930	1546	2366	1783	1775	2150	1267	2105	1501	2378	1613	1851	1903	2146	1758	1907	2126	2402	1846	2000	1965	2160	1834	1740	2118	2134	1649	1905	2098	1629	1473	1759	1409	1382	1612	318	507	296					
2	Число полученных избирательных бюллетеней	76827	1600	1700	1300	1500	247	1800	1800	2100	1900	1500	2300	1700	1700	2100	1200	2100	1400	2400	1600	1800	1900	2100	1700	1900	2100	2400	1800	2000	1900	2100	1800	1700	2100	2100	1600	1900	2000	1600	1400	1700	1400	1300	1500	300	500	280					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	44037	865	1057	827	1020	233	1155	1110	1380	1208	955	1173	1014	957	1327	630	1154	698	1443	969	1065	997	1122	1015	1073	1119	1380	1076	1201	1188	1181	989	973	1219	1313	836	1150	1181	759	653	714	634	680	697	165	292	190					
5	"Число избирательных бюллетеней, выданных вне помещения"	1045	56	22	21	36	9	26	41	33	11	30	33	27	11	20	30	16	27	35	18	21	19	25	46	20	16	25	5	24	18	11	16	17	24	14	17	15	19	32	24	27	15	58	24	0	9	2					
6	Число погашенных избирательных бюллетеней	31745	679	621	452	444	5	619	649	687	681	515	1094	659	732	753	540	930	675	922	613	714	884	953	639	807	965	995	719	775	694	908	795	710	857	773	747	735	800	809	723	959	751	562	779	135	199	88					
7	Число избирательных бюллетеней в переносных ящиках	1045	56	22	21	36	9	26	41	33	11	30	33	27	11	20	30	16	27	35	18	21	19	25	46	20	16	25	5	24	18	11	16	17	24	14	17	15	19	32	24	27	15	58	24	0	9	2					
8	Число бюллетеней в стационарных ящиках для голосования	44031	863	1057	827	1020	233	1155	1110	1380	1208	955	1173	1014	957	1327	630	1154	698	1443	969	1064	997	1122	1015	1073	1119	1380	1076	1201	1188	1181	989	973	1219	1313	835	1150	1181	757	653	714	634	680	697	165	292	190					
9	Число недействительных избирательных бюллетеней	473	10	7	9	8	7	15	10	9	2	9	17	19	6	12	8	16	4	10	3	16	11	9	7	11	9	4	6	14	9	10	9	14	14	14	9	11	13	17	16	17	13	11	9	4	14	1					
10	Число действительных избирательных бюллетеней	44603	909	1072	839	1048	235	1166	1141	1404	1217	976	1189	1022	962	1335	652	1154	721	1468	984	1069	1005	1138	1054	1082	1126	1401	1075	1211	1197	1182	996	976	1229	1313	843	1154	1187	772	661	724	636	727	712	161	287	191					
11	Число полученных открепительных  удостоверений	1380	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30					
12	Число выданных открепительных удостоверений	558	19	18	11	10	16	11	15	14	16	12	22	8	14	17	7	20	3	24	12	10	10	6	16	15	16	20	12	10	15	17	14	6	21	18	10	15	22	7	2	7	6	2	3	3	5	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	461	2	5	15	14	7	10	14	6	13	10	25	10	14	13	12	12	14	17	10	3	7	16	5	5	11	8	3	6	17	16	15	9	11	10	10	7	10	2	15	5	7	14	9	8	4	5					
14	Число неиспользованных открепительных удостоверений	822	11	12	19	20	14	19	15	16	14	18	8	22	16	13	23	10	27	6	18	20	20	24	14	15	14	10	18	20	15	13	16	24	9	12	20	15	8	23	28	23	24	28	27	27	25	29					
15	"Число открепительных удостоверений, выданных в ТИК"	44	0	1	0	2	0	1	1	1	0	1	1	0	1	1	0	2	0	1	1	0	0	2	1	3	1	1	0	4	2	2	0	2	2	0	1	0	1	3	0	2	0	2	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																					
18	. Глазьев Сергей Юрьевич	2768	53	66	43	68	6	109	96	107	74	75	65	70	41	89	29	59	45	95	72	51	54	53	83	78	77	84	45	92	74	69	78	44	60	112	48	98	76	44	20	35	31	41	29	4	18	8					
		6.14%	5.77%	6.12%	5.07%	6.44%	2.48%	9.23%	8.34%	7.57%	6.07%	7.61%	5.39%	6.72%	4.24%	6.61%	4.39%	5.04%	6.21%	6.43%	7.29%	4.70%	5.31%	4.62%	7.82%	7.14%	6.78%	5.98%	4.16%	7.51%	6.14%	5.79%	7.76%	4.44%	4.83%	8.44%	5.63%	8.41%	6.33%	5.58%	2.95%	4.72%	4.78%	5.56%	4.02%	2.42%	5.98%	4.17%					
19	. Малышкин Олег Александрович	1286	23	31	23	25	4	30	22	27	30	27	38	32	49	35	12	33	24	42	41	33	30	35	24	31	41	25	38	24	27	37	24	29	27	35	27	42	35	20	26	27	27	29	23	6	10	6					
		2.85%	2.50%	2.87%	2.71%	2.37%	1.65%	2.54%	1.91%	1.91%	2.46%	2.74%	3.15%	3.07%	5.06%	2.60%	1.82%	2.82%	3.31%	2.84%	4.15%	3.04%	2.95%	3.05%	2.26%	2.84%	3.61%	1.78%	3.52%	1.96%	2.24%	3.10%	2.39%	2.93%	2.17%	2.64%	3.17%	3.61%	2.92%	2.53%	3.84%	3.64%	4.16%	3.93%	3.19%	3.64%	3.32%	3.12%					
20	. Миронов Сергей Михайлович	380	14	9	10	10	4	9	10	14	6	10	6	8	3	18	5	10	3	12	9	8	8	13	6	9	8	11	6	6	5	12	9	11	14	18	5	9	9	10	4	4	6	9	5	2	1	2					
		0.84%	1.52%	0.83%	1.18%	0.95%	1.65%	0.76%	0.87%	0.99%	0.49%	1.02%	0.50%	0.77%	0.31%	1.34%	0.76%	0.85%	0.41%	0.81%	0.91%	0.74%	0.79%	1.13%	0.57%	0.82%	0.70%	0.78%	0.56%	0.49%	0.41%	1.01%	0.90%	1.11%	1.13%	1.36%	0.59%	0.77%	0.75%	1.27%	0.59%	0.54%	0.92%	1.22%	0.69%	1.21%	0.33%	1.04%					
