Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Еравнинская																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК  133	УИК  134	УИК  135	УИК  136	УИК  137	УИК  138	УИК  139	УИК  140	УИК  141	УИК  142	УИК  143	УИК  144	УИК  145	УИК  146	УИК  147	УИК  148					
1	"Число избирателей, внесенных в списки"	11499	799	363	594	56	239	214	513	39	503	333	69	127	830	788	680	774	833	129	343	334	916	103	202	564	868	286					
2	"Число бюллетеней, полученных участковыми комиссиями"	12350	820	390	680	75	270	280	660	60	530	313	72	125	861	832	811	769	792	175	360	370	900	150	250	575	875	355					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7799	466	218	441	45	186	172	476	33	357	194	52	108	543	499	424	437	506	102	257	256	619	76	160	338	623	211					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	647	89	20	24	0	21	13	37	0	41	49	2	4	23	22	27	34	38	0	19	11	33	10	4	40	42	44					
6	Число погашенных бюллетеней	3901	265	152	215	30	63	95	147	27	132	70	18	13	295	311	360	298	245	73	84	103	248	64	86	197	210	100					
7	Число бюллетеней в переносных ящиках для голосования	633	89	20	24	0	21	13	23	0	41	49	2	4	23	22	27	34	38	0	19	11	33	10	4	40	42	44					
8	Число бюллетеней в стационарных ящиках для голосования	7812	465	218	439	45	186	172	489	33	357	194	52	108	543	499	424	437	509	102	257	256	619	76	160	338	623	211					
9	Число недействительных бюллетеней	355	10	8	27	0	4	3	44	2	20	7	2	8	26	14	18	25	10	9	0	11	22	7	4	21	41	12					
10	Число действительных бюллетеней	8090	544	230	436	45	203	182	468	31	378	236	52	104	540	507	433	446	537	93	276	256	630	79	160	357	624	243					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	148	8	5	6	3	6	6	7	3	7	6	0	0	12	8	9	11	8	2	4	4	8	3	3	7	9	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	91	4	1	6	1	1	0	6	0	2	2	0	0	11	7	8	11	8	2	2	3	8	0	3	3	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	91	4	3	2	0	0	3	3	1	3	6	0	1	1	3	10	8	5	3	6	4	9	2	2	6	6	0					
14	Число погашенных открепительных удостоверений	57	4	4	0	2	5	6	1	3	5	4	0	0	1	1	1	0	0	0	2	1	0	3	0	4	7	3					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	"1. ""ЕДИНЕНИЕ"""	336	18	12	26	3	9	11	21	0	18	13	0	4	21	18	8	11	21	0	10	12	12	6	9	21	34	18					
		3.97%	3.24%	5.04%	5.61%	6.66%	4.34%	5.94%	4.10%	0.0%	4.52%	5.34%	0.0%	3.57%	3.71%	3.45%	1.77%	2.33%	3.83%	0.0%	3.62%	4.49%	1.84%	6.97%	5.48%	5.55%	5.11%	7.05%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	833	77	42	52	13	21	30	35	4	14	35	5	6	74	38	39	46	75	12	50	23	52	10	12	17	35	16					
		9.86%	13.89%	17.64%	11.23%	28.88%	10.14%	16.21%	6.83%	12.12%	3.51%	14.40%	9.25%	5.35%	13.07%	7.29%	8.64%	9.76%	13.71%	11.76%	18.11%	8.61%	7.97%	11.62%	7.31%	4.49%	5.26%	6.27%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	203	22	6	19	0	6	3	6	0	9	3	2	2	15	10	8	16	14	3	12	3	17	1	2	7	11	6					
