Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Шарканская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3111	УИК №3112	УИК №3113	УИК №3114	УИК №3115	УИК №3116	УИК №3117	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131	УИК №3132	УИК №3133									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16162	635	248	365	282	695	139	701	442	467	210	714	196	653	270	258	579	373	351	726	1080	1097	2270	434	464	133	465	236	399	543	141	113	168	315									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16000	650	250	380	290	700	150	700	490	500	220	710	190	660	270	260	600	370	350	750	1000	1000	2100	420	470	130	450	260	400	560	150	110	160	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8559	441	182	184	157	311	91	300	297	293	121	388	101	351	133	140	339	278	212	447	477	496	1064	193	234	88	277	121	149	363	90	53	74	114									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	822	34	4	30	23	61	7	13	68	25	17	22	11	19	18	21	53	9	23	59	9	31	13	7	36	6	25	36	50	41	19	19	0	13									
6	Число погашенных избирательных бюллетеней	6619	175	64	166	110	328	52	387	125	182	82	300	78	290	119	99	208	83	115	244	514	473	1023	220	200	36	148	103	201	156	41	38	86	173									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	822	34	4	30	23	61	7	13	68	25	17	22	11	19	18	21	53	9	23	59	9	31	13	7	36	6	25	36	50	41	19	19	0	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8551	441	182	184	157	311	91	300	297	293	121	388	100	351	133	140	339	278	212	447	476	496	1064	193	234	88	277	116	149	363	90	53	73	114									
9	Число недействительных избирательных бюллетеней	265	15	2	5	8	11	5	8	5	8	5	8	5	10	3	9	5	3	7	5	22	16	36	8	8	2	11	0	2	17	6	3	1	6									
10	Число действительных избирательных бюллетеней	9108	460	184	209	172	361	93	305	360	310	133	402	106	360	148	152	387	284	228	501	463	511	1041	192	262	92	291	152	197	387	103	69	72	121									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	671	30	5	20	10	20	15	20	44	40	15	20	15	15	15	15	30	20	20	30	30	15	15	10	20	15	50	25	20	20	15	15	2	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	436	30	5	20	10	10	15	7	44	40	15	10	1	9	3	1	22	6	3	30	6	6	15	0	10	0	50	25	1	19	15	4	2	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	113	8	4	2	0	3	4	4	1	2	1	7	3	3	0	0	7	2	1	4	7	11	6	6	2	1	5	2	0	6	5	5	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	235	0	0	0	0	10	0	13	0	0	0	10	14	6	12	14	8	14	17	0	24	9	0	10	10	15	0	0	19	1	0	11	0	18									
