Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																												
Дата голосования: 07.12.2003 0:00:00																																																												
																																																												
Наименование Избирательной комиссии:    Рославльская																																																												
																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																												
																																																												
		Сумма	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268					
1	"Число избирателей, внесенных в списки"	65179	2011	1416	1725	2413	1024	1602	1854	2540	1398	1066	1996	1891	1162	2347	2214	1029	2415	1979	1151	1876	2656	2349	2448	2895	1946	343	887	405	285	511	438	234	377	1419	589	202	2103	262	570	271	199	455	762	523	476	1541	1539	859	615	507	409	417	578					
2	"Число бюллетеней, полученных участковыми комиссиями"	64845	1980	1397	1711	2384	1020	1580	1840	2516	1383	1044	1971	1870	1138	2321	2174	1010	2371	1975	1035	1888	2662	2364	2425	2909	1981	345	894	415	285	514	426	232	380	1443	609	197	2104	267	576	270	196	390	793	534	468	1574	1543	863	629	558	396	414	581					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	27557	825	469	796	1031	324	662	641	1157	549	430	784	682	438	1031	912	426	875	848	450	865	1120	1247	1215	1424	1004	141	361	201	90	173	219	139	144	635	288	104	765	78	175	193	75	160	299	262	231	776	636	325	233	186	160	175	128					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3708	30	34	23	67	21	39	35	12	28	49	24	32	23	41	37	41	42	18	141	11	29	21	16	7	5	90	152	85	78	183	99	34	113	99	64	29	186	96	165	32	58	177	56	42	72	54	99	125	122	116	129	107	220					
6	Число погашенных бюллетеней	33580	1125	894	892	1286	675	879	1164	1347	806	565	1163	1156	677	1249	1225	543	1454	1109	444	1012	1513	1096	1194	1478	972	114	381	129	117	158	108	59	123	709	257	64	1153	93	236	45	63	53	438	230	165	744	808	413	274	256	107	132	233					
7	Число бюллетеней в переносных ящиках для голосования	3708	30	34	23	67	21	39	35	12	28	49	24	32	23	41	37	41	42	18	141	11	29	21	16	7	5	90	152	85	78	183	99	34	113	99	64	29	186	96	165	32	58	177	56	42	72	54	99	125	122	116	129	107	220					
8	Число бюллетеней в стационарных ящиках для голосования	27544	825	469	787	1031	324	662	641	1157	549	430	784	682	436	1031	912	426	875	848	450	865	1118	1247	1215	1424	1004	141	361	201	90	173	219	139	144	635	288	104	765	78	175	193	75	160	299	262	231	776	636	325	233	186	160	175	128					
9	Число недействительных бюллетеней	322	6	15	14	9	2	6	3	45	7	4	7	5	7	11	10	5	9	6	4	4	11	11	5	15	5	2	3	4	2	2	0	6	2	8	4	0	2	2	2	0	2	7	4	8	3	7	7	1	2	4	2	5	5					
10	Число действительных бюллетеней	30930	849	488	796	1089	343	695	673	1124	570	475	801	709	452	1061	939	462	908	860	587	872	1136	1257	1226	1416	1004	229	510	282	166	354	318	167	255	726	348	133	949	172	338	225	131	330	351	296	300	823	728	449	353	298	287	277	343					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	574	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	5	6	6	5	6	5	6	5	15	6	5	15	6	6	6	6	6	6	6	6	15	15	6	6	6	6	6	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	158	4	0	3	5	3	4	5	9	5	3	5	2	3	4	11	0	4	9	3	4	6	6	6	11	7	0	1	4	0	1	0	0	0	1	0	0	4	1	0	0	0	3	3	0	4	4	3	2	1	1	1	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	139	5	0	5	6	1	3	5	4	7	2	3	4	1	6	10	1	8	6	2	3	3	1	2	0	1	2	2	2	1	2	0	2	0	5	1	3	2	0	3	0	2	5	1	1	1	1	4	2	0	1	2	3	2					
14	Число погашенных открепительных удостоверений	416	11	15	12	10	12	11	10	6	10	12	10	13	12	11	4	15	11	6	12	11	9	9	9	4	8	5	5	2	5	5	5	6	5	14	6	5	11	5	6	6	6	3	3	6	2	11	12	4	5	5	5	5	5					
15	Число открепительных удостоверений выданных ТИК	10	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																												
18	"1. ""ЕДИНЕНИЕ"""	234	5	7	7	5	2	7	5	3	3	1	6	3	2	7	2	5	5	3	7	6	7	14	5	6	6	1	4	3	3	2	2	4	3	10	6	2	11	0	3	0	3	0	4	0	4	9	4	2	5	3	2	8	7					
		0.74%	0.58%	1.39%	0.86%	0.45%	0.57%	0.99%	0.73%	0.25%	0.51%	0.20%	0.74%	0.42%	0.43%	0.65%	0.21%	1.07%	0.54%	0.34%	1.18%	0.68%	0.61%	1.10%	0.40%	0.41%	0.59%	0.43%	0.77%	1.04%	1.78%	0.56%	0.62%	2.31%	1.16%	1.36%	1.70%	1.50%	1.15%	0.0%	0.88%	0.0%	2.25%	0.0%	1.12%	0.0%	1.32%	1.08%	0.54%	0.44%	1.40%	0.99%	0.69%	2.83%	2.01%					
