Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
"Наименование Избирательной комиссии:    Ижевск, Индустриальная"																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	89579	1233	1672	1304	2037	1145	1803	1823	1395	770	1070	2359	1599	1328	2387	1696	1864	1599	2598	1762	1675	1613	1917	1926	1779	1464	2840	1843	2421	2687	2124	2127	2006	1597	1853	1741	2053	2016	1930	1922	1297	2355	1819	713	425	2366	74	2202	1984	1176	57	1065	289	2779									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	86000	1100	1500	1200	1800	1100	1700	1700	1300	1000	1000	2300	1500	1200	2300	1600	1700	1500	2500	1600	1500	1500	1900	1900	1700	1300	2600	1700	2300	2600	2000	2000	1900	1500	1800	1600	2000	2000	1800	1800	1200	2300	1700	600	700	2300	200	2200	1900	1100	200	1000	1000	2600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	33867	486	645	482	651	407	739	707	466	390	460	770	562	601	862	548	632	534	925	634	650	619	750	676	641	603	1188	732	791	1098	714	807	687	664	729	622	727	790	757	689	607	800	570	162	408	932	45	693	833	507	39	371	201	1264									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	554	6	10	4	6	8	5	1	11	170	2	4	0	2	3	5	5	16	7	6	9	5	2	9	12	2	8	0	4	0	3	6	10	1	12	5	9	6	5	4	1	1	5	19	17	3	23	1	3	7	13	1	76	1									
6	Число погашенных избирательных бюллетеней	51579	608	845	714	1143	685	956	992	823	440	538	1526	938	597	1435	1047	1063	950	1568	960	841	876	1148	1215	1047	695	1404	968	1505	1502	1283	1187	1203	835	1059	973	1264	1204	1038	1107	592	1499	1125	419	275	1365	132	1506	1064	586	148	628	723	1335									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	554	6	10	4	6	8	5	1	11	170	2	4	0	2	3	5	5	16	7	6	9	5	2	9	12	2	8	0	4	0	3	6	10	1	12	5	9	6	5	4	1	1	5	19	17	3	23	1	3	7	13	1	76	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	33859	485	645	482	650	407	737	707	466	390	460	770	562	601	862	546	632	534	925	634	650	619	750	676	641	603	1188	732	791	1098	714	807	687	664	729	622	727	790	757	689	607	800	570	162	406	932	45	693	833	507	39	371	201	1264									
9	Число недействительных избирательных бюллетеней	680	8	9	12	17	8	15	8	5	13	13	10	8	6	16	9	18	16	17	10	7	13	20	10	12	10	21	14	18	17	15	21	23	11	18	19	21	32	17	23	6	11	11	8	15	15	1	8	17	5	1	5	3	14									
10	Число действительных избирательных бюллетеней	33733	483	646	474	639	407	727	700	472	547	449	764	554	597	849	542	619	534	915	630	652	611	732	675	641	595	1175	718	777	1081	702	792	674	654	723	608	715	764	745	670	602	790	564	173	408	920	67	686	819	509	51	367	274	1251									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1340	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	30	25	25	25	25	25	25	25	35	25	35	35	25	25	35	25	35	25	25	25	35	25	25	25	25	25	0	35	0	25	25	25	0	25	0	65									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	804	10	20	17	17	12	16	17	16	2	13	19	14	7	14	15	12	8	26	15	7	15	15	11	15	10	29	11	26	30	19	10	31	11	26	11	19	20	22	10	9	14	18	4	0	27	0	23	20	14	0	5	0	52									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1155	37	14	14	9	13	9	11	9	166	19	8	17	12	4	11	11	19	22	29	51	22	20	16	11	30	11	33	17	14	11	11	10	13	10	4	18	28	9	9	9	13	5	3	44	10	15	16	9	14	15	14	167	39									
14	Число погашенных неиспользованных открепительных удостоверений	536	15	5	8	8	13	9	8	9	23	12	6	11	18	11	10	13	17	4	10	18	10	10	14	10	15	6	14	9	5	6	15	4	14	9	14	6	5	13	15	16	11	7	21	0	8	0	2	5	11	0	20	0	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	40	0	4	0	0	1	0	0	0	1	0	0	1	0	0	0	0	4	4	1	1	0	1	2	1	0	1	0	2	0	2	2	0	0	0	2	2	1	0	1	0	0	2	0	0	1	0	1	0	0	0	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	454	4	5	12	7	9	15	5	12	3	4	10	9	19	14	8	7	4	17	6	12	4	12	6	4	9	13	7	12	10	11	7	6	10	11	11	6	10	8	8	6	5	2	3	2	13	1	11	22	12	4	9	3	14									
