Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Лужская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720					
1	"Число избирателей, внесенных в список"	69710	2074	1638	1041	686	132	272	1527	1519	1073	1360	1454	1432	1335	1363	1336	1373	1463	1537	1429	1521	1563	2381	2032	2295	680	1113	1155	1327	1521	2718	403	255	601	234	847	585	889	323	859	572	2251	1109	1306	643	1120	628	1499	1359	1905	885	1040	1383	415	2267	967	1298	1717					
2	Число полученных избирательных бюллетеней	70250	2150	1640	1030	685	140	260	1530	1540	1080	1380	1460	1470	1350	1370	1340	1380	1480	1550	1440	1530	1580	2440	2040	2170	680	1080	1180	1370	1520	2730	390	245	610	230	860	580	890	310	850	580	2200	1190	1330	660	1120	630	1520	1550	1860	900	1050	1430	415	2280	935	1300	1740					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	30842	783	641	373	283	15	122	583	734	520	643	756	795	696	706	761	710	795	837	701	705	653	1314	769	1391	369	544	439	457	731	1204	131	57	256	40	300	178	396	129	290	275	1170	514	574	202	311	110	609	528	663	320	400	330	171	1101	552	605	600					
5	"Число избирательных бюллетеней, выданных вне помещения"	4932	21	30	61	11	107	74	50	9	10	7	27	11	38	12	11	24	17	7	22	12	13	14	44	5	6	55	207	246	79	20	71	77	74	139	128	65	49	38	142	27	80	170	149	176	304	242	152	129	398	143	128	237	99	65	32	58	310					
6	Число погашенных избирательных бюллетеней	34476	1346	969	596	391	18	64	897	797	550	730	677	664	616	652	568	646	668	706	717	813	914	1112	1227	774	305	481	534	667	710	1506	188	111	280	51	432	337	445	143	418	278	950	506	607	282	505	278	759	893	799	437	522	863	145	1114	351	637	830					
7	Число избирательных бюллетеней в переносных ящиках	4932	21	30	61	11	107	74	50	9	10	7	27	11	38	12	11	24	17	7	22	12	13	14	44	5	6	55	207	246	79	20	71	77	74	139	128	65	49	38	142	27	80	170	149	176	304	242	152	129	398	143	128	237	99	65	32	58	310					
8	Число бюллетеней в стационарных ящиках для голосования	30825	783	641	373	283	15	122	582	734	520	643	756	795	696	706	761	710	794	837	700	705	653	1300	769	1391	369	544	439	457	731	1204	131	57	256	40	300	178	396	129	290	275	1170	514	574	202	311	110	609	528	663	320	400	330	171	1101	552	605	600					
9	Число недействительных избирательных бюллетеней	199	1	1	1	5	1	0	1	1	8	4	3	3	3	1	7	6	5	5	8	0	5	9	4	4	3	3	7	3	5	8	2	0	3	0	3	1	2	1	2	3	1	0	0	1	7	0	10	5	9	2	4	5	2	8	1	7	5					
10	Число действительных избирательных бюллетеней	35558	803	670	433	289	121	196	631	742	522	646	780	803	731	717	765	728	806	839	714	717	661	1305	809	1392	372	596	639	700	805	1216	200	134	327	179	425	242	443	166	430	299	1249	684	723	377	608	352	751	652	1052	461	524	562	268	1158	583	656	905					
11	Число полученных открепительных  удостоверений	1029	20	20	10	15	0	0	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	30	20	20	20	15	15	15	15	14	5	5	15	5	15	10	15	15	15	15	50	60	45	20	20	10	20	20	20	10	20	15	10	20	10	15	20					
12	Число выданных открепительных удостоверений	675	9	6	4	7	0	0	5	13	10	12	17	17	15	8	16	10	11	15	14	13	11	21	11	17	5	8	8	15	9	14	1	1	11	0	10	5	4	1	7	13	50	60	42	16	3	6	20	10	19	5	10	9	5	18	1	7	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	567	9	4	14	10	4	0	16	9	4	3	12	25	9	6	12	4	5	6	7	12	7	9	12	9	7	8	1	7	20	12	4	8	4	9	6	10	7	18	6	4	30	3	13	7	14	11	11	13	31	6	13	7	8	19	15	16	11					
14	Число неиспользованных открепительных удостоверений	354	11	14	6	8	0	0	15	7	10	8	3	3	5	12	4	10	9	5	6	7	9	9	9	3	15	7	7	0	6	0	4	4	4	5	5	5	11	14	8	2	0	0	3	4	17	4	0	10	1	5	10	6	5	2	9	8	0					
15	"Число открепительных удостоверений, выданных в ТИК"	19	0	1	0	0	0	0	1	1	0	0	0	3	0	1	1	1	0	0	1	0	1	2	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																
18	. Глазьев Сергей Юрьевич	1159	25	20	11	9	5	1	27	22	23	36	52	35	22	24	23	27	36	41	34	24	25	31	39	34	17	8	15	20	23	39	6	2	15	8	5	8	12	4	6	10	39	17	24	17	12	10	23	16	31	15	15	14	7	41	14	18	22					
		3.24%	3.11%	2.98%	2.53%	3.06%	4.10%	0.51%	4.27%	2.96%	4.34%	5.54%	6.64%	4.34%	3.00%	3.34%	2.98%	3.68%	4.44%	4.86%	4.71%	3.35%	3.75%	2.36%	4.80%	2.44%	4.53%	1.34%	2.32%	2.84%	2.84%	3.19%	2.97%	1.49%	4.55%	4.47%	1.17%	3.29%	2.70%	2.40%	1.39%	3.31%	3.12%	2.49%	3.32%	4.50%	1.95%	2.84%	3.02%	2.44%	2.92%	3.24%	2.84%	2.47%	2.59%	3.52%	2.40%	2.71%	2.42%					
19	. Малышкин Олег Александрович	488	17	13	6	7	9	1	12	9	10	3	15	11	6	6	14	10	6	9	6	12	4	20	9	29	4	7	8	7	12	11	7	0	8	1	9	3	5	2	5	5	22	8	8	5	4	8	9	4	11	10	8	9	1	13	16	7	7					
