Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																													
Дата голосования: 02.12.2007																																																													
																																																													
Наименование Избирательной комиссии:    Погарская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780					
1	"Число избирателей, внесенных в списки избирателей"	24760	2748	1614	2082	490	839	209	667	230	87	692	385	153	213	273	167	103	582	579	322	650	345	240	241	616	448	486	325	106	187	474	327	138	372	233	478	343	310	145	280	441	222	165	319	548	176	630	616	216	353	511	516	391	333	144					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	24750	2700	1600	2060	480	820	210	640	240	100	700	370	160	220	270	180	100	590	590	330	640	350	280	250	610	460	490	320	110	200	470	320	140	370	240	480	330	310	150	270	430	220	160	320	550	180	610	620	220	370	520	510	390	350	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14183	1255	807	1108	290	493	101	387	157	80	376	192	82	125	123	76	75	271	302	144	469	218	187	142	323	203	297	215	70	133	319	203	95	203	152	353	245	244	87	223	284	158	99	204	325	63	373	354	133	202	212	376	276	222	77					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2780	86	33	61	13	14	14	56	16	7	51	49	34	25	62	50	21	108	78	52	60	86	53	47	97	112	111	76	28	40	65	43	17	36	16	80	54	50	34	29	34	30	27	40	93	38	52	68	24	53	105	84	67	49	52					
6	Число погашенных избирательных бюллетеней	7787	1359	760	891	177	313	95	197	67	13	273	129	44	70	85	54	4	211	210	134	111	46	40	61	190	145	82	29	12	27	86	74	28	131	72	47	31	16	29	18	112	32	34	76	132	79	185	198	63	115	203	50	47	79	21					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2780	86	33	61	13	14	14	56	16	7	51	49	34	25	62	50	21	108	78	52	60	86	53	47	97	112	111	76	28	40	65	43	17	36	16	80	54	50	34	29	34	30	27	40	93	38	52	68	24	53	105	84	67	49	52					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14182	1255	807	1108	290	492	101	387	157	80	376	192	82	125	123	76	75	271	302	144	469	218	187	142	323	203	297	215	70	133	319	203	95	203	152	353	245	244	87	223	284	158	99	204	325	63	373	354	133	202	212	376	276	222	77					
9	Число недействительных избирательных бюллетеней	184	18	15	12	5	5	3	2	3	1	5	3	2	1	0	0	0	9	4	2	4	1	0	1	4	3	2	2	4	4	6	2	1	2	2	14	2	0	0	0	2	0	1	1	6	1	8	5	4	1	6	1	0	3	1					
10	Число действительных избирательных бюллетеней	16778	1323	825	1157	298	501	112	441	170	86	422	238	114	149	185	126	96	370	376	194	525	303	240	188	416	312	406	289	94	169	378	244	111	237	166	419	297	294	121	252	316	188	125	243	412	100	417	417	153	254	311	459	343	268	128					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	341	17	14	16	4	15	0	11	8	7	11	5	7	7	6	8	7	7	7	5	12	5	11	5	25	8	3	5	0	0	5	5	0	5	5	8	6	1	0	0	5	2	4	0	5	7	9	5	3	5	4	2	5	12	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	301	15	14	16	4	10	0	11	8	2	11	5	7	5	5	8	7	7	7	1	12	5	11	5	25	8	3	0	0	0	1	1	0	5	5	8	6	1	0	0	3	2	0	0	5	7	9	5	3	5	4	2	5	12	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	193	17	19	21	10	7	4	5	0	1	9	12	3	1	4	1	1	1	1	1	3	1	3	0	5	5	4	4	2	1	5	3	2	2	1	1	4	2	1	2	2	2	1	0	0	1	2	1	2	3	2	6	1	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	40	2	0	0	0	5	0	0	0	5	0	0	0	2	1	0	0	0	0	4	0	0	0	0	0	0	0	5	0	0	4	4	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	2	3	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
