Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																														
Дата голосования: 04.12.2011																																																														
																																																														
Наименование Избирательной комиссии:    Погарская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763					
1	"Число избирателей, внесенных в список избирателей"	24740	1741	1603	1940	604	937	371	747	726	236	87	654	368	144	199	275	149	122	534	553	324	673	351	271	273	602	441	494	283	84	172	459	288	107	383	205	555	501	338	126	272	432	224	149	322	551	132	756	574	225	320	465	521	459	306	112					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25515	1754	1601	1957	620	947	379	761	738	244	98	685	381	149	211	288	160	130	585	570	361	704	371	274	274	620	456	507	284	89	175	469	291	119	397	222	576	502	339	131	283	455	240	158	339	577	150	764	595	226	342	488	550	482	327	120					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	14847	811	793	964	339	483	199	343	436	161	59	338	201	83	102	165	52	84	325	417	197	483	206	161	176	449	214	354	209	61	134	375	205	84	263	156	433	328	204	95	212	318	172	78	208	328	52	423	306	129	224	197	432	325	241	60					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2469	56	30	66	12	16	9	12	59	29	13	51	45	24	44	45	48	24	106	91	63	79	65	79	40	61	84	82	61	11	29	40	57	18	31	28	51	47	58	14	28	34	25	17	41	75	29	48	69	22	46	67	89	44	21	36					
6	Число погашенных избирательных бюллетеней	8197	887	778	927	269	448	171	406	243	54	26	296	135	42	65	78	58	22	154	62	101	142	100	34	58	110	158	71	14	17	12	54	29	17	103	38	92	127	77	22	43	103	43	63	90	174	69	293	220	75	72	224	29	113	65	24					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2469	56	30	66	12	16	9	12	59	29	13	51	45	24	44	45	48	24	106	91	63	79	65	79	40	61	84	82	61	11	29	40	57	18	31	28	51	47	58	14	28	34	25	17	41	75	29	48	69	22	46	67	89	44	21	36					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14846	811	792	964	339	483	199	343	436	161	59	338	201	83	102	165	52	84	325	417	197	483	206	161	176	449	214	354	209	61	134	375	205	84	263	156	433	328	204	95	212	318	172	78	208	328	52	423	306	129	224	197	432	325	241	60					
9	Число недействительных избирательных бюллетеней	242	13	16	16	4	4	4	10	6	4	0	9	4	4	2	3	0	0	0	6	4	3	9	4	1	6	3	4	14	1	6	1	3	0	1	0	7	0	1	0	0	1	0	2	3	5	5	15	6	6	5	2	5	3	10	1					
10	Число действительных избирательных бюллетеней	17073	854	806	1014	347	495	204	345	489	186	72	380	242	103	144	207	100	108	431	502	256	559	262	236	215	504	295	432	256	71	157	414	259	102	293	184	477	375	261	109	240	351	197	93	246	398	76	456	369	145	265	262	516	366	252	95					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	611	11	9	15	5	8	9	5	14	8	9	28	14	6	9	9	8	9	32	20	22	17	14	11	12	14	9	4	9	3	3	9	9	4	9	9	8	10	9	4	7	15	12	10	10	22	12	18	5	8	13	13	12	15	15	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	611	11	9	15	5	8	9	5	14	8	9	28	14	6	9	9	8	9	32	20	22	17	14	11	12	14	9	4	9	3	3	9	9	4	9	9	8	10	9	4	7	15	12	10	10	22	12	18	5	8	13	13	12	15	15	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	193	10	18	16	10	12	9	4	4	2	1	7	5	2	1	2	0	3	2	13	1	3	1	0	0	2	2	4	7	3	2	2	6	1	1	0	3	2	1	1	0	3	0	1	0	5	4	1	3	4	0	1	7	1	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	85	11	2	10	2	7	3	0	3	1	1	2	0	1	0	0	0	0	11	0	3	1	0	0	0	0	2	0	0	0	0	0	0	2	1	1	6	3	1	0	1	2	2	0	1	0	0	2	1	0	0	0	0	1	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2116	132	148	154	60	59	35	65	45	23	9	48	48	7	13	34	18	19	54	41	35	50	32	8	27	37	32	24	17	5	23	24	23	13	28	13	47	52	52	12	41	57	16	8	36	53	13	57	73	30	24	63	35	18	19	7					
		12.22%	15.22%	18.00%	14.95%	17.09%	11.82%	16.83%	18.31%	9.09%	12.11%	12.50%	12.34%	19.51%	6.54%	8.90%	16.19%	18.00%	17.59%	12.53%	8.07%	13.46%	8.90%	11.81%	3.33%	12.50%	7.25%	10.74%	5.50%	6.30%	6.94%	14.11%	5.78%	8.78%	12.75%	9.52%	7.07%	9.71%	13.87%	19.85%	11.01%	17.08%	16.19%	8.12%	8.42%	14.46%	13.15%	16.05%	12.10%	19.47%	19.87%	8.89%	23.86%	6.72%	4.88%	7.25%	7.29%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1702	114	106	108	46	78	29	35	43	24	6	52	31	15	16	17	9	5	37	44	22	29	20	6	25	50	25	15	12	1	11	29	19	9	30	18	44	59	15	11	28	22	19	9	40	42	8	70	30	20	25	36	24	25	33	6					
		9.83%	13.15%	12.90%	10.49%	13.11%	15.63%	13.94%	9.86%	8.69%	12.63%	8.33%	13.37%	12.60%	14.02%	10.96%	8.10%	9.00%	4.63%	8.58%	8.66%	8.46%	5.16%	7.38%	2.50%	11.57%	9.80%	8.39%	3.44%	4.44%	1.39%	6.75%	6.99%	7.25%	8.82%	10.20%	9.78%	9.09%	15.73%	5.73%	10.09%	11.67%	6.25%	9.64%	9.47%	16.06%	10.42%	9.88%	14.86%	8.00%	13.25%	9.26%	13.64%	4.61%	6.78%	12.60%	6.25%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	108	9	8	13	3	4	4	1	1	1	1	5	1	2	2	0	0	1	4	0	1	2	0	1	1	2	2	0	2	0	0	0	2	0	2	1	1	2	1	1	2	5	0	1	4	2	1	2	1	3	1	1	1	2	1	0					
		0.62%	1.04%	0.97%	1.26%	0.85%	0.80%	1.92%	0.28%	0.20%	0.53%	1.39%	1.29%	0.41%	1.87%	1.37%	0.00%	0.00%	0.93%	0.93%	0.00%	0.38%	0.36%	0.00%	0.42%	0.46%	0.39%	0.67%	0.00%	0.74%	0.00%	0.00%	0.00%	0.76%	0.00%	0.68%	0.54%	0.21%	0.53%	0.38%	0.92%	0.83%	1.42%	0.00%	1.05%	1.61%	0.50%	1.23%	0.42%	0.27%	1.99%	0.37%	0.38%	0.19%	0.54%	0.38%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2597	179	162	222	63	90	35	76	53	13	9	53	71	16	35	28	12	15	61	80	36	31	17	25	15	91	38	40	52	1	15	61	49	11	44	34	64	52	40	13	13	50	20	9	21	62	17	95	50	15	56	38	63	32	46	8					
		14.99%	20.65%	19.71%	21.55%	17.95%	18.04%	16.83%	21.41%	10.71%	6.84%	12.50%	13.62%	28.86%	14.95%	23.97%	13.33%	12.00%	13.89%	14.15%	15.75%	13.85%	5.52%	6.27%	10.42%	6.94%	17.84%	12.75%	9.17%	19.26%	1.39%	9.20%	14.70%	18.70%	10.78%	14.97%	18.48%	13.22%	13.87%	15.27%	11.93%	5.42%	14.20%	10.15%	9.47%	8.43%	15.38%	20.99%	20.17%	13.33%	9.93%	20.74%	14.39%	12.09%	8.67%	17.56%	8.33%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	174	17	14	24	4	7	1	9	3	1	2	4	2	0	4	1	0	0	3	3	2	4	2	0	2	0	8	6	4	1	0	0	3	0	0	2	4	1	2	0	0	3	0	0	1	3	1	3	8	3	0	3	4	4	1	0					
