Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																
Дата голосования: 04.12.2011																																																
																																																
Наименование Избирательной комиссии:    Онежская																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660					
1	"Число избирателей, внесенных в список избирателей"	28547	2885	2650	2678	2043	1892	1764	1692	1144	264	1280	519	357	251	467	295	401	428	140	94	348	128	133	420	174	186	82	512	291	89	2179	204	192	354	259	497	232	134	156	100	345	288					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29499	2909	2780	2780	2130	1940	1810	1750	1190	270	1360	520	370	260	470	320	420	440	140	90	370	130	140	440	190	190	80	550	300	80	2250	210	200	380	270	520	230	120	160	80	360	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	157	0	0	0	0	0	0	0	0	0	0	0	0	15	9	0	47	0	17	0	0	0	0	56	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	5					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11236	1175	1282	1198	856	751	729	758	369	92	391	147	139	53	207	86	94	155	61	50	109	60	46	80	98	66	21	207	106	39	701	81	90	140	117	198	99	79	73	61	112	60					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1043	108	31	33	55	41	18	14	70	5	169	77	37	25	11	10	23	18	0	8	41	12	5	3	8	11	7	26	5	5	53	9	11	19	23	14	8	8	7	13	1	1					
6	Число погашенных избирательных бюллетеней	17063	1626	1467	1549	1219	1148	1063	978	751	173	800	296	194	167	243	224	256	267	62	32	220	58	89	301	84	113	52	317	189	36	1496	115	99	218	130	308	123	33	80	6	247	234					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1200	108	31	33	55	41	18	14	70	5	169	77	37	40	20	10	70	18	17	8	41	12	5	59	8	11	7	26	5	5	53	14	11	22	23	14	8	8	7	13	1	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11235	1175	1281	1198	856	751	729	758	369	92	391	147	139	53	207	86	94	155	61	50	109	60	46	80	98	66	21	207	106	39	701	81	90	140	117	198	99	79	73	61	112	60					
9	Число недействительных избирательных бюллетеней	136	10	22	17	6	3	8	13	1	2	4	5	1	2	1	4	2	1	1	0	0	1	0	4	0	0	0	4	1	0	14	0	1	1	1	0	2	0	1	0	2	1					
10	Число действительных избирательных бюллетеней	12299	1273	1290	1214	905	789	739	759	438	95	556	219	175	91	226	92	162	172	77	58	150	71	51	135	106	77	28	229	110	44	740	95	100	161	139	212	105	87	79	74	111	65					
