Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Басманный район																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №3601	УИК №3602	УИК №3604	УИК №3606	УИК №3607	УИК №3608	УИК №3609	УИК №4001	УИК №8052	УИК №8137	УИК №8138	УИК №8139	УИК №8147									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	63571	1571	1904	2172	2143	2384	1430	2446	1251	2348	2621	1925	2513	2164	2410	1642	2134	2517	1592	1354	2748	2609	2194	2718	2767	2365	2456	2878	2075	317	84	134	122	20	109	65	151	334	229	52	79	544									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	60650	1000	1400	1400	1300	1700	1000	1700	900	1700	1800	1400	1800	1500	1800	1200	1300	2000	1000	1000	2000	2000	1500	2000	2000	1600	1800	2000	1400	1000	100	150	150	100	150	100	1000	4150	7650	1000	1000	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23090	665	657	839	849	1000	529	810	527	823	861	594	808	685	865	582	688	837	653	484	886	826	780	768	762	889	782	963	729	229	40	120	122	20	105	55	151	207	228	52	79	541									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	681	11	19	20	26	28	11	15	8	30	30	18	26	11	33	14	22	31	7	9	9	26	20	14	28	11	25	18	37	88	13	3	0	0	0	10	0	6	1	0	0	3									
6	Число погашенных избирательных бюллетеней	36758	324	724	541	425	672	460	875	365	847	909	788	966	804	902	604	590	1132	340	507	1105	1148	700	1218	1210	700	993	1019	634	683	47	27	28	80	45	35	849	3816	7421	948	921	356									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	801	11	19	20	26	28	11	14	8	30	30	18	26	11	33	14	22	31	7	9	9	26	20	14	28	11	25	18	37	88	13	3	0	0	0	10	0	127	1	0	0	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23058	663	656	839	848	999	529	807	527	821	861	593	808	684	863	582	688	837	653	472	886	826	778	768	762	887	780	963	729	229	40	120	122	20	105	55	151	207	228	52	79	541									
9	Число недействительных избирательных бюллетеней	328	5	7	16	12	23	11	6	7	6	8	10	8	9	8	9	11	19	10	6	14	13	14	9	8	20	11	14	10	2	0	4	3	0	0	0	4	1	3	0	0	7									
10	Число действительных избирательных бюллетеней	23531	669	668	843	862	1004	529	815	528	845	883	601	826	686	888	587	699	849	650	475	881	839	784	773	782	878	794	967	756	315	53	119	119	20	105	65	147	333	226	52	79	537									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	555	15	20	20	35	25	15	20	15	20	20	20	20	20	20	15	20	20	15	15	15	20	20	20	20	20	20	20	20	0	0	0	0	0	0	0	0	5	5	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	335	9	6	9	24	22	6	16	5	12	12	9	8	11	17	8	17	18	15	8	11	11	9	3	16	14	13	18	8	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2009	259	51	210	117	166	113	47	86	71	90	29	125	35	11	7	9	19	7	17	16	9	90	9	5	95	12	54	44	35	3	1	7	0	2	1	151	0	0	4	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	220	6	14	11	11	3	9	4	10	8	8	11	12	9	3	7	3	2	0	7	4	9	11	17	4	6	7	2	12	0	0	0	0	0	0	0	0	5	5	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	1	0	0	1	3	0	0	0	0	1	1	3	1	1	0	0	0	3	1	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	862	27	25	22	37	21	19	24	25	31	39	20	41	29	25	22	28	23	35	15	27	41	25	27	33	23	38	50	27	5	0	0	2	1	2	5	5	10	6	2	5	20									
		3.61%	4.01%	3.70%	2.56%	4.23%	2.04%	3.52%	2.92%	4.67%	3.64%	4.38%	3.27%	4.92%	4.17%	2.79%	3.69%	3.94%	2.65%	5.30%	3.12%	3.02%	4.81%	3.13%	3.45%	4.18%	2.56%	4.72%	5.10%	3.52%	1.58%	0.00%	0.00%	1.64%	5.00%	1.90%	7.69%	3.31%	2.99%	2.62%	3.85%	6.33%	3.68%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	510	12	13	16	16	22	9	11	12	21	23	9	11	13	27	21	10	20	16	11	22	17	15	16	20	23	28	18	19	5	1	2	1	1	3	1	0	1	3	2	0	19									
		2.14%	1.78%	1.93%	1.86%	1.83%	2.14%	1.67%	1.34%	2.24%	2.47%	2.58%	1.47%	1.32%	1.87%	3.01%	3.52%	1.41%	2.30%	2.42%	2.29%	2.46%	1.99%	1.88%	2.05%	2.53%	2.56%	3.48%	1.83%	2.48%	1.58%	1.89%	1.63%	0.82%	5.00%	2.86%	1.54%	0.00%	0.30%	1.31%	3.85%	0.00%	3.49%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	735	13	23	22	23	21	16	18	16	32	28	23	19	19	41	25	30	22	22	15	42	26	15	25	30	30	32	30	16	17	1	7	1	1	0	6	5	11	3	0	1	8									
		3.08%	1.93%	3.41%	2.56%	2.63%	2.04%	2.96%	2.19%	2.99%	3.76%	3.14%	3.76%	2.28%	2.73%	4.58%	4.19%	4.23%	2.53%	3.33%	3.12%	4.69%	3.05%	1.88%	3.20%	3.80%	3.34%	3.98%	3.06%	2.09%	5.36%	1.89%	5.69%	0.82%	5.00%	0.00%	9.23%	3.31%	3.29%	1.31%	0.00%	1.27%	1.47%									
