Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																					
Дата голосования: 02.12.2007																																																					
																																																					
Наименование Избирательной комиссии:    Арзамасская городская																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
		Сумма	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153					
1	"Число избирателей, внесенных в списки избирателей"	85776	2191	1848	2364	1864	2509	2472	2399	1043	2993	1596	1636	1609	1907	1571	1651	2159	2006	2363	1563	2000	2559	2545	1037	2170	1917	2038	1754	1159	754	2454	2022	1129	1662	1263	865	2538	969	1401	2410	1654	3105	1018	1416	2282	1174	2737					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	73400	1800	1600	2100	1600	2300	2100	1900	900	2500	1400	1500	1500	1700	1300	1400	1800	1800	2000	1300	1700	2200	2400	1000	2200	1800	1500	1500	1000	700	2100	1700	1000	1400	1000	600	2200	800	1200	2000	1400	2500	800	1200	1900	1000	2100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	59552	1145	1140	1702	1290	1823	1650	1489	681	2144	1147	1200	1224	1347	1110	974	1471	1366	1595	1103	1409	1810	1923	823	1621	1440	1439	1250	811	616	1656	1513	945	1161	714	554	1823	672	808	1561	1129	2124	668	1075	1546	879	1981					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2329	203	122	31	43	50	81	108	57	42	23	42	16	40	16	35	37	39	47	48	24	53	119	28	65	35	22	15	72	23	77	39	18	78	28	18	147	70	69	54	45	74	16	11	19	16	14					
6	Число погашенных избирательных бюллетеней	11519	452	338	367	267	427	369	303	162	314	230	258	260	313	174	391	292	395	358	149	267	337	358	149	514	325	39	235	117	61	367	148	37	161	258	28	230	58	323	385	226	302	116	114	335	105	105					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2329	203	122	31	43	50	81	108	57	42	23	42	16	40	16	35	37	39	47	48	24	53	119	28	65	35	22	15	72	23	77	39	18	78	28	18	147	70	69	54	45	74	16	11	19	16	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	59500	1145	1140	1702	1290	1823	1650	1489	679	2144	1147	1200	1224	1346	1110	974	1471	1357	1585	1103	1408	1809	1923	822	1621	1437	1433	1244	811	615	1656	1513	944	1161	714	554	1822	672	808	1556	1129	2123	667	1074	1546	879	1980					
9	Число недействительных избирательных бюллетеней	828	12	19	24	13	20	17	21	6	40	14	21	19	23	19	13	22	26	30	20	26	21	14	15	23	25	27	14	15	14	21	25	17	18	7	3	14	6	8	21	7	28	6	16	21	9	28					
10	Число действительных избирательных бюллетеней	61001	1336	1243	1709	1320	1853	1714	1576	730	2146	1156	1221	1221	1363	1107	996	1486	1370	1602	1131	1406	1841	2028	835	1663	1447	1428	1245	868	624	1712	1527	945	1221	735	569	1955	736	869	1589	1167	2169	677	1069	1544	886	1966					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1396	25	23	40	25	41	25	28	11	25	28	20	35	35	23	35	40	25	40	40	40	50	35	15	35	42	40	30	20	10	35	20	20	30	25	15	36	15	22	40	30	55	15	26	45	35	51					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1364	24	23	40	22	41	24	26	9	25	28	20	35	35	23	33	40	23	40	35	40	47	34	13	35	42	40	30	20	10	35	20	20	30	24	11	36	15	21	38	30	55	15	26	45	35	51					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1354	23	13	8	7	10	26	35	6	13	6	7	6	20	22	8	2	6	18	36	6	46	21	8	57	14	217	12	76	87	17	41	81	47	34	86	25	16	18	35	11	76	4	15	14	12	6					
14	Число погашенных неиспользованных открепительных удостоверений	32	1	0	0	3	0	1	2	2	0	0	0	0	0	0	2	0	2	0	5	0	3	1	2	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	2	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																					
18	1.Политическая партия «Аграрная партия России»	1374	32	30	32	13	34	43	32	11	39	19	23	29	29	30	19	27	35	40	26	21	55	68	17	39	41	44	35	20	12	38	26	10	37	22	21	53	18	12	32	19	39	12	25	42	23	50					
