Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Кизеловская городская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК  1401	УИК  1402	УИК  1403	УИК  1404	УИК  1405	УИК  1406	УИК  1407	УИК  1408	УИК  1409	УИК  1410	УИК  1412	УИК  1413	УИК  1414	УИК  1415	УИК  1416	УИК  1417	УИК  1418	УИК  1419	УИК  1420					
1	"Число избирателей, внесенных в списки"	25245	1088	2018	2147	1334	1803	1466	1954	680	671	492	867	676	565	2355	390	1541	1680	1774	1744					
2	"Число бюллетеней, полученных участковыми комиссиями"	27100	1050	1850	2050	1250	1700	1800	2100	1100	650	500	1750	600	550	2350	400	1950	1600	1900	1950					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	16	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14424	570	1111	1338	701	933	855	1182	631	479	307	593	340	260	1146	390	710	889	927	1062					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1157	35	55	64	40	44	184	57	49	11	55	94	33	22	119	0	66	128	53	48					
6	Число погашенных бюллетеней	11501	445	684	648	509	723	759	861	420	160	138	1047	227	268	1085	10	1174	583	920	840					
7	Число бюллетеней в переносных ящиках для голосования	1173	35	55	64	40	44	184	57	49	11	55	110	33	22	119	0	66	128	53	48					
8	Число бюллетеней в стационарных ящиках для голосования	14372	570	1111	1337	661	933	845	1181	631	479	307	593	340	260	1146	390	710	889	927	1062					
9	Число недействительных бюллетеней	397	4	19	30	15	16	29	28	19	6	6	25	13	6	26	4	10	30	72	39					
10	Число действительных бюллетеней	15148	601	1147	1371	686	961	1000	1210	661	484	356	678	360	276	1239	386	766	987	908	1071					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	433	15	30	36	15	25	17	35	15	15	20	20	15	15	35	0	20	30	30	45					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	374	14	25	33	12	25	17	35	13	15	18	20	15	8	25	0	20	27	25	27					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	482	6	11	4	7	7	8	6	11	8	3	32	5	4	17	303	5	28	2	15					
14	Число погашенных открепительных удостоверений	59	1	5	3	3	0	0	0	2	0	2	0	0	7	10	0	0	3	5	18					
15	Число открепительных удостоверений выданных ТИК	55	0	5	4	4	2	4	4	2	2	2	6	0	0	4	0	6	8	1	1					
16	Число утраченных бюллетеней	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	"1. ""ЕДИНЕНИЕ"""	305	13	24	13	15	15	27	26	10	7	8	23	15	11	21	12	8	20	23	14					
		1.96%	2.14%	2.05%	0.92%	2.13%	1.53%	2.62%	2.10%	1.47%	1.42%	2.20%	3.27%	4.02%	3.90%	1.66%	3.07%	1.03%	1.96%	2.34%	1.26%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	767	22	95	74	37	61	64	90	51	69	25	24	3	6	36	9	29	26	26	20					
		4.93%	3.63%	8.14%	5.28%	5.27%	6.24%	6.21%	7.26%	7.5%	14.08%	6.90%	3.41%	0.80%	2.12%	2.84%	2.30%	3.73%	2.55%	2.65%	1.80%					
