Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																					
Дата голосования: 07.12.2003 0:00:00																																																					
																																																					
Наименование Избирательной комиссии:    Сурская																																																					
																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																					
																																																					
		Сумма	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627					
1	"Число избирателей, внесенных в списки"	17831	188	86	52	279	833	260	82	201	515	208	428	87	61	631	186	390	81	541	292	211	143	578	135	200	107	187	351	101	719	305	92	94	1161	136	1945	2159	1786	196	297	407	144	68	207	77	378	246					
2	"Число бюллетеней, полученных участковыми комиссиями"	17933	188	87	53	279	838	267	80	203	511	210	428	87	62	629	190	391	80	539	292	209	148	582	138	199	111	188	351	105	704	308	130	97	1165	137	1955	2164	1800	201	287	414	146	69	209	77	378	247					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10063	113	54	37	150	554	139	51	153	322	126	212	50	40	290	119	233	57	277	155	108	110	328	77	141	79	121	239	59	416	198	80	68	613	76	1061	1130	773	102	129	307	85	48	160	59	210	154					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1014	23	6	0	36	31	22	7	0	44	19	72	1	7	13	10	17	5	27	22	32	12	17	17	25	6	23	39	15	73	18	12	11	28	17	44	44	34	25	8	28	25	6	10	6	39	38					
6	Число погашенных бюллетеней	6856	52	27	16	93	253	106	22	50	145	65	144	36	15	326	61	141	18	235	115	69	26	237	44	33	26	44	73	31	215	92	38	18	524	44	850	990	993	74	150	79	36	15	39	12	129	55					
7	Число бюллетеней в переносных ящиках для голосования	1014	23	6	0	36	31	22	7	0	44	19	72	1	7	13	10	17	5	27	22	32	12	17	17	25	6	23	39	15	73	18	12	11	28	17	44	44	34	25	8	28	25	6	10	6	39	38					
8	Число бюллетеней в стационарных ящиках для голосования	10062	113	54	37	150	554	139	51	153	322	126	212	50	40	290	119	233	57	277	155	108	110	328	77	141	79	121	239	59	416	198	80	68	613	76	1061	1129	773	102	129	307	85	48	160	59	210	154					
9	Число недействительных бюллетеней	481	0	0	0	2	25	2	0	22	22	7	12	0	0	15	22	9	1	9	22	10	2	18	11	6	3	1	9	0	9	8	1	0	51	2	38	32	28	9	13	2	4	0	13	0	12	29					
10	Число действительных бюллетеней	10595	136	60	37	184	560	159	58	131	344	138	272	51	47	288	107	241	61	295	155	130	120	327	83	160	82	143	269	74	480	208	91	79	590	91	1067	1141	779	118	124	333	106	54	157	65	237	163					
