Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Брянская - 78																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №224	УИК №225	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22011	2111	332	133	483	723	294	2450	1002	2228	1498	545	511	368	1935	338	575	239	233	1100	485	1455	924	531	194	580	744									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19750	1800	300	100	400	700	250	2200	900	2000	1200	500	500	350	1800	300	500	200	200	1000	400	1400	900	500	150	500	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9759	404	113	77	138	338	202	1482	162	1019	660	298	275	190	1263	105	293	112	140	467	307	423	297	125	116	278	475									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2385	750	28	15	98	79	12	144	305	52	104	47	15	4	139	29	132	47	11	41	15	49	90	93	32	32	22									
6	Число погашенных избирательных бюллетеней	7606	646	159	8	164	283	36	574	433	929	436	155	210	156	398	166	75	41	49	492	78	928	513	282	2	190	203									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2385	750	28	15	98	79	12	144	305	52	104	47	15	4	139	29	132	47	11	41	15	49	90	93	32	32	22									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9758	404	113	77	138	338	202	1482	162	1019	660	298	275	190	1263	105	293	112	140	467	307	422	297	125	116	278	475									
9	Число недействительных избирательных бюллетеней	170	17	2	1	7	3	1	23	5	20	16	8	10	1	7	4	0	0	1	11	2	10	7	3	0	2	9									
10	Число действительных избирательных бюллетеней	11973	1137	139	91	229	414	213	1603	462	1051	748	337	280	193	1395	130	425	159	150	497	320	461	380	215	148	308	488									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	130	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	46	5	0	1	0	2	1	5	0	5	4	0	0	0	4	0	2	1	1	5	0	0	5	0	0	2	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	32	0	0	4	1	0	0	0	1	3	1	0	0	0	1	3	4	1	1	2	0	1	0	1	2	2	4									
14	Число погашенных неиспользованных открепительных удостоверений	84	0	5	4	5	3	4	0	5	0	1	5	5	5	1	5	3	4	4	0	5	5	0	5	5	3	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	2	0	0	0	0	0	0	0	3	1	0	2	0	1	1	0	0	0	1	0	2	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	144	16	2	0	1	11	0	21	1	13	12	0	3	3	18	2	6	1	1	7	1	8	6	4	1	3	3									
		1.19%	1.39%	1.42%	0.00%	0.42%	2.64%	0.00%	1.29%	0.21%	1.21%	1.57%	0.00%	1.03%	1.55%	1.28%	1.49%	1.41%	0.63%	0.66%	1.38%	0.31%	1.70%	1.55%	1.83%	0.68%	0.97%	0.60%									
