Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Хабарская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13518	1374	1297	1381	664	915	1234	189	179	447	281	750	668	183	744	291	115	590	156	420	142	1498									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12100	1200	1150	1250	600	800	1100	170	160	400	250	680	600	160	670	260	105	550	140	380	125	1350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5250	576	516	523	301	317	450	107	85	175	70	271	239	46	283	101	56	234	99	173	74	554									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	540	31	29	54	7	52	35	13	11	14	28	47	21	26	30	20	0	35	6	12	9	60									
6	Число погашенных избирательных бюллетеней	6310	593	605	673	292	431	615	50	64	211	152	362	340	88	357	139	49	281	35	195	42	736									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	540	31	29	54	7	52	35	13	11	14	28	47	21	26	30	20	0	35	6	12	9	60									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5249	576	516	523	300	317	450	107	85	175	70	271	239	46	283	101	56	234	99	173	74	554									
9	Число недействительных избирательных бюллетеней	176	15	13	16	10	7	14	0	3	5	6	12	13	1	4	3	3	9	5	11	2	24									
10	Число действительных избирательных бюллетеней	5613	592	532	561	297	362	471	120	93	184	92	306	247	71	309	118	53	260	100	174	81	590									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	124	24	9	9	10	7	9	2	3	6	2	6	5	2	6	2	2	5	2	3	2	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	68	24	6	8	7	0	2	2	3	4	0	1	3	0	1	1	0	0	1	2	1	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	62	7	8	5	2	2	2	3	3	2	3	2	3	2	2	2	0	4	1	1	3	5									
14	Число погашенных неиспользованных открепительных удостоверений	56	0	3	1	3	7	7	0	0	2	2	5	2	2	5	1	2	5	1	1	1	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	1	0	1	1	0	0	0	0	0	0	3	0	0	1	2	0	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	30	5	3	1	6	1	1	0	1	1	0	1	0	0	3	2	0	2	1	2	0	0									
		0.52%	0.82%	0.55%	0.17%	1.95%	0.27%	0.21%	0.00%	1.04%	0.53%	0.00%	0.31%	0.00%	0.00%	0.96%	1.65%	0.00%	0.74%	0.95%	1.08%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	246	25	25	21	18	15	21	3	4	9	4	11	8	5	29	5	0	17	7	4	2	13									
		4.25%	4.12%	4.59%	3.64%	5.86%	4.07%	4.33%	2.50%	4.17%	4.76%	4.08%	3.46%	3.08%	6.94%	9.27%	4.13%	0.00%	6.32%	6.67%	2.16%	2.41%	2.12%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	98	7	14	8	5	6	10	2	4	4	1	3	5	11	1	1	1	4	3	1	0	7									
		1.69%	1.15%	2.57%	1.39%	1.63%	1.63%	2.06%	1.67%	4.17%	2.12%	1.02%	0.94%	1.92%	15.28%	0.32%	0.83%	1.79%	1.49%	2.86%	0.54%	0.00%	1.14%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2265	215	173	177	100	164	178	65	30	91	34	107	152	29	126	70	32	106	51	105	29	231									
		39.13%	35.42%	31.74%	30.68%	32.57%	44.44%	36.70%	54.17%	31.25%	48.15%	34.69%	33.65%	58.46%	40.28%	40.26%	57.85%	57.14%	39.41%	48.57%	56.76%	34.94%	37.62%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	22	1	2	1	1	2	2	0	1	0	1	1	2	0	1	0	1	0	0	2	2	2									
		0.38%	0.16%	0.37%	0.17%	0.33%	0.54%	0.41%	0.00%	1.04%	0.00%	1.02%	0.31%	0.77%	0.00%	0.32%	0.00%	1.79%	0.00%	0.00%	1.08%	2.41%	0.33%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1									
		0.12%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.83%	0.00%	0.37%	0.95%	0.00%	0.00%	0.16%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1086	101	144	149	64	64	70	17	18	21	24	48	39	9	36	10	5	61	12	28	26	140									
