Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																						
Дата голосования: 04.12.2011																																						
																																						
Наименование Избирательной комиссии:    Манская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1593	УИК №1594					
1	"Число избирателей, внесенных в список избирателей"	14122	106	261	1618	178	77	350	1565	729	433	86	1767	1616	482	190	136	81	207	398	430	97	229	404	712	93	362	520	206	264	110	344	71					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14163	106	263	1630	178	85	351	1589	717	446	87	1743	1599	489	183	138	87	213	400	437	100	233	397	708	95	356	522	209	270	111	346	75					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	7	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6204	47	124	686	57	39	138	614	310	149	54	827	729	222	80	40	38	102	177	164	42	101	185	334	38	179	268	69	132	67	161	31					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	562	1	9	27	8	4	13	22	17	23	0	70	44	24	9	30	8	19	17	18	4	10	17	29	19	19	23	18	42	2	8	8					
6	Число погашенных избирательных бюллетеней	7390	58	130	917	110	38	200	953	390	274	33	846	826	243	94	68	41	92	206	255	54	122	195	345	38	158	231	122	96	42	177	36					
7	Число избирательных бюллетеней в переносных ящиках для голосования	569	1	9	27	11	8	13	22	17	23	0	70	44	24	9	30	8	19	17	18	4	10	17	29	19	19	23	18	42	2	8	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6204	47	124	686	57	39	138	614	310	149	54	827	729	222	80	40	38	102	177	164	42	101	185	334	38	179	268	69	132	67	161	31					
9	Число недействительных избирательных бюллетеней	116	1	1	10	0	3	1	13	6	2	1	15	12	4	2	0	1	5	5	3	0	1	4	12	1	1	3	4	1	0	3	1					
10	Число действительных избирательных бюллетеней	6657	47	132	703	68	44	150	623	321	170	53	882	761	242	87	70	45	116	189	179	46	110	198	351	56	197	288	83	173	69	166	38					
