Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																											
Дата голосования: 02.12.2007																																											
																																											
Наименование Избирательной комиссии:    Архангельская																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910					
1	"Число избирателей, внесенных в списки избирателей"	14529	420	396	388	241	2082	2332	593	182	287	267	190	106	590	190	479	187	677	302	448	243	192	141	453	217	137	236	475	253	138	95	96	255	89	476	312	364					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	14723	426	409	388	241	2136	2225	606	190	296	268	196	109	611	194	537	193	687	320	458	250	199	146	456	230	142	245	476	254	141	91	96	257	95	469	314	372					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11989	334	264	367	241	1835	1964	414	112	184	244	182	66	440	134	219	160	561	243	422	219	185	131	338	166	120	231	406	193	106	83	75	226	61	393	312	358					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1970	84	131	17	0	90	246	93	66	103	18	5	40	122	54	156	27	89	57	26	24	7	10	115	50	17	5	58	60	32	8	21	29	28	76	0	6					
6	Число погашенных избирательных бюллетеней	764	8	14	4	0	211	15	99	12	9	6	9	3	49	6	162	6	37	20	10	7	7	5	3	14	5	9	12	1	3	0	0	2	6	0	2	8					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1970	84	131	17	0	90	246	93	66	103	18	5	40	122	54	156	27	89	57	26	24	7	10	115	50	17	5	58	60	32	8	21	29	28	76	0	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11989	334	264	367	241	1835	1964	414	112	184	244	182	66	440	134	219	160	561	243	422	219	185	131	338	166	120	231	406	193	106	83	75	226	61	393	312	358					
9	Число недействительных избирательных бюллетеней	91	1	1	0	0	0	0	1	2	5	0	3	0	1	0	4	0	19	0	0	1	3	10	0	2	0	0	3	2	3	5	1	0	4	13	7	0					
10	Число действительных избирательных бюллетеней	13868	417	394	384	241	1925	2210	506	176	282	262	184	106	561	188	371	187	631	300	448	242	189	131	453	214	137	236	461	251	135	86	95	255	85	456	305	364					
