Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Красноярская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	39399	733	745	446	1640	2510	805	259	1143	1453	2126	1966	589	505	1734	2175	1592	2007	1973	1023	1531	1004	407	217	885	828	281	633	253	1025	330	775	336	816	399	421	619	666	368	421	134	428	308	154	470	266									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37650	710	720	440	1550	2360	810	260	1100	1350	2060	1880	560	510	1680	1900	1550	1930	1860	960	1440	970	360	210	800	800	280	610	250	1000	330	740	320	790	380	390	620	650	350	400	130	430	320	160	470	260									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23886	360	428	275	723	1336	511	157	699	1001	1364	1320	387	224	800	1089	824	1584	1482	690	1253	758	164	174	638	673	246	430	151	576	177	254	164	324	212	280	278	319	231	226	110	184	183	88	342	197									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4668	155	58	45	89	61	95	32	365	313	375	390	166	251	38	233	63	72	59	175	70	88	106	24	40	42	32	35	80	174	70	133	49	186	17	50	74	54	33	36	18	98	18	19	41	46									
6	Число погашенных избирательных бюллетеней	9096	195	234	120	738	963	204	71	36	36	321	170	7	35	842	578	663	274	319	95	117	124	90	12	122	85	2	145	19	250	83	353	107	280	151	60	268	277	86	138	2	148	119	53	87	17									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4668	155	58	45	89	61	95	32	365	313	375	390	166	251	38	233	63	72	59	175	70	88	106	24	40	42	32	35	80	174	70	133	49	186	17	50	74	54	33	36	18	98	18	19	41	46									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23886	360	428	275	723	1336	511	157	699	1001	1364	1320	387	224	800	1089	824	1584	1482	690	1253	758	164	174	638	673	246	430	151	576	177	254	164	324	212	280	278	319	231	226	110	184	183	88	342	197									
9	Число недействительных избирательных бюллетеней	1488	22	29	12	21	47	15	8	173	168	201	233	47	41	26	43	24	20	27	9	25	95	4	3	5	8	1	12	2	26	8	14	7	7	5	13	12	16	3	13	2	12	10	3	13	3									
10	Число действительных избирательных бюллетеней	27066	493	457	308	791	1350	591	181	891	1146	1538	1477	506	434	812	1279	863	1636	1514	856	1298	751	266	195	673	707	277	453	229	724	239	373	206	503	224	317	340	357	261	249	126	270	191	104	370	240									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	623	15	10	15	15	20	27	10	11	22	20	26	7	26	20	29	17	16	15	6	10	20	5	2	20	20	10	10	10	20	25	5	5	10	10	5	27	13	1	10	0	18	17	7	15	1									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	616	15	10	15	15	20	27	9	11	22	20	25	7	26	20	29	17	16	15	5	10	20	5	0	20	20	10	10	10	20	25	5	4	10	10	5	27	13	0	10	0	18	17	7	15	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	357	9	6	11	19	18	7	3	7	17	18	39	5	10	5	24	4	16	4	2	4	6	23	0	12	0	0	2	1	3	4	15	3	10	9	11	5	6	5	0	0	3	0	1	8	2									
14	Число погашенных неиспользованных открепительных удостоверений	7	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	48	0	1	1	2	3	1	1	0	4	9	4	0	2	2	2	2	0	0	0	0	0	0	0	1	0	0	0	0	5	2	0	0	1	0	1	1	1	0	0	0	2	0	0	0	0									
