Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																
Дата голосования: 07.12.2003 0:00:00																																																
																																																
Наименование Избирательной комиссии:    Макушинская																																																
																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																
																																																
		Сумма	УИК  606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646					
1	"Число избирателей, внесенных в списки"	17493	1794	1549	1510	1054	855	941	261	183	97	466	117	96	73	547	143	150	105	646	775	615	455	329	137	234	323	443	133	334	75	659	104	80	506	191	439	101	203	305	342	84	39					
2	"Число бюллетеней, полученных участковыми комиссиями"	17795	1791	1537	1485	1065	860	920	273	185	97	467	166	98	77	557	155	153	118	677	820	615	457	330	150	232	326	453	136	335	77	674	118	104	513	237	446	108	226	281	347	86	43					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10591	914	562	705	435	381	491	175	140	88	315	87	83	68	409	143	111	69	373	524	473	390	190	99	174	246	319	95	254	60	416	70	80	335	185	344	73	148	245	233	61	28					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	278	33	18	32	17	23	22	5	0	0	11	0	0	0	0	0	0	6	20	0	0	0	2	5	0	0	15	3	0	0	16	0	0	38	6	0	0	0	0	6	0	0					
6	Число погашенных бюллетеней	6926	844	957	748	613	456	407	93	45	9	141	79	15	9	148	12	42	43	284	296	142	67	138	46	58	80	119	38	81	17	242	48	24	140	46	102	35	78	36	108	25	15					
7	Число бюллетеней в переносных ящиках для голосования	278	33	18	32	17	23	22	5	0	0	11	0	0	0	0	0	0	6	20	0	0	0	2	5	0	0	15	3	0	0	16	0	0	38	6	0	0	0	0	6	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	10591	914	562	705	435	381	491	175	140	88	315	87	83	68	409	143	111	69	373	524	473	390	190	99	174	246	319	95	254	60	416	70	80	335	185	344	73	148	245	233	61	28					
9	Число недействительных бюллетеней	102	7	16	7	2	7	4	2	1	2	4	4	0	0	0	0	2	2	4	5	2	4	3	0	2	0	5	0	0	0	4	0	0	6	0	0	0	0	0	6	1	0					
10	Число действительных бюллетеней	10767	940	564	730	450	397	509	178	139	86	322	83	83	68	409	143	109	73	389	519	471	386	189	104	172	246	329	98	254	60	428	70	80	367	191	344	73	148	245	233	60	28					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	349	35	30	30	21	17	18	5	4	2	9	3	2	1	11	3	3	2	13	16	12	9	6	3	5	6	9	3	7	2	13	2	2	10	5	9	2	4	5	7	2	1					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	32	2	1	6	2	3	1	0	0	0	0	0	0	0	4	0	0	0	1	3	2	1	0	0	3	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	17	1	0	4	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0					
14	Число погашенных открепительных удостоверений	317	33	29	24	19	14	17	5	4	2	9	3	2	1	7	3	3	2	12	13	10	8	6	3	2	6	8	3	7	2	13	2	2	8	5	9	2	4	5	7	2	1					
