Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
"Наименование Избирательной комиссии:    Владимир, Ленинская"																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	100862	1979	1934	1982	1861	2044	2012	1581	2491	2737	2507	1904	1187	1381	1191	1858	2289	2935	2488	2415	1771	2548	2324	2232	1322	2470	2305	1347	2318	842	1354	240	1524	2604	2517	2274	2448	2321	2512	340	2035	2010	1769	412	1842	1111	932	1781	1479	1285	1545	1885	1929	1352	2422	684									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	85200	1800	1800	1800	1500	1500	2000	1500	2200	2500	2500	1500	1000	1100	1000	1600	2000	2500	2000	2000	1500	2000	2000	2000	1000	2000	2000	1000	2000	600	1000	200	1200	2000	2000	2000	2000	2000	2000	300	2000	2000	1500	300	1500	1000	700	1500	1200	1000	1200	1500	1600	1000	2000	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	33078	556	655	806	655	979	660	508	755	840	854	622	408	506	391	701	718	869	856	744	544	864	905	684	469	836	725	353	554	222	436	182	507	754	785	669	737	742	789	93	877	606	519	101	673	400	392	571	487	419	450	555	607	467	771	250									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1158	22	12	15	21	37	27	8	36	32	26	25	11	7	9	13	11	2	24	12	15	25	36	7	32	13	80	15	194	6	7	16	23	24	42	26	16	21	9	14	14	9	4	11	6	11	8	11	26	14	30	15	3	11	9	5									
6	Число погашенных избирательных бюллетеней	50964	1222	1133	979	824	484	1313	984	1409	1628	1620	853	581	587	600	886	1271	1629	1120	1244	941	1111	1059	1309	499	1151	1195	632	1252	372	557	2	670	1222	1173	1305	1247	1237	1202	193	1109	1385	977	188	821	589	300	918	687	567	720	930	990	522	1220	345									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1158	22	12	15	21	37	27	8	36	32	26	25	11	7	9	13	11	2	24	12	15	25	36	7	32	13	80	15	194	6	7	16	23	24	42	26	16	21	9	14	14	9	4	11	6	11	8	11	26	14	30	15	3	11	9	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	33066	555	652	806	655	978	660	508	755	840	853	622	408	506	391	701	717	868	856	743	544	864	905	684	469	836	723	353	554	222	436	182	507	754	785	669	737	742	789	93	877	606	519	101	673	400	392	571	487	419	450	555	607	466	771	250									
9	Число недействительных избирательных бюллетеней	675	13	10	12	18	22	17	6	23	19	13	15	8	5	12	9	13	10	13	18	4	16	18	19	7	21	21	6	20	4	4	22	12	9	16	12	18	12	15	3	16	12	14	2	11	7	11	13	11	7	4	12	10	9	10	11									
10	Число действительных избирательных бюллетеней	33549	564	654	809	658	993	670	510	768	853	866	632	411	508	388	705	715	860	867	737	555	873	923	672	494	828	782	362	728	224	439	176	518	769	811	683	735	751	783	104	875	603	509	110	668	404	389	569	502	426	476	558	600	468	770	244									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2310	50	50	50	40	100	50	40	50	50	50	40	30	40	30	40	50	50	50	50	40	50	50	50	30	50	50	30	50	20	30	0	40	50	50	50	50	50	50	20	50	50	40	20	40	30	30	40	30	30	40	40	50	30	50	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	563	9	17	22	9	16	8	9	12	12	9	13	5	10	3	11	7	10	17	16	5	8	7	17	13	10	21	5	16	5	5	0	7	12	14	6	15	15	9	2	24	8	14	2	7	4	10	11	9	3	5	7	13	16	20	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	475	10	3	8	19	29	5	13	8	12	5	14	11	5	3	10	0	10	4	8	7	13	3	8	16	7	22	7	12	14	4	26	4	8	4	4	3	5	5	2	8	5	4	2	6	6	8	4	8	3	4	13	5	12	9	27									
14	Число погашенных неиспользованных открепительных удостоверений	1747	41	33	28	31	84	42	31	38	38	41	27	25	30	27	29	43	40	33	34	35	42	43	33	17	40	29	25	34	15	25	0	33	38	36	44	35	35	41	18	26	42	26	18	33	26	20	29	21	27	35	33	37	14	30	17									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	99	4	2	0	8	19	0	1	5	1	1	2	6	0	0	1	2	5	0	3	0	3	0	1	0	0	2	1	1	0	1	0	0	1	0	0	2	1	5	0	3	0	0	1	0	0	2	3	0	0	0	4	0	0	8	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	791	11	15	16	22	26	7	7	21	17	28	12	7	13	7	15	11	19	35	15	16	16	28	19	16	18	10	7	17	10	8	8	13	23	19	12	10	19	14	0	30	12	10	5	14	11	12	11	11	10	13	11	13	14	16	11									
		2.31%	1.91%	2.26%	1.95%	3.25%	2.56%	1.02%	1.36%	2.65%	1.95%	3.19%	1.85%	1.67%	2.53%	1.75%	2.10%	1.51%	2.18%	3.98%	1.99%	2.86%	1.80%	2.98%	2.75%	3.19%	2.12%	1.25%	1.90%	2.27%	4.39%	1.81%	4.04%	2.45%	2.96%	2.30%	1.73%	1.33%	2.49%	1.75%	0.00%	3.37%	1.95%	1.91%	4.46%	2.06%	2.68%	3.00%	1.89%	2.14%	2.31%	2.71%	1.93%	2.13%	2.94%	2.05%	4.31%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	808	11	9	16	17	31	15	8	18	21	30	17	14	11	11	16	18	10	22	14	14	13	15	19	5	10	17	13	12	3	7	2	22	13	22	20	24	17	26	3	23	21	15	0	19	23	7	11	12	11	10	11	19	15	19	6									
		2.36%	1.91%	1.36%	1.95%	2.51%	3.05%	2.18%	1.55%	2.28%	2.41%	3.41%	2.63%	3.34%	2.14%	2.75%	2.24%	2.47%	1.15%	2.50%	1.85%	2.50%	1.46%	1.59%	2.75%	0.99%	1.18%	2.12%	3.53%	1.60%	1.32%	1.58%	1.01%	4.15%	1.67%	2.66%	2.88%	3.19%	2.23%	3.26%	2.80%	2.58%	3.41%	2.87%	0.00%	2.80%	5.60%	1.75%	1.89%	2.34%	2.54%	2.08%	1.93%	3.11%	3.14%	2.44%	2.35%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1140	12	22	32	19	14	20	16	22	32	43	18	14	23	9	28	30	22	29	14	23	25	33	16	11	20	19	17	23	7	12	7	18	22	45	41	27	32	42	1	29	22	15	9	26	20	9	26	21	20	13	10	22	10	21	7									
		3.33%	2.08%	3.31%	3.90%	2.81%	1.38%	2.91%	3.10%	2.78%	3.67%	4.89%	2.78%	3.34%	4.48%	2.25%	3.92%	4.12%	2.53%	3.30%	1.85%	4.11%	2.81%	3.51%	2.32%	2.20%	2.36%	2.37%	4.62%	3.07%	3.07%	2.71%	3.54%	3.40%	2.83%	5.44%	5.90%	3.59%	4.19%	5.26%	0.93%	3.25%	3.58%	2.87%	8.04%	3.83%	4.87%	2.25%	4.47%	4.09%	4.62%	2.71%	1.75%	3.61%	2.10%	2.69%	2.75%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12810	215	235	293	262	473	260	218	259	314	297	226	160	202	136	258	267	328	308	290	216	292	294	251	175	306	311	143	307	91	150	133	226	308	337	300	335	248	305	54	320	227	204	46	206	187	129	217	186	138	183	203	215	164	309	93									
		37.43%	37.26%	35.39%	35.69%	38.76%	46.60%	37.85%	42.25%	32.74%	36.01%	33.79%	34.93%	38.19%	39.38%	34.00%	36.13%	36.68%	37.70%	35.00%	38.41%	38.64%	32.85%	31.24%	36.32%	34.93%	36.04%	38.73%	38.86%	41.04%	39.91%	33.86%	67.17%	42.64%	39.59%	40.75%	43.17%	44.49%	32.50%	38.22%	50.47%	35.91%	36.91%	39.01%	41.07%	30.34%	45.50%	32.25%	37.29%	36.26%	31.87%	38.13%	35.61%	35.25%	34.38%	39.62%	36.47%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	499	11	10	15	8	12	13	4	13	13	17	12	5	7	7	12	8	17	10	10	12	21	11	5	12	9	14	6	5	3	4	0	4	13	10	8	5	10	7	4	14	6	6	1	8	2	12	12	9	6	13	7	15	7	9	5									
