Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Таганский район																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №3618	УИК №3619	УИК №3620	УИК №3621									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	73775	1979	1568	1430	2418	1361	2349	2355	2436	2688	2661	2301	2339	2264	2611	2607	2739	2755	2455	2675	2193	2462	2494	2677	1933	2130	1986	2210	2255	2555	2488	2044	1596	33	330	332	66									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52750	1200	1000	1000	1700	1000	1700	1700	1700	2000	2000	1600	1700	1600	1800	1800	2000	2000	1700	2000	1500	1700	1700	2000	1500	1500	1500	1600	1600	1800	1800	1400	1100	50	330	400	70									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24902	826	544	486	731	459	884	870	964	789	959	777	743	837	840	951	930	943	869	765	754	819	734	848	552	748	730	690	680	770	773	636	473	30	118	330	50									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	790	27	9	14	27	13	21	28	32	20	8	7	12	21	27	18	22	5	14	15	20	25	17	16	10	17	21	18	18	23	23	19	8	0	212	2	1									
6	Число погашенных избирательных бюллетеней	27055	347	447	500	942	528	795	802	704	1191	1033	816	945	742	930	831	1048	1052	817	1220	726	856	949	1136	938	735	749	892	902	1007	1004	745	619	20	0	68	19									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	787	27	9	14	27	13	21	28	29	20	8	7	12	21	27	18	22	5	14	15	20	25	17	16	10	17	21	18	18	23	23	19	8	0	212	2	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24713	824	544	486	730	459	882	868	838	789	958	767	743	834	840	948	927	942	868	765	753	819	733	845	552	748	709	689	676	768	773	635	473	30	118	330	50									
9	Число недействительных избирательных бюллетеней	360	6	4	2	15	7	11	12	10	5	12	13	12	10	12	14	21	11	9	7	13	9	10	11	7	7	17	8	16	11	11	6	11	2	13	11	4									
10	Число действительных избирательных бюллетеней	25140	845	549	498	742	465	892	884	857	804	954	761	743	845	855	952	928	936	873	773	760	835	740	850	555	758	713	699	678	780	785	648	470	28	317	321	47									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	440	10	10	10	10	10	20	20	20	10	10	20	20	10	10	20	10	10	10	20	10	20	20	10	10	20	10	10	10	20	20	10	10	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	285	8	7	5	10	2	15	11	12	1	10	7	13	8	10	13	9	4	9	11	8	8	12	9	8	17	4	7	10	15	13	7	2	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	736	17	47	80	59	16	28	21	5	13	62	8	11	4	7	12	18	6	7	7	82	48	7	8	11	22	25	10	29	31	4	11	15	0	5	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	155	2	3	5	0	8	5	9	8	9	0	13	7	2	0	7	1	6	1	9	2	12	8	1	2	3	6	3	0	5	7	3	8	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	47	1	0	2	0	0	3	2	4	5	2	4	1	0	1	0	4	0	1	1	1	0	1	2	0	2	0	2	2	1	0	3	2	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	945	43	26	18	35	12	35	47	28	23	43	45	28	32	38	43	28	36	23	28	26	36	19	42	18	22	28	21	20	14	36	16	14	3	9	10	0									
