Выборы Президента Российской Федерации																			
																			
Наименование Избирательной комиссии:    Обская городская																			
																			
Итоги голосования 																			
																			
		Сумма	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412					
1	"Число избирателей, внесенных в список"	20223	1974	1756	1482	1857	483	2319	1533	1789	2451	2257	1984	338					
2	Число полученных избирательных бюллетеней	20166	1976	1708	1485	1881	484	2365	1535	1770	2411	2251	1970	330					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10447	887	703	618	871	342	1292	874	1075	1503	1154	965	163					
5	"Число избирательных бюллетеней, выданных вне помещения"	995	96	138	133	77	99	52	36	123	30	30	130	51					
6	Число погашенных избирательных бюллетеней	8724	993	867	734	933	43	1021	625	572	878	1067	875	116					
7	Число избирательных бюллетеней в переносных ящиках	994	96	137	133	77	99	52	36	123	30	30	130	51					
8	Число бюллетеней в стационарных ящиках для голосования	10441	886	703	615	871	342	1292	873	1075	1503	1153	965	163					
9	Число недействительных избирательных бюллетеней	137	24	9	12	10	17	19	5	3	7	12	14	5					
10	Число действительных избирательных бюллетеней	11298	958	831	736	938	424	1325	904	1195	1526	1171	1081	209					
11	Число полученных открепительных  удостоверений	230	20	20	20	20	10	20	20	20	30	20	20	10					
12	Число выданных открепительных удостоверений	83	2	2	2	7	0	13	6	8	30	7	5	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	78	4	2	3	4	1	12	2	25	10	6	3	6					
14	Число неиспользованных открепительных удостоверений	147	18	18	18	13	10	7	14	12	0	13	15	9					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																			
18	. Глазьев Сергей Юрьевич	615	25	35	35	33	2	54	113	107	83	81	41	6					
		5.38%	2.55%	4.17%	4.68%	3.48%	0.45%	4.02%	12.43%	8.93%	5.41%	6.85%	3.74%	2.80%					
19	. Малышкин Олег Александрович	202	25	15	13	37	4	8	14	15	27	23	18	3					
		1.77%	2.55%	1.79%	1.74%	3.90%	0.91%	0.60%	1.54%	1.25%	1.76%	1.94%	1.64%	1.40%					
20	. Миронов Сергей Михайлович	83	3	7	11	6	6	20	2	7	8	5	8	0					
		0.73%	0.31%	0.83%	1.47%	0.63%	1.36%	1.49%	0.22%	0.58%	0.52%	0.42%	0.73%	0.00%					
21	. Путин Владимир Владимирович	7665	668	598	496	636	350	888	536	749	1047	755	791	151					
		67.03%	68.02%	71.19%	66.31%	67.09%	79.37%	66.07%	58.97%	62.52%	68.30%	63.82%	72.24%	70.56%					
22	. Хакамада Ирина Муцуовна	414	32	25	23	36	5	53	34	66	71	35	26	8					
		3.62%	3.26%	2.98%	3.07%	3.80%	1.13%	3.94%	3.74%	5.51%	4.63%	2.96%	2.37%	3.74%					
23	. Харитонов Николай Михайлович	1822	180	122	131	160	48	235	167	194	185	212	156	32					
		15.93%	18.33%	14.52%	17.51%	16.88%	10.88%	17.49%	18.37%	16.19%	12.07%	17.92%	14.25%	14.95%					
																			
24	Против всех	497	25	29	27	30	9	67	38	57	105	60	41	9					
		4.35%	2.55%	3.45%	3.61%	3.16%	2.04%	4.99%	4.18%	4.76%	6.85%	5.07%	3.74%	4.21%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
