Выборы Президента Российской Федерации																																																																					
																																																																					
Наименование Избирательной комиссии:    Петроградская №18																																																																					
																																																																					
Итоги голосования 																																																																					
																																																																					
		Сумма	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366					
1	"Число избирателей, внесенных в список"	100873	1918	1533	2191	1489	1061	1430	1664	1662	1962	2232	2268	2458	1584	2587	1669	1392	1272	1268	1864	2242	1983	1298	1633	1833	1836	984	2183	2220	754	1335	1113	2502	1133	2491	86	212	406	1984	1555	2010	2751	1435	1710	2004	1886	1313	778	1179	2497	2104	2373	1756	1570	2345	1147	1564	2636	1220	915	2021	161	211					
2	Число полученных избирательных бюллетеней	94700	1800	1500	2000	1400	1000	1300	1500	1500	1800	2000	2000	2200	1500	2300	1500	1300	1200	1100	1700	2000	2000	1200	1500	1700	2000	900	2000	2000	600	1200	1000	2300	1000	2300	100	500	700	2000	1500	1800	2500	1300	1600	2000	1700	1200	700	1000	2200	1800	2100	1600	1500	2300	1000	1400	2500	1100	2000	1800	200	300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	55992	961	774	1394	779	554	754	928	1025	1244	1224	1080	1321	807	1349	903	731	844	717	1005	1101	1157	663	847	987	1043	496	1050	1161	413	849	594	1370	722	1332	86	0	0	1085	784	1016	1419	719	835	1344	910	691	452	904	1723	1351	1647	889	1004	1120	769	923	1316	607	652	1295	161	111					
5	"Число избирательных бюллетеней, выданных вне помещения"	2508	59	34	27	17	12	14	27	20	37	28	49	42	19	47	25	18	21	30	22	30	20	19	22	25	37	23	51	40	80	21	26	41	48	28	0	212	406	37	30	21	44	12	28	17	36	22	42	10	33	24	21	24	19	129	19	30	31	4	25	73	0	100					
6	Число погашенных избирательных бюллетеней	36200	780	692	579	604	434	532	545	455	519	748	871	837	674	904	572	551	335	353	673	869	823	518	631	688	920	381	899	799	107	330	380	889	230	940	14	288	294	878	686	763	1037	569	737	639	754	487	206	86	444	425	432	687	477	1051	212	447	1153	489	1323	432	39	89					
7	Число избирательных бюллетеней в переносных ящиках	2508	59	34	27	17	12	14	27	20	37	28	49	42	19	47	25	18	21	30	22	30	20	19	22	25	37	23	51	40	80	21	26	41	48	28	0	212	406	37	30	21	44	12	28	17	36	22	42	10	33	24	21	24	19	129	19	30	31	4	25	73	0	100					
8	Число бюллетеней в стационарных ящиках для голосования	55832	956	768	1391	775	554	749	923	1025	1244	1220	1072	1317	804	1348	898	724	844	717	1005	1101	1157	661	845	984	1042	492	1050	1149	412	849	594	1369	722	1323	86	0	0	1047	784	1005	1417	719	834	1340	908	691	452	904	1722	1351	1644	887	1003	1120	769	923	1316	607	652	1295	161	111					
9	Число недействительных избирательных бюллетеней	252	9	0	5	2	2	9	1	2	6	8	4	4	6	7	5	1	1	0	7	7	7	4	5	5	4	4	1	4	0	4	2	6	1	11	0	1	0	4	5	3	3	6	4	8	5	3	1	6	11	3	9	2	6	3	3	8	6	1	0	6	0	1					
10	Число действительных избирательных бюллетеней	58088	1006	802	1413	790	564	754	949	1043	1275	1240	1117	1355	817	1388	918	741	864	747	1020	1124	1170	676	862	1004	1075	511	1100	1185	492	866	618	1404	769	1340	86	211	406	1080	809	1023	1458	725	858	1349	939	710	493	908	1744	1372	1656	909	1016	1246	785	945	1341	610	677	1362	161	210					
