Выборы Президента Российской Федерации																				
																				
Наименование Избирательной комиссии:    Оханская																				
																				
Итоги голосования 																				
																				
		Сумма	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2511	УИК №2512	УИК №2513	УИК №2514					
1	"Число избирателей, внесенных в список"	11560	1455	1398	1369	1226	589	620	786	274	588	1333	1048	335	539					
2	Число полученных избирательных бюллетеней	12450	1500	1500	1500	1400	600	750	800	300	700	1500	1000	350	550					
3	"Число избирательных бюллетеней, выданных  досрочно"	97	0	0	0	0	0	0	0	0	0	0	42	0	55					
4	"Число избирательных бюллетеней, выданных в день голосования"	6501	804	745	837	781	336	357	464	118	260	816	425	230	328					
5	"Число избирательных бюллетеней, выданных вне помещения"	1248	53	113	50	78	105	101	78	106	242	54	188	33	47					
6	Число погашенных избирательных бюллетеней	4604	643	642	613	541	159	292	258	76	198	630	345	87	120					
7	Число избирательных бюллетеней в переносных ящиках	1345	53	113	50	78	105	101	78	106	242	54	230	33	102					
8	Число бюллетеней в стационарных ящиках для голосования	6498	804	745	835	781	336	357	464	118	260	815	425	230	328					
9	Число недействительных избирательных бюллетеней	57	5	10	6	3	2	1	8	0	2	11	7	0	2					
10	Число действительных избирательных бюллетеней	7786	852	848	879	856	439	457	534	224	500	858	648	263	428					
11	Число полученных открепительных  удостоверений	146	10	20	10	13	8	8	8	5	8	15	20	8	13					
12	Число выданных открепительных удостоверений	125	7	17	10	13	8	1	4	5	8	15	17	7	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	70	5	17	5	3	1	3	4	1	6	4	3	3	15					
14	Число неиспользованных открепительных удостоверений	21	3	3	0	0	0	7	4	0	0	0	3	1	0					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	1	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																				
18	. Глазьев Сергей Юрьевич	186	22	17	25	17	6	4	18	6	12	14	18	16	11					
		2.37%	2.57%	1.98%	2.82%	1.98%	1.36%	0.87%	3.32%	2.68%	2.39%	1.61%	2.75%	6.08%	2.56%					
19	. Малышкин Олег Александрович	218	28	30	22	16	3	18	15	4	23	18	22	9	10					
		2.78%	3.27%	3.50%	2.49%	1.86%	0.68%	3.93%	2.77%	1.79%	4.58%	2.07%	3.36%	3.42%	2.33%					
20	. Миронов Сергей Михайлович	101	12	13	11	14	2	2	5	6	8	8	11	3	6					
		1.29%	1.40%	1.52%	1.24%	1.63%	0.45%	0.44%	0.92%	2.68%	1.59%	0.92%	1.68%	1.14%	1.40%					
21	. Путин Владимир Владимирович	5598	589	556	608	587	359	365	394	182	354	670	456	196	282					
		71.38%	68.73%	64.80%	68.70%	68.34%	81.41%	79.69%	72.69%	81.25%	70.52%	77.10%	69.62%	74.52%	65.58%					
22	. Хакамада Ирина Муцуовна	314	50	45	43	55	8	10	12	6	17	18	23	16	11					
		4.00%	5.83%	5.24%	4.86%	6.40%	1.81%	2.18%	2.21%	2.68%	3.39%	2.07%	3.51%	6.08%	2.56%					
23	. Харитонов Николай Михайлович	1172	126	156	150	140	54	54	81	14	76	112	103	14	92					
		14.94%	14.70%	18.18%	16.95%	16.30%	12.24%	11.79%	14.94%	6.25%	15.14%	12.89%	15.73%	5.32%	21.40%					
																				
24	Против всех	197	25	31	20	27	7	4	9	6	10	18	15	9	16					
		2.51%	2.92%	3.61%	2.26%	3.14%	1.59%	0.87%	1.66%	2.68%	1.99%	2.07%	2.29%	3.42%	3.72%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
