Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																								
Дата голосования: 04.12.2011																								
																								
Наименование Избирательной комиссии:    Кимрская																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433					
1	"Число избирателей, внесенных в список избирателей"	11874	2149	413	1335	277	962	325	331	967	361	338	309	796	206	781	265	522	1537					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11050	2000	400	1300	200	900	300	300	900	350	300	300	700	200	700	200	500	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5103	1003	98	448	83	543	158	131	425	232	97	135	322	101	458	107	201	561					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1598	48	142	181	71	116	70	70	76	74	119	63	130	32	76	53	98	179					
6	Число погашенных избирательных бюллетеней	4349	949	160	671	46	241	72	99	399	44	84	102	248	67	166	40	201	760					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1598	48	142	181	71	116	70	70	76	74	119	63	130	32	76	53	98	179					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5102	1002	98	448	83	543	158	131	425	232	97	135	322	101	458	107	201	561					
9	Число недействительных избирательных бюллетеней	79	7	0	17	2	3	2	1	10	3	0	3	5	0	13	0	3	10					
10	Число действительных избирательных бюллетеней	6621	1043	240	612	152	656	226	200	491	303	216	195	447	133	521	160	296	730					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	213	30	5	13	7	18	4	5	21	7	13	7	20	5	7	7	10	34					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	148	26	1	9	3	15	4	4	17	3	3	6	3	4	7	4	6	33					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	186	21	3	11	0	10	1	3	10	29	4	4	16	5	25	2	4	38					
14	Число погашенных неиспользованных открепительных удостоверений	65	4	4	4	4	3	0	1	4	4	10	1	17	1	0	3	4	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	3					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1199	248	43	123	18	91	31	31	96	20	48	17	113	16	80	19	58	147					
		17.90%	23.62%	17.92%	19.55%	11.69%	13.81%	13.60%	15.42%	19.16%	6.54%	22.22%	8.59%	25.00%	12.03%	14.98%	11.88%	19.40%	19.86%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	815	199	35	56	23	68	24	17	60	30	20	15	43	14	49	24	38	100					
		12.16%	18.95%	14.58%	8.90%	14.94%	10.32%	10.53%	8.46%	11.98%	9.80%	9.26%	7.58%	9.51%	10.53%	9.18%	15.00%	12.71%	13.51%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	65	9	3	5	2	7	1	0	8	0	4	3	3	0	8	2	2	8					
		0.97%	0.86%	1.25%	0.79%	1.30%	1.06%	0.44%	0.00%	1.60%	0.00%	1.85%	1.52%	0.66%	0.00%	1.50%	1.25%	0.67%	1.08%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1154	237	23	94	18	118	44	32	84	26	52	26	67	13	77	22	46	175					
		17.22%	22.57%	9.58%	14.94%	11.69%	17.91%	19.30%	15.92%	16.77%	8.50%	24.07%	13.13%	14.82%	9.77%	14.42%	13.75%	15.38%	23.65%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	140	29	6	9	1	14	2	10	12	4	4	4	15	2	11	1	3	13					
		2.09%	2.76%	2.50%	1.43%	0.65%	2.12%	0.88%	4.98%	2.40%	1.31%	1.85%	2.02%	3.32%	1.50%	2.06%	0.63%	1.00%	1.76%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3216	314	127	322	89	354	124	110	229	223	87	129	204	88	294	90	147	285					
		48.00%	29.90%	52.92%	51.19%	57.79%	53.72%	54.39%	54.73%	45.71%	72.88%	40.28%	65.15%	45.13%	66.17%	55.06%	56.25%	49.16%	38.51%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	32	7	3	3	1	4	0	0	2	0	1	1	2	0	2	2	2	2					
		0.48%	0.67%	1.25%	0.48%	0.65%	0.61%	0.00%	0.00%	0.40%	0.00%	0.46%	0.51%	0.44%	0.00%	0.37%	1.25%	0.67%	0.27%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
