Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Моздокская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №380									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	63156	2004	1010	757	1248	1493	1241	1283	1257	1246	1102	1189	1281	1176	1288	1288	1163	1243	1171	1144	1157	1339	1080	961	230	1225	273	497	500	536	2432	1583	573	262	575	2602	1613	1638	1305	1735	2288	1202	1085	851	2220	1639	2159	792	1901	605	331	695	1688									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	61450	1500	1000	600	1200	1500	1300	1200	1200	1200	1100	1200	1300	1100	1300	1200	1200	1200	1100	1100	1200	1300	1000	900	200	1200	250	500	500	500	2400	1600	550	250	700	2600	1600	1600	1300	1700	2200	1300	1000	800	2200	1600	2100	800	1900	500	300	700	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	50804	1361	773	413	971	1138	1017	979	999	1018	853	980	1003	973	922	925	948	1027	941	942	913	1000	836	470	192	858	228	443	379	329	2188	1215	487	227	276	1836	1316	1262	1005	1461	1975	1172	841	736	2164	1524	2078	556	1662	412	238	654	1688									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2543	41	10	140	50	184	23	13	15	43	17	22	45	31	55	37	32	29	23	39	19	21	22	41	7	95	5	17	35	13	52	65	1	8	299	252	50	48	48	150	41	30	56	40	35	66	19	26	50	28	35	20	0									
6	Число погашенных избирательных бюллетеней	8103	98	217	47	179	178	260	208	186	139	230	198	252	96	323	238	220	144	136	119	268	279	142	389	1	247	17	40	86	158	160	320	62	15	125	512	234	290	247	89	184	98	103	24	1	10	3	218	188	60	27	26	12									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2543	41	10	140	50	184	23	13	15	43	17	22	45	31	55	37	32	29	23	39	19	21	22	41	7	95	5	17	35	13	52	65	1	8	299	252	50	48	48	150	41	30	56	40	35	66	19	26	50	28	35	20	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	50710	1361	773	413	971	1138	1017	979	999	975	853	980	1003	973	922	925	948	1027	941	942	913	1000	836	470	192	858	228	443	379	329	2188	1215	487	219	276	1836	1316	1262	1003	1461	1934	1172	841	736	2164	1524	2078	556	1662	412	238	654	1688									
9	Число недействительных избирательных бюллетеней	499	0	0	11	9	17	12	10	14	5	11	4	18	3	12	7	4	3	12	4	12	22	10	10	4	6	3	3	1	13	15	11	1	0	4	59	8	6	8	7	21	8	9	0	0	0	9	13	0	8	3	0	69									
10	Число действительных избирательных бюллетеней	52754	1402	783	542	1012	1305	1028	982	1000	1013	859	998	1030	1001	965	955	976	1053	952	977	920	999	848	501	195	947	230	457	413	329	2225	1269	487	227	571	2029	1358	1304	1043	1604	1954	1194	888	776	2199	1590	2088	569	1712	432	270	674	1619									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1680	50	50	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	10	30	10	10	10	10	60	50	20	10	50	60	40	40	30	40	60	30	30	10	60	40	60	10	40	10	10	20	100									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	434	5	32	2	7	2	5	5	10	13	9	16	11	8	11	18	12	9	10	12	11	10	15	9	0	1	0	0	3	1	6	5	11	0	26	13	7	4	7	8	9	5	2	1	2	3	2	5	8	2	3	1	57									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	420	5	9	16	5	9	7	7	8	13	27	6	9	9	9	5	9	4	19	20	11	7	7	13	4	5	2	0	2	2	2	2	3	1	24	81	4	5	3	7	6	8	4	4	2	0	4	0	2	3	3	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	1246	45	18	18	23	28	25	25	20	17	21	14	19	22	19	12	18	21	20	18	19	20	15	21	10	29	10	10	7	9	54	45	9	10	24	47	33	36	23	32	51	25	28	9	58	37	58	5	32	8	7	19	43									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	265	10	35	1	5	6	5	8	5	2	3	3	5	3	0	5	9	3	8	6	16	4	2	2	0	2	0	1	2	1	4	4	0	1	1	9	4	13	4	4	6	9	8	3	10	9	7	3	5	0	0	0	9									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																															
