Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
Наименование Избирательной комиссии:    Рыльская																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК  899	УИК  900	УИК  901	УИК  902	УИК  903	УИК  904	УИК  905	УИК  906	УИК  907	УИК  908	УИК  909	УИК  910	УИК  911	УИК  912	УИК  913	УИК  914	УИК  915	УИК  916	УИК  917	УИК  918	УИК  919	УИК  920	УИК  921	УИК  922	УИК  923	УИК  924	УИК  925	УИК  926	УИК  927	УИК  928	УИК  929	УИК  930	УИК  931	УИК  932	УИК  933	УИК  934	УИК  935	УИК  936	УИК  937	УИК  938	УИК  939	УИК  940	УИК  941	УИК  942	УИК  943	УИК  944	УИК  945	УИК  946	УИК  947	УИК  948					
1	"Число избирателей, внесенных в списки"	31177	1362	1190	1320	1362	1261	1330	1397	2540	1248	389	177	273	202	291	194	235	349	254	319	285	175	1338	457	2354	289	714	217	123	930	464	202	503	1152	530	194	653	403	251	122	270	452	456	486	234	286	140	358	730	334	382					
2	"Число бюллетеней, полученных участковыми комиссиями"	28664	1250	1074	1125	1217	1131	1169	1265	2302	1102	371	179	254	190	262	188	216	331	240	301	266	174	1252	428	2177	267	672	201	118	870	441	193	471	1082	502	195	613	378	238	121	257	404	411	450	216	264	140	339	682	310	365					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18127	900	706	713	844	723	850	699	1371	773	179	110	156	117	159	69	134	220	137	213	168	110	716	166	1302	210	448	148	49	570	328	111	318	634	259	63	393	288	147	59	178	258	301	358	152	180	86	235	382	173	264					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1564	56	60	17	22	47	38	23	59	15	51	0	7	35	64	66	48	40	11	0	45	29	47	27	46	15	0	29	25	28	24	35	25	42	30	48	32	42	19	36	37	26	16	0	16	18	6	58	26	66	12					
6	Число погашенных бюллетеней	8973	294	308	395	351	361	281	543	872	314	141	69	91	38	39	53	34	71	92	88	53	35	489	235	829	42	224	24	44	272	89	47	128	406	213	84	188	48	72	26	42	120	94	92	48	66	48	46	274	71	89					
7	Число бюллетеней в переносных ящиках для голосования	1564	56	60	17	22	47	38	23	59	15	51	0	7	35	64	66	48	40	11	0	45	29	47	27	46	15	0	29	25	28	24	35	25	42	30	48	32	42	19	36	37	26	16	0	16	18	6	58	26	66	12					
8	Число бюллетеней в стационарных ящиках для голосования	18095	900	706	713	843	723	822	699	1371	773	179	110	156	117	159	69	134	220	137	213	168	110	716	166	1299	210	448	148	49	570	328	111	318	634	259	63	393	288	147	59	178	258	301	358	152	180	86	235	382	173	264					
9	Число недействительных бюллетеней	698	8	14	11	6	7	10	18	20	13	18	3	15	1	1	0	8	26	8	10	7	5	40	15	44	9	25	3	2	36	35	4	22	19	12	3	17	7	2	3	8	24	20	14	21	6	6	20	33	17	22					
10	Число действительных бюллетеней	18961	948	752	719	859	763	850	704	1410	775	212	107	148	151	222	135	174	234	140	203	206	134	723	178	1301	216	423	174	72	562	317	142	321	657	277	108	408	323	164	92	207	260	297	344	147	192	86	273	375	222	254					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	275	9	9	19	9	14	11	9	21	9	4	3	3	3	3	3	3	3	3	4	3	3	9	4	11	3	5	3	3	5	4	3	4	9	5	3	5	4	3	3	3	4	4	4	3	3	3	4	5	4	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	96	7	6	9	8	10	7	8	16	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	113	2	2	0	1	4	11	0	1	1	2	2	2	1	0	4	4	0	1	1	2	3	3	1	28	1	0	2	1	3	1	2	2	3	0	2	2	2	1	3	1	1	0	0	3	0	1	2	2	1	1					
14	Число погашенных открепительных удостоверений	179	2	3	10	1	4	4	1	5	0	4	3	3	3	3	3	3	3	3	3	3	3	9	4	5	3	4	3	3	5	4	3	4	7	5	3	5	4	3	3	2	4	4	4	3	3	1	4	4	2	4					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																									
18	"1. ""ЕДИНЕНИЕ"""	326	3	11	13	5	12	7	8	15	15	7	0	0	1	7	3	11	5	4	13	2	7	14	5	9	5	22	3	1	15	6	2	5	7	6	0	6	4	1	0	1	7	6	4	5	5	3	16	13	6	0					
		1.65%	0.31%	1.43%	1.78%	0.57%	1.55%	0.81%	1.10%	1.04%	1.90%	3.04%	0.0%	0.0%	0.65%	3.13%	2.22%	6.04%	1.92%	2.70%	6.10%	0.93%	5.03%	1.83%	2.59%	0.66%	2.22%	4.91%	1.69%	1.35%	2.50%	1.70%	1.36%	1.45%	1.03%	2.07%	0.0%	1.41%	1.21%	0.60%	0.0%	0.46%	2.46%	1.89%	1.11%	2.97%	2.52%	3.26%	5.46%	3.18%	2.51%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	237	13	14	14	20	4	7	17	19	11	4	1	0	0	2	0	1	4	1	4	0	0	9	1	22	2	5	0	0	12	4	1	2	4	2	1	4	1	0	1	0	4	7	2	1	3	0	3	6	1	3					
		1.20%	1.35%	1.82%	1.91%	2.31%	0.51%	0.81%	2.35%	1.32%	1.39%	1.73%	0.90%	0.0%	0.0%	0.89%	0.0%	0.54%	1.53%	0.67%	1.87%	0.0%	0.0%	1.17%	0.51%	1.63%	0.88%	1.11%	0.0%	0.0%	2.00%	1.13%	0.68%	0.58%	0.59%	0.69%	0.90%	0.94%	0.30%	0.0%	1.05%	0.0%	1.40%	2.20%	0.55%	0.59%	1.51%	0.0%	1.02%	1.47%	0.41%	1.08%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	636	21	24	27	26	20	22	33	29	23	6	16	0	6	9	8	10	10	12	13	9	4	15	12	38	5	18	3	2	36	18	3	9	16	7	2	11	5	10	6	3	12	12	17	3	3	5	8	10	9	10					
		3.23%	2.19%	3.13%	3.69%	3.00%	2.59%	2.55%	4.57%	2.02%	2.91%	2.60%	14.54%	0.0%	3.94%	4.03%	5.92%	5.49%	3.84%	8.10%	6.10%	4.22%	2.87%	1.96%	6.21%	2.82%	2.22%	4.01%	1.69%	2.70%	6.02%	5.11%	2.05%	2.62%	2.36%	2.42%	1.80%	2.58%	1.51%	6.02%	6.31%	1.39%	4.22%	3.78%	4.74%	1.78%	1.51%	5.43%	2.73%	2.45%	3.76%	3.62%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	280	21	15	15	17	13	8	6	19	14	0	1	7	0	1	0	2	6	0	3	4	1	17	1	15	0	5	4	0	7	7	1	3	7	1	5	4	3	4	0	3	5	4	9	0	0	0	5	6	7	4					
