Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №10																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	97361	2275	2413	1765	1841	917	1923	2096	2120	1270	2528	2170	2454	2539	2420	2358	2468	2407	1944	2393	2371	2271	2238	1770	2291	1836	1597	2091	2275	2503	2228	2378	1837	1734	2436	2094	2074	2164	2013	2019	1784	2714	1883	2012	1900	2358	2189									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	86200	2000	2500	1500	1500	700	1500	2000	2000	1000	2500	2000	2000	2500	2000	2000	2000	2000	1500	2000	2000	2000	2000	1500	2000	1500	1500	2000	2000	2500	2000	2000	1500	1500	2000	2000	2000	2000	2000	2000	1500	2500	1500	2000	1500	2000	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31753	699	665	561	458	187	620	708	683	475	823	656	778	777	785	790	785	870	680	731	761	608	692	589	748	563	571	789	729	907	745	812	567	665	804	684	646	753	729	773	649	807	486	683	662	800	800									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	488	2	6	0	25	2	15	28	5	12	1	16	8	6	15	22	14	5	3	5	5	3	8	9	10	1	13	10	11	12	11	7	8	3	5	46	3	10	5	9	43	20	10	7	8	9	12									
6	Число погашенных избирательных бюллетеней	53959	1299	1829	939	1017	511	865	1264	1312	513	1676	1328	1214	1717	1200	1188	1201	1125	817	1264	1234	1389	1300	902	1242	936	916	1201	1260	1581	1244	1181	925	832	1191	1270	1351	1237	1266	1218	808	1673	1004	1310	830	1191	1188									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	488	2	6	0	25	2	15	28	5	12	1	16	8	6	15	22	14	5	3	5	5	3	8	9	10	1	13	10	11	12	11	7	8	3	5	46	3	10	5	9	43	20	10	7	8	9	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31701	698	665	561	458	187	618	708	683	474	822	656	775	777	785	789	785	868	680	729	761	604	691	586	746	563	571	789	718	906	737	812	567	665	804	684	645	750	726	773	648	807	486	683	662	799	800									
9	Число недействительных избирательных бюллетеней	848	17	17	21	15	5	18	7	16	14	21	18	19	18	18	27	19	27	34	26	14	10	21	13	22	15	18	18	24	17	0	22	15	7	22	2	23	27	30	22	15	29	10	25	28	21	21									
10	Число действительных избирательных бюллетеней	31341	683	654	540	468	184	615	729	672	472	802	654	764	765	782	784	780	846	649	708	752	597	678	582	734	549	566	781	705	901	748	797	560	661	787	728	625	733	701	760	676	798	486	665	642	787	791									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1897	42	42	40	40	37	40	42	42	40	42	42	42	42	42	42	42	42	40	42	42	42	42	40	42	40	40	42	42	42	42	42	40	40	42	42	42	42	42	40	40	42	40	40	40	42	42									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	824	21	20	10	14	5	15	16	19	8	19	26	23	23	17	12	22	19	16	21	19	22	24	20	22	18	12	11	29	19	20	19	9	20	23	16	17	10	20	13	13	27	16	26	19	18	16									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	719	19	25	9	30	15	18	16	8	10	18	45	29	22	10	14	13	19	24	16	5	8	28	6	17	4	7	14	38	12	33	9	27	6	9	12	11	9	17	18	9	10	5	6	13	8	18									
14	Число погашенных неиспользованных открепительных удостоверений	1073	21	22	30	26	32	25	26	23	32	23	16	19	19	25	30	20	23	24	21	23	20	18	20	20	22	28	31	13	23	22	23	31	20	19	26	25	32	22	27	27	15	24	14	21	24	26									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	98	3	2	1	0	0	1	4	0	2	3	3	2	3	1	1	3	4	2	4	3	3	1	3	5	1	3	1	1	2	2	1	1	2	5	2	0	6	0	0	3	4	2	1	1	4	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	774	16	8	13	12	2	15	19	15	15	27	14	30	20	23	23	21	20	10	20	17	15	24	13	23	19	12	24	8	22	20	15	14	28	9	12	16	5	13	21	11	7	9	23	21	29	21									
		2.40%	2.29%	1.19%	2.32%	2.48%	1.06%	2.37%	2.58%	2.18%	3.09%	3.28%	2.08%	3.83%	2.55%	2.88%	2.84%	2.63%	2.29%	1.46%	2.72%	2.22%	2.47%	3.43%	2.18%	3.04%	3.37%	2.05%	3.00%	1.10%	2.40%	2.67%	1.83%	2.43%	4.19%	1.11%	1.64%	2.47%	0.66%	1.78%	2.69%	1.59%	0.85%	1.81%	3.33%	3.13%	3.59%	2.59%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	333	12	13	6	3	0	7	12	10	4	6	11	6	6	13	8	3	10	9	3	9	2	9	7	7	8	9	7	10	15	8	14	4	8	5	5	7	11	7	5	4	0	2	6	4	11	7									
		1.03%	1.71%	1.94%	1.07%	0.62%	0.00%	1.11%	1.63%	1.45%	0.82%	0.73%	1.64%	0.77%	0.77%	1.63%	0.99%	0.38%	1.15%	1.32%	0.41%	1.17%	0.33%	1.29%	1.18%	0.93%	1.42%	1.54%	0.88%	1.37%	1.63%	1.07%	1.71%	0.70%	1.20%	0.62%	0.68%	1.08%	1.45%	0.96%	0.64%	0.58%	0.00%	0.40%	0.87%	0.60%	1.36%	0.86%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	657	10	20	14	16	1	22	20	14	8	23	23	14	15	17	20	18	16	19	16	17	17	16	7	15	7	6	18	4	15	14	19	10	5	19	8	22	16	24	25	6	1	10	17	8	15	10									
		2.04%	1.43%	2.98%	2.50%	3.31%	0.53%	3.48%	2.72%	2.03%	1.65%	2.79%	3.42%	1.79%	1.92%	2.13%	2.47%	2.25%	1.83%	2.78%	2.18%	2.22%	2.80%	2.29%	1.18%	1.98%	1.24%	1.03%	2.25%	0.55%	1.63%	1.87%	2.32%	1.74%	0.75%	2.35%	1.10%	3.40%	2.11%	3.28%	3.20%	0.87%	0.12%	2.02%	2.46%	1.19%	1.86%	1.23%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14215	308	297	242	258	114	249	338	289	199	294	271	295	320	305	341	286	318	276	298	440	238	279	279	301	276	258	338	465	472	329	332	247	267	325	438	276	331	276	344	355	596	311	240	282	315	307									
		44.16%	44.00%	44.26%	43.14%	53.42%	60.32%	39.34%	45.92%	42.01%	40.95%	35.72%	40.33%	37.68%	40.87%	38.13%	42.05%	35.79%	36.43%	40.41%	40.60%	57.44%	39.21%	39.91%	46.89%	39.81%	48.94%	44.18%	42.30%	63.79%	51.42%	43.98%	40.54%	42.96%	39.97%	40.17%	60.00%	42.59%	43.55%	37.76%	43.99%	51.37%	72.07%	62.70%	34.78%	42.09%	38.99%	37.81%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	454	9	13	7	3	0	5	8	8	7	10	13	9	10	10	15	13	17	14	14	5	10	14	9	12	7	11	13	5	4	11	12	10	13	12	7	11	13	16	10	8	3	5	13	9	10	16									
		1.41%	1.29%	1.94%	1.25%	0.62%	0.00%	0.79%	1.09%	1.16%	1.44%	1.22%	1.93%	1.15%	1.28%	1.25%	1.85%	1.63%	1.95%	2.05%	1.91%	0.65%	1.65%	2.00%	1.51%	1.59%	1.24%	1.88%	1.63%	0.69%	0.44%	1.47%	1.47%	1.74%	1.95%	1.48%	0.96%	1.70%	1.71%	2.19%	1.28%	1.16%	0.36%	1.01%	1.88%	1.34%	1.24%	1.97%									
24	"6. Политическая партия ""Гражданская Платформа"""	49	0	0	0	0	0	2	0	1	0	2	0	1	3	0	1	2	0	1	1	0	1	0	0	0	0	2	0	1	2	0	1	3	0	4	1	2	3	1	1	3	2	1	1	2	2	2									
		0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.15%	0.00%	0.24%	0.00%	0.13%	0.38%	0.00%	0.12%	0.25%	0.00%	0.15%	0.14%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.14%	0.22%	0.00%	0.12%	0.52%	0.00%	0.49%	0.14%	0.31%	0.39%	0.14%	0.13%	0.43%	0.24%	0.20%	0.14%	0.30%	0.25%	0.25%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3621	101	91	77	43	25	93	77	106	50	110	69	99	82	104	90	114	104	61	95	58	68	81	68	98	62	46	86	54	98	78	88	64	80	93	85	85	102	83	82	66	55	29	49	82	89	101									
		11.25%	14.43%	13.56%	13.73%	8.90%	13.23%	14.69%	10.46%	15.41%	10.29%	13.37%	10.27%	12.64%	10.47%	13.00%	11.10%	14.27%	11.91%	8.93%	12.94%	7.57%	11.20%	11.59%	11.43%	12.96%	10.99%	7.88%	10.76%	7.41%	10.68%	10.43%	10.74%	11.13%	11.98%	11.50%	11.64%	13.12%	13.42%	11.35%	10.49%	9.55%	6.65%	5.85%	7.10%	12.24%	11.01%	12.44%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	664	13	11	8	10	0	9	16	10	14	24	18	23	15	22	17	15	21	17	20	7	11	10	11	18	17	11	18	18	22	20	25	7	20	16	7	5	19	11	20	11	2	10	19	13	24	9									
		2.06%	1.86%	1.64%	1.43%	2.07%	0.00%	1.42%	2.17%	1.45%	2.88%	2.92%	2.68%	2.94%	1.92%	2.75%	2.10%	1.88%	2.41%	2.49%	2.72%	0.91%	1.81%	1.43%	1.85%	2.38%	3.01%	1.88%	2.25%	2.47%	2.40%	2.67%	3.05%	1.22%	2.99%	1.98%	0.96%	0.77%	2.50%	1.50%	2.56%	1.59%	0.24%	2.02%	2.75%	1.94%	2.97%	1.11%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	2333	48	50	41	33	2	44	60	36	44	66	47	62	65	63	56	79	72	50	68	44	51	54	36	68	25	48	51	24	45	57	84	36	60	62	31	46	55	57	56	58	36	30	48	47	72	66									
		7.25%	6.86%	7.45%	7.31%	6.83%	1.06%	6.95%	8.15%	5.23%	9.05%	8.02%	6.99%	7.92%	8.30%	7.88%	6.91%	9.89%	8.25%	7.32%	9.26%	5.74%	8.40%	7.73%	6.05%	8.99%	4.43%	8.22%	6.38%	3.29%	4.90%	7.62%	10.26%	6.26%	8.98%	7.66%	4.25%	7.10%	7.24%	7.80%	7.16%	8.39%	4.35%	6.05%	6.96%	7.01%	8.91%	8.13%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	106	2	1	1	1	4	3	3	1	0	0	4	1	2	5	1	2	2	2	5	1	1	3	0	3	6	1	3	2	2	2	6	1	1	0	0	1	4	1	0	4	3	0	10	6	2	3									
		0.33%	0.29%	0.15%	0.18%	0.21%	2.12%	0.47%	0.41%	0.15%	0.00%	0.00%	0.60%	0.13%	0.26%	0.63%	0.12%	0.25%	0.23%	0.29%	0.68%	0.13%	0.16%	0.43%	0.00%	0.40%	1.06%	0.17%	0.38%	0.27%	0.22%	0.27%	0.73%	0.17%	0.15%	0.00%	0.00%	0.15%	0.53%	0.14%	0.00%	0.58%	0.36%	0.00%	1.45%	0.90%	0.25%	0.37%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2483	52	37	38	20	6	52	69	52	43	83	64	84	80	60	70	75	79	75	27	32	69	53	32	64	46	46	62	18	63	64	61	45	77	91	41	41	43	56	52	45	19	18	89	62	61	67									
		7.71%	7.43%	5.51%	6.77%	4.14%	3.17%	8.21%	9.38%	7.56%	8.85%	10.09%	9.52%	10.73%	10.22%	7.50%	8.63%	9.39%	9.05%	10.98%	3.68%	4.18%	11.37%	7.58%	5.38%	8.47%	8.16%	7.88%	7.76%	2.47%	6.86%	8.56%	7.45%	7.83%	11.53%	11.25%	5.62%	6.33%	5.66%	7.66%	6.65%	6.51%	2.30%	3.63%	12.90%	9.25%	7.55%	8.25%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3579	81	74	59	51	19	72	80	86	63	98	77	84	91	99	108	94	120	77	98	70	80	91	74	87	49	82	100	58	77	84	81	69	68	95	59	71	77	103	80	62	30	39	92	64	96	110									
		11.12%	11.57%	11.03%	10.52%	10.56%	10.05%	11.37%	10.87%	12.50%	12.96%	11.91%	11.46%	10.73%	11.62%	12.38%	13.32%	11.76%	13.75%	11.27%	13.35%	9.14%	13.18%	13.02%	12.44%	11.51%	8.69%	14.04%	12.52%	7.96%	8.39%	11.23%	9.89%	12.00%	10.18%	11.74%	8.08%	10.96%	10.13%	14.09%	10.23%	8.97%	3.63%	7.86%	13.33%	9.55%	11.88%	13.55%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	130	2	1	1	1	2	2	2	3	2	9	1	3	5	2	2	4	3	2	1	0	2	6	2	4	4	1	4	0	2	2	2	2	8	2	2	2	2	4	15	4	1	0	1	1	7	2									
		0.40%	0.29%	0.15%	0.18%	0.21%	1.06%	0.32%	0.27%	0.44%	0.41%	1.09%	0.15%	0.38%	0.64%	0.25%	0.25%	0.50%	0.34%	0.29%	0.14%	0.00%	0.33%	0.86%	0.34%	0.53%	0.71%	0.17%	0.50%	0.00%	0.22%	0.27%	0.24%	0.35%	1.20%	0.25%	0.27%	0.31%	0.26%	0.55%	1.92%	0.58%	0.12%	0.00%	0.14%	0.15%	0.87%	0.25%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1943	29	38	33	17	9	40	25	41	23	50	42	53	51	59	32	54	64	36	42	52	32	38	44	34	23	33	57	38	62	59	57	48	26	54	32	40	52	49	49	39	43	22	57	41	54	70									
		6.04%	4.14%	5.66%	5.88%	3.52%	4.76%	6.32%	3.40%	5.96%	4.73%	6.08%	6.25%	6.77%	6.51%	7.38%	3.95%	6.76%	7.33%	5.27%	5.72%	6.79%	5.27%	5.44%	7.39%	4.50%	4.08%	5.65%	7.13%	5.21%	6.75%	7.89%	6.96%	8.35%	3.89%	6.67%	4.38%	6.17%	6.84%	6.70%	6.27%	5.64%	5.20%	4.44%	8.26%	6.12%	6.68%	8.62%									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
