Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																			
Дата голосования: 07.12.2003 0:00:00																			
																			
Наименование Избирательной комиссии:    Протвинская городская                            																			
																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																			
																			
		Сумма	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211					
1	"Число избирателей, внесенных в списки"	30494	2206	2809	2532	2578	2325	2857	2308	2466	2398	2865	2474	2676					
2	"Число бюллетеней, полученных участковыми комиссиями"	30563	2214	2811	2530	2586	2335	2860	2305	2502	2355	2830	2482	2753					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17051	1224	1460	1493	1562	1397	1616	1332	1356	1351	1543	1400	1317					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	234	27	19	34	22	22	12	20	16	26	19	5	12					
6	Число погашенных бюллетеней	13278	963	1332	1003	1002	916	1232	953	1130	978	1268	1077	1424					
7	Число бюллетеней в переносных ящиках для голосования	234	27	19	34	22	22	12	20	16	26	19	5	12					
8	Число бюллетеней в стационарных ящиках для голосования	17017	1221	1460	1491	1557	1394	1616	1320	1356	1347	1539	1399	1317					
9	Число недействительных бюллетеней	131	15	21	13	17	6	7	6	11	11	5	5	14					
10	Число действительных бюллетеней	17120	1233	1458	1512	1562	1410	1621	1334	1361	1362	1553	1399	1315					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	742	61	61	61	71	61	61	61	61	61	61	61	61					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	236	15	22	24	37	12	24	16	25	20	16	15	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	76	7	8	13	5	1	3	7	3	12	13	2	2					
14	Число погашенных открепительных удостоверений	506	46	39	37	34	49	37	45	36	41	45	46	51					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	1	1	0	0	0	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	"1. ""ЕДИНЕНИЕ"""	128	15	7	10	16	11	17	4	7	11	11	8	11					
		0.74%	1.20%	0.47%	0.65%	1.01%	0.77%	1.04%	0.29%	0.51%	0.80%	0.70%	0.56%	0.82%					
