Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																												
Дата голосования: 02.12.2007																												
																												
Наименование Избирательной комиссии:    Тындинская																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727					
1	"Число избирателей, внесенных в списки избирателей"	12774	719	395	1606	304	256	302	188	366	295	379	224	1505	402	660	1155	347	298	594	188	316	2275					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	12569	701	382	1608	287	246	308	183	384	260	399	228	1484	380	681	1094	308	286	620	177	309	2244					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	640	0	0	5	0	0	0	0	0	106	0	0	0	108	295	0	0	35	13	0	0	78					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9539	549	311	1272	250	211	259	158	322	139	336	182	1025	212	317	1010	288	220	470	162	236	1610					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	386	60	1	40	8	10	3	0	7	0	9	0	9	17	0	29	12	18	17	0	0	146					
6	Число погашенных избирательных бюллетеней	2004	92	70	291	29	25	46	25	55	15	54	46	450	43	69	55	8	13	120	15	73	410					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1026	60	1	45	8	10	3	0	7	106	9	0	9	125	295	29	12	53	30	0	0	224					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9538	549	311	1272	250	211	259	158	322	139	336	182	1024	212	317	1010	288	220	470	162	236	1610					
9	Число недействительных избирательных бюллетеней	65	1	0	16	0	1	1	2	4	3	1	0	6	0	4	6	2	1	0	0	4	13					
10	Число действительных избирательных бюллетеней	10499	608	312	1301	258	220	261	156	325	242	344	182	1027	337	608	1033	298	272	500	162	232	1821					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	177	3	3	20	4	5	5	0	10	1	5	7	30	3	9	10	8	7	14	5	6	22					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	158	3	0	20	0	5	5	0	10	1	5	7	23	3	9	10	8	7	14	0	6	22					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	80	4	4	15	0	5	3	1	0	3	0	1	11	0	11	6	5	0	2	0	3	6					
14	Число погашенных неиспользованных открепительных удостоверений	19	0	3	0	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	5	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	17	0	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	1.Политическая партия «Аграрная партия России»	137	5	4	15	6	2	1	0	3	2	13	2	16	10	11	10	3	0	4	5	2	23					
		1.30%	0.82%	1.28%	1.14%	2.33%	0.90%	0.38%	0.00%	0.91%	0.82%	3.77%	1.10%	1.55%	2.97%	1.80%	0.96%	1.00%	0.00%	0.80%	3.09%	0.85%	1.25%					
19	2.Всероссийская политическая партия «Гражданская Сила»	56	3	1	5	1	2	4	0	2	4	3	0	4	5	2	11	1	1	2	0	0	5					
		0.53%	0.49%	0.32%	0.38%	0.39%	0.90%	1.53%	0.00%	0.61%	1.63%	0.87%	0.00%	0.39%	1.48%	0.33%	1.06%	0.33%	0.37%	0.40%	0.00%	0.00%	0.27%					
20	3.Политическая партия «Демократическая партия России»	15	0	0	1	0	0	0	0	0	1	1	0	2	1	1	7	0	0	0	0	0	1					
		0.14%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.29%	0.00%	0.19%	0.30%	0.16%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	620	37	26	52	4	19	12	2	17	9	22	9	67	42	40	81	13	8	26	7	12	115					
		5.87%	6.08%	8.33%	3.95%	1.55%	8.60%	4.58%	1.27%	5.17%	3.67%	6.38%	4.95%	6.49%	12.46%	6.54%	7.80%	4.33%	2.93%	5.20%	4.32%	5.08%	6.27%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	78	7	4	3	0	0	0	0	0	0	0	0	4	2	3	26	6	1	7	1	4	10					
		0.74%	1.15%	1.28%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.59%	0.49%	2.50%	2.00%	0.37%	1.40%	0.62%	1.69%	0.55%					
23	6.Политическая партия «Партия социальной справедливости»	27	1	0	2	0	1	0	1	0	0	0	0	1	2	2	11	0	0	1	0	0	5					
		0.26%	0.16%	0.00%	0.15%	0.00%	0.45%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.10%	0.59%	0.33%	1.06%	0.00%	0.00%	0.20%	0.00%	0.00%	0.27%					
24	7.Политическая партия «Либерально-демократическая партия России»	1265	40	55	211	37	23	35	8	47	17	60	21	113	13	101	127	27	46	85	22	40	137					
		11.97%	6.57%	17.63%	16.02%	14.34%	10.41%	13.36%	5.06%	14.29%	6.94%	17.39%	11.54%	10.94%	3.86%	16.50%	12.22%	9.00%	16.85%	17.00%	13.58%	16.95%	7.47%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	483	12	15	63	7	8	8	6	21	9	17	8	66	24	53	28	11	14	19	3	8	83					
		4.57%	1.97%	4.81%	4.78%	2.71%	3.62%	3.05%	3.80%	6.38%	3.67%	4.93%	4.40%	6.39%	7.12%	8.66%	2.69%	3.67%	5.13%	3.80%	1.85%	3.39%	4.53%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	87	1	2	14	0	1	5	0	0	6	2	5	8	3	4	18	4	2	2	0	0	10					
		0.82%	0.16%	0.64%	1.06%	0.00%	0.45%	1.91%	0.00%	0.00%	2.45%	0.58%	2.75%	0.77%	0.89%	0.65%	1.73%	1.33%	0.73%	0.40%	0.00%	0.00%	0.55%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	7673	496	205	931	202	164	196	139	234	192	226	136	741	233	386	697	233	200	352	123	164	1423					
		72.63%	81.44%	65.71%	70.69%	78.29%	74.21%	74.81%	87.97%	71.12%	78.37%	65.51%	74.73%	71.73%	69.14%	63.07%	67.08%	77.67%	73.26%	70.40%	75.93%	69.49%	77.59%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	58	6	0	4	1	0	0	0	1	2	0	1	5	2	5	17	0	0	2	1	2	9					
		0.55%	0.99%	0.00%	0.30%	0.39%	0.00%	0.00%	0.00%	0.30%	0.82%	0.00%	0.55%	0.48%	0.59%	0.82%	1.64%	0.00%	0.00%	0.40%	0.62%	0.85%	0.49%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
