Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Александровская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №742	УИК №743									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31216	1390	1563	1922	1119	1563	1508	87	1965	1439	1949	1815	1888	517	1478	1721	1464	1416	1881	1769	1587	979	137	59									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24596	1100	1200	1450	900	1200	1200	70	1500	1000	1700	1400	1500	380	1200	1400	1200	1000	1500	1400	1200	900	137	59									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	181	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13627	553	710	933	545	697	655	39	805	592	1178	924	910	233	750	600	555	518	652	535	577	470	137	59									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	191	4	6	4	3	7	5	1	34	30	2	0	2	58	0	0	2	7	2	24	0	0	0	0									
6	Число погашенных избирательных бюллетеней	10596	543	484	513	326	496	540	30	661	377	520	476	588	89	450	800	643	475	846	841	623	275	0	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	372	4	6	4	29	7	5	1	34	30	2	0	2	58	0	0	2	7	2	24	0	155	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13608	553	710	929	545	697	655	39	795	592	1178	922	910	233	750	600	552	518	652	535	577	470	137	59									
9	Число недействительных избирательных бюллетеней	447	11	24	28	24	24	16	1	31	15	44	26	35	14	26	13	14	26	27	12	14	14	8	0									
10	Число действительных избирательных бюллетеней	13533	546	692	905	550	680	644	39	798	607	1136	896	877	277	724	587	540	499	627	547	563	611	129	59									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	215	10	10	10	7	10	10	3	10	10	20	10	10	5	10	10	10	10	10	10	10	20	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	104	3	5	7	7	1	4	0	2	5	13	4	4	3	5	5	9	4	4	5	2	12	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	91	6	12	4	3	4	2	0	5	2	10	5	5	0	4	1	1	4	0	5	2	16	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	111	7	5	3	0	9	6	3	8	5	7	6	6	2	5	5	1	6	6	5	8	8	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	457	26	47	32	19	24	14	0	28	18	62	43	45	10	35	8	4	9	8	3	10	12	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	214	13	7	20	9	6	7	2	7	15	20	18	11	5	15	5	8	7	6	9	12	11	0	1									
		1.53%	2.33%	0.98%	2.14%	1.57%	0.85%	1.06%	5.00%	0.84%	2.41%	1.69%	1.95%	1.21%	1.72%	2.00%	0.83%	1.44%	1.33%	0.92%	1.61%	2.08%	1.76%	0.00%	1.69%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	311	22	14	20	11	14	15	2	21	13	23	17	19	5	12	17	7	11	27	12	11	13	3	2									
		2.22%	3.95%	1.96%	2.14%	1.92%	1.99%	2.27%	5.00%	2.53%	2.09%	1.95%	1.84%	2.08%	1.72%	1.60%	2.83%	1.26%	2.10%	4.13%	2.15%	1.91%	2.08%	2.19%	3.39%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	293	20	21	15	5	18	11	1	19	20	15	19	20	2	11	14	12	18	24	12	12	4	0	0									
		2.10%	3.59%	2.93%	1.61%	0.87%	2.56%	1.67%	2.50%	2.29%	3.22%	1.27%	2.06%	2.19%	0.69%	1.47%	2.33%	2.17%	3.43%	3.67%	2.15%	2.08%	0.64%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6717	278	338	447	275	303	278	27	364	273	695	482	465	156	388	266	241	199	266	217	248	383	81	47									
		48.05%	49.91%	47.21%	47.91%	47.91%	43.04%	42.12%	67.50%	43.91%	43.89%	58.90%	52.28%	50.99%	53.61%	51.73%	44.33%	43.50%	37.90%	40.67%	38.82%	42.98%	61.28%	59.12%	79.66%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	128	4	6	7	3	6	12	0	7	4	11	4	9	6	7	3	10	6	7	6	3	4	3	0									
		0.92%	0.72%	0.84%	0.75%	0.52%	0.85%	1.82%	0.00%	0.84%	0.64%	0.93%	0.43%	0.99%	2.06%	0.93%	0.50%	1.81%	1.14%	1.07%	1.07%	0.52%	0.64%	2.19%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	67	6	2	4	2	0	3	0	1	2	6	5	8	4	3	3	1	4	5	1	4	3	0	0									
		0.48%	1.08%	0.28%	0.43%	0.35%	0.00%	0.45%	0.00%	0.12%	0.32%	0.51%	0.54%	0.88%	1.37%	0.40%	0.50%	0.18%	0.76%	0.76%	0.18%	0.69%	0.48%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3294	110	170	205	153	189	162	2	209	157	203	207	214	67	195	157	154	137	160	168	133	121	17	4									
		23.56%	19.75%	23.74%	21.97%	26.66%	26.85%	24.55%	5.00%	25.21%	25.24%	17.20%	22.45%	23.46%	23.02%	26.00%	26.17%	27.80%	26.10%	24.46%	30.05%	23.05%	19.36%	12.41%	6.78%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	81	1	2	7	7	2	6	0	4	3	7	4	4	5	2	4	2	5	4	3	4	3	1	1									
		0.58%	0.18%	0.28%	0.75%	1.22%	0.28%	0.91%	0.00%	0.48%	0.48%	0.59%	0.43%	0.44%	1.72%	0.27%	0.67%	0.36%	0.95%	0.61%	0.54%	0.69%	0.48%	0.73%	1.69%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	113	5	2	6	4	7	8	0	4	2	12	9	2	2	6	6	11	5	8	2	5	7	0	0									
		0.81%	0.90%	0.28%	0.64%	0.70%	0.99%	1.21%	0.00%	0.48%	0.32%	1.02%	0.98%	0.22%	0.69%	0.80%	1.00%	1.99%	0.95%	1.22%	0.36%	0.87%	1.12%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	24	0	1	2	1	0	0	1	2	1	1	1	2	0	1	3	1	3	0	2	2	0	0	0									
		0.17%	0.00%	0.14%	0.21%	0.17%	0.00%	0.00%	2.50%	0.24%	0.16%	0.08%	0.11%	0.22%	0.00%	0.13%	0.50%	0.18%	0.57%	0.00%	0.36%	0.35%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	171	4	3	6	6	8	15	0	14	7	12	12	11	3	8	12	4	5	11	5	13	11	0	1									
		1.22%	0.72%	0.42%	0.64%	1.05%	1.14%	2.27%	0.00%	1.69%	1.13%	1.02%	1.30%	1.21%	1.03%	1.07%	2.00%	0.72%	0.95%	1.68%	0.89%	2.25%	1.76%	0.00%	1.69%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1200	37	54	81	50	75	62	1	69	56	85	66	72	16	50	66	58	61	62	71	59	36	10	3									
		8.58%	6.64%	7.54%	8.68%	8.71%	10.65%	9.39%	2.50%	8.32%	9.00%	7.20%	7.16%	7.89%	5.50%	6.67%	11.00%	10.47%	11.62%	9.48%	12.70%	10.23%	5.76%	7.30%	5.08%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	66	1	7	8	0	2	4	0	8	0	4	4	2	1	4	1	3	3	5	1	3	3	2	0									
		0.47%	0.18%	0.98%	0.86%	0.00%	0.28%	0.61%	0.00%	0.97%	0.00%	0.34%	0.43%	0.22%	0.34%	0.53%	0.17%	0.54%	0.57%	0.76%	0.18%	0.52%	0.48%	1.46%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	854	45	65	77	24	50	61	3	69	54	42	48	38	5	22	30	28	35	42	38	54	12	12	0									
		6.11%	8.08%	9.08%	8.25%	4.18%	7.10%	9.24%	7.50%	8.32%	8.68%	3.56%	5.21%	4.17%	1.72%	2.93%	5.00%	5.05%	6.67%	6.42%	6.80%	9.36%	1.92%	8.76%	0.00%									
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
