Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
Наименование Избирательной комиссии:    Крыловская																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК  2501	УИК  2502	УИК  2503	УИК  2504	УИК  2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536					
1	"Число избирателей, внесенных в списки"	26316	1855	748	1228	1694	1070	2267	245	700	752	942	1658	1793	821	2064	1305	310	145	195	316	272	114	155	1031	210	237	121	1575	134	94	226	139	107	1183	354	119	137					
2	"Число бюллетеней, полученных участковыми комиссиями"	27155	1908	770	1263	1741	1101	2331	252	703	773	974	1711	1846	817	2130	1295	315	170	197	308	282	129	157	1113	222	241	125	1664	143	104	261	144	110	1217	378	118	142					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14059	865	387	636	856	539	1200	134	328	385	502	824	812	474	933	695	164	93	135	177	159	98	125	581	152	148	100	1039	92	50	176	103	71	700	161	49	116					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	916	57	26	15	39	33	73	16	5	26	74	31	26	13	115	33	11	2	0	10	6	4	0	50	17	48	8	47	10	8	10	4	0	45	29	25	0					
6	Число погашенных бюллетеней	12180	986	357	612	846	529	1058	102	370	362	398	856	1008	330	1082	567	140	75	62	121	117	27	32	482	53	45	17	578	41	46	75	37	39	472	188	44	26					
7	Число бюллетеней в переносных ящиках для голосования	916	57	26	15	39	33	73	16	5	26	74	31	26	13	115	33	11	2	0	10	6	4	0	50	17	48	8	47	10	8	10	4	0	45	29	25	0					
8	Число бюллетеней в стационарных ящиках для голосования	14056	865	387	636	855	539	1200	134	328	385	502	822	812	474	933	695	164	93	135	177	159	98	125	581	152	148	100	1039	92	50	176	103	71	700	161	49	116					
9	Число недействительных бюллетеней	150	4	5	10	2	3	13	4	5	1	3	7	3	4	11	24	1	0	0	3	3	0	0	7	0	2	0	12	0	1	4	4	0	6	4	0	4					
10	Число действительных бюллетеней	14822	918	408	641	892	569	1260	146	328	410	573	846	835	483	1037	704	174	95	135	184	162	102	125	624	169	194	108	1074	102	57	182	103	71	739	186	74	112					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	400	47	11	18	26	15	33	3	10	11	13	24	27	12	30	18	4	2	3	4	4	2	3	14	3	3	2	22	2	2	3	2	2	16	5	2	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	56	6	0	3	4	8	6	0	3	0	5	3	2	0	1	2	0	0	0	0	1	0	0	2	0	1	0	3	1	1	1	0	1	1	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	0	0	0	5	0	2	2	0	0	3	5	1	2	7	0	0	0	0	0	0	0	0	0	1	1	0	3	1	1	1	2	0	4	2	2	1					
14	Число погашенных открепительных удостоверений	344	41	11	15	22	7	27	3	7	11	8	21	25	12	29	16	4	2	3	4	3	2	3	12	3	2	2	19	1	1	2	2	1	15	4	2	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
18	"1. ""ЕДИНЕНИЕ"""	152	7	4	7	9	2	4	0	4	2	7	9	11	6	9	3	3	0	2	5	8	1	0	6	8	0	2	15	1	6	2	0	1	5	2	0	1					
		1.01%	0.75%	0.96%	1.07%	1.00%	0.34%	0.31%	0.0%	1.20%	0.48%	1.21%	1.05%	1.31%	1.23%	0.85%	0.41%	1.71%	0.0%	1.48%	2.67%	4.84%	0.98%	0.0%	0.95%	4.73%	0.0%	1.85%	1.38%	0.98%	10.34%	1.07%	0.0%	1.40%	0.67%	1.05%	0.0%	0.86%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	139	19	3	7	11	8	23	1	2	2	5	7	6	10	3	7	0	0	2	0	3	0	0	2	1	4	0	7	0	0	2	0	0	3	1	0	0					
