Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																															
Дата голосования: 04.12.2011																																																																															
																																																																															
Наименование Избирательной комиссии:    Королевская городская																																																																															
																																																																															
Сводная таблица результатов выборов																																																																															
																																																																															
		Сумма	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039					
1	"Число избирателей, внесенных в список избирателей"	139339	1833	1609	2208	2119	1930	2374	1691	1998	2918	1226	1536	2019	1617	1287	1548	2103	1550	2448	2299	2272	1775	2220	1658	1969	2094	1935	1899	2225	1943	2468	2697	1384	2079	2296	1917	2462	2126	2722	2256	2410	2368	1837	2498	2585	2107	2512	2462	2323	2490	2716	2245	2890	2516	2395	396	294	147	2232	2611	1449	1429	742	479	2501	1619	2250	1164	290	140	1715	2340	2477					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	133510	1790	1530	2120	2070	1790	2190	1630	1910	2720	1200	1480	1920	1550	1240	1370	2050	1500	2400	2220	2200	1700	2140	1590	1950	2030	1900	1850	2150	1840	2460	2650	1320	2060	2230	1830	2600	2080	2530	2140	2370	2300	1760	2320	2470	2020	2430	2350	2250	2400	2550	2120	2540	2400	2000	350	260	140	2200	2270	1420	1350	680	430	2480	1600	2180	1100	245	125	1680	2340	2450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	68318	641	804	997	891	794	1165	747	1016	1414	473	795	941	813	624	814	1069	718	1212	1169	1102	976	1209	893	944	1023	1007	1013	1209	1032	1143	1256	698	963	1015	952	1298	948	1404	1090	1221	1343	1016	1333	1505	1087	1195	1370	1164	1382	1348	1220	1611	1287	1341	240	166	55	1114	1115	563	608	357	214	934	706	997	406	123	95	726	1005	1199					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1210	3	14	22	26	2	14	6	22	18	2	9	14	19	10	9	9	3	31	25	26	10	21	21	15	21	11	7	14	20	23	15	6	16	17	9	14	32	21	14	16	12	25	9	17	7	17	12	10	7	14	5	11	16	13	8	74	77	18	4	14	12	16	7	28	32	24	69	16	2	10	9	8					
6	Число погашенных избирательных бюллетеней	63982	1146	712	1101	1153	994	1011	877	872	1288	725	676	965	718	606	547	972	778	1157	1026	1072	714	911	676	991	986	882	830	927	788	1294	1379	616	1081	1198	869	1288	1100	1105	1036	1133	945	719	978	948	926	1218	968	1076	1011	1188	895	918	1097	646	102	20	8	1068	1151	843	730	307	209	1518	862	1159	625	106	28	944	1326	1243					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1210	3	14	22	26	2	14	6	22	18	2	9	14	19	10	9	9	3	31	25	26	10	21	21	15	21	11	7	14	20	23	15	6	16	17	9	14	32	21	14	16	12	25	9	17	7	17	12	10	7	14	5	11	16	13	8	74	77	18	4	14	12	16	7	28	32	24	69	16	2	10	9	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	68219	640	804	997	887	794	1165	746	1015	1414	473	794	941	813	623	813	1066	718	1212	1167	1102	976	1209	870	943	1022	1007	1011	1208	1031	1143	1256	698	963	1015	952	1284	948	1404	1090	1220	1343	1016	1333	1497	1082	1195	1358	1164	1382	1347	1219	1600	1287	1341	240	166	55	1114	1115	563	608	357	214	934	705	996	406	123	95	726	1005	1199					
9	Число недействительных избирательных бюллетеней	1710	15	11	28	19	17	28	29	25	44	16	24	25	22	18	25	29	29	31	32	26	25	28	21	26	22	18	25	21	19	28	30	14	26	27	29	31	16	34	48	32	32	26	28	30	31	26	15	25	42	32	21	34	29	25	12	4	3	28	17	16	20	14	5	31	24	39	10	4	3	18	35	18					
10	Число действительных избирательных бюллетеней	67719	628	807	991	894	779	1151	723	1012	1388	459	779	930	810	615	797	1046	692	1212	1160	1102	961	1202	870	932	1021	1000	993	1201	1032	1138	1241	690	953	1005	932	1267	964	1391	1056	1204	1323	1015	1314	1484	1058	1186	1355	1149	1347	1329	1203	1577	1274	1329	236	236	129	1104	1102	561	600	359	216	931	713	981	465	135	94	718	979	1189					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2500	40	30	40	40	30	50	30	40	40	30	30	40	30	30	30	40	30	40	40	40	30	40	30	40	40	30	30	40	30	40	40	30	40	40	30	45	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	20	0	0	40	40	30	30	20	20	45	30	40	30	20	10	30	40	40					
