Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																															
Дата голосования: 02.12.2007																																																																															
																																																																															
Наименование Избирательной комиссии:    Королевская городская																																																																															
																																																																															
Сводная таблица результатов выборов																																																																															
																																																																															
		Сумма	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014					
1	"Число избирателей, внесенных в списки избирателей"	131485	1794	1573	1981	2105	1853	2086	1732	2218	2302	1212	1610	1551	1609	1409	1575	2095	1465	2267	2277	2260	1891	2342	1712	2025	2090	1795	1725	2148	1771	2335	2540	1279	1908	1933	1925	2620	2188	2693	1953	2287	2309	1940	2094	2544	2118	2047	2333	2336	2671	2390	2640	2549	2713	1148	280	480	155	1460	2260	1130	1172	766	435	2386	1558	1984	941	224	133	1633	2166	2356					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	115770	1400	1300	1800	1800	1700	1800	1400	2000	2000	1000	1300	1400	1400	1200	1200	1800	1300	2000	2000	2000	1700	2000	1500	1700	1700	1700	1700	1700	1700	2100	2300	1000	1700	1800	1700	2300	1800	2100	1700	2100	2100	1700	1700	2300	2000	2000	2100	2100	2300	2000	2100	2300	2300	1000	300	450	150	1400	2000	1400	1400	650	400	2100	1500	1700	700	210	110	1500	2000	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	77983	811	989	1100	1087	875	1211	903	1142	1341	640	890	965	1045	804	1027	1268	817	1329	1457	1328	1114	1318	1025	1150	1212	1225	1147	1306	1107	1282	1497	717	1158	1096	1209	1560	1132	1491	1161	1437	1474	1177	1207	1574	1269	1259	1636	1861	1588	1413	1569	1557	1573	886	262	210	68	876	1269	696	708	378	202	1150	890	1131	416	87	102	953	1364	1805					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2460	12	62	36	36	14	22	26	33	29	7	15	19	46	67	73	10	68	34	51	62	20	16	25	30	24	25	16	36	35	39	34	17	21	23	7	25	35	31	26	23	29	29	10	14	24	36	27	14	22	17	6	10	9	16	16	217	79	17	14	21	33	41	59	73	90	62	101	23	5	64	19	33					
6	Число погашенных избирательных бюллетеней	35326	577	249	664	677	811	567	471	825	630	353	395	416	309	329	99	522	415	637	492	610	566	666	450	520	464	450	537	358	558	779	769	266	521	681	484	715	633	578	513	640	597	494	483	712	707	705	437	225	690	570	525	733	718	98	22	23	3	507	717	683	659	231	139	877	520	507	183	100	3	483	617	162					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2459	12	62	36	36	14	22	26	33	29	7	15	19	46	67	73	10	68	33	51	62	20	16	25	30	24	25	16	36	35	39	34	17	21	23	7	25	35	31	26	23	29	29	10	14	24	36	27	14	22	17	6	10	9	16	16	217	79	17	14	21	33	41	59	73	90	62	101	23	5	64	19	33					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	77833	808	989	1100	1087	875	1211	900	1131	1339	640	886	962	1043	804	1027	1268	817	1325	1455	1325	1110	1314	1025	1148	1211	1208	1145	1304	1107	1282	1497	717	1158	1096	1209	1560	1111	1491	1161	1412	1474	1177	1207	1574	1269	1259	1635	1861	1582	1413	1564	1554	1567	886	262	210	68	876	1265	696	708	378	202	1150	890	1125	416	87	102	953	1360	1805					
9	Число недействительных избирательных бюллетеней	984	13	0	14	27	9	5	18	11	21	12	17	14	12	11	5	16	14	22	18	21	18	19	11	19	15	5	16	16	11	22	18	10	15	19	22	12	14	25	6	17	16	12	22	20	14	8	17	20	27	17	25	23	26	8	0	5	2	10	19	8	12	8	0	0	11	12	3	1	1	11	5	31					
10	Число действительных избирательных бюллетеней	79308	807	1051	1122	1096	880	1228	908	1153	1347	635	884	967	1077	860	1095	1262	871	1336	1488	1366	1112	1311	1039	1159	1220	1228	1145	1324	1131	1299	1513	724	1164	1100	1194	1573	1132	1497	1181	1418	1487	1194	1195	1568	1279	1287	1645	1855	1577	1413	1545	1541	1550	894	278	422	145	883	1260	709	729	411	261	1223	969	1175	514	109	106	1006	1374	1807					
