Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Кадошкинская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6533	1114	1185	1482	323	243	111	359	515	235	398	136	186	158	88									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6595	1130	1185	1491	325	244	113	367	515	237	409	141	192	159	87									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5962	1011	1109	1348	299	230	92	328	468	220	355	128	159	139	76									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	215	36	18	15	18	8	8	8	35	10	28	8	12	8	3									
6	Число погашенных избирательных бюллетеней	418	83	58	128	8	6	13	31	12	7	26	5	21	12	8									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	215	36	18	15	18	8	8	8	35	10	28	8	12	8	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5962	1011	1109	1348	299	230	92	328	468	220	355	128	159	139	76									
9	Число недействительных избирательных бюллетеней	6	1	0	2	0	0	0	1	1	0	1	0	0	0	0									
10	Число действительных избирательных бюллетеней	6171	1046	1127	1361	317	238	100	335	502	230	382	136	171	147	79									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	83	11	11	20	8	2	2	8	8	2	7	2	2	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	37	10	3	8	0	0	0	3	2	2	7	2	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	25	4	5	5	1	1	1	0	3	0	3	0	1	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	46	1	8	12	8	2	2	5	6	0	0	0	2	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	3	3	4	0	0	0	2	0	0	1	1	3	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	7	4	3	0	0	0	0	0	0	0	0	0	0	0	0									
		0.11%	0.38%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	19	0	2	0	2	1	2	4	1	0	3	0	0	4	0									
		0.31%	0.00%	0.18%	0.00%	0.63%	0.42%	2.00%	1.19%	0.20%	0.00%	0.78%	0.00%	0.00%	2.72%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	15	4	3	0	7	0	0	0	1	0	0	0	0	0	0									
		0.24%	0.38%	0.27%	0.00%	2.21%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5649	965	1003	1240	285	216	91	305	486	214	355	132	158	133	66									
		91.45%	92.17%	88.99%	90.98%	89.91%	90.76%	91.00%	90.77%	96.62%	93.04%	92.69%	97.06%	92.40%	90.48%	83.54%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	5	0	2	0	0	1	0	0	0	0	0	0	0	0	2									
		0.08%	0.00%	0.18%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.53%									
24	"6. Политическая партия ""Гражданская Платформа"""	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0									
		0.03%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	155	25	29	36	9	7	2	14	5	2	2	2	7	10	5									
		2.51%	2.39%	2.57%	2.64%	2.84%	2.94%	2.00%	4.17%	0.99%	0.87%	0.52%	1.47%	4.09%	6.80%	6.33%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	4	0	2	0	1	0	1	0	0	0	0	0	0	0	0									
		0.06%	0.00%	0.18%	0.00%	0.32%	0.00%	1.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	5	0	3	0	1	0	0	0	1	0	0	0	0	0	0									
		0.08%	0.00%	0.27%	0.00%	0.32%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
