Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
Наименование Избирательной комиссии:    Сальская																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	84998	2583	2138	2460	2567	2672	2404	2491	2404	1968	1970	2144	2306	2717	2372	2452	2620	2780	2116	2131	2605	378	237	1771	440	270	219	964	2012	1737	2340	2351	760	998	707	516	1508	1077	263	1551	1005	1557	447	872	473	147	851	483	752	1536	648	684	1115	701	2392	1518	639	1179									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	80640	2400	2000	2300	2400	2500	2300	2400	2300	1800	1800	2000	2200	2600	2300	2300	2500	2600	2000	2000	2500	350	300	1700	400	250	200	900	1900	1600	2200	2200	700	1000	650	690	1450	1000	250	1500	950	1500	400	880	450	140	800	450	700	1500	640	640	1100	650	2300	1400	600	1100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	51203	1681	1372	1755	1652	630	935	1380	953	780	917	1353	648	1855	1631	1721	1480	1907	1466	1493	2222	258	75	1161	201	205	161	586	1190	470	700	1614	207	378	250	473	1075	741	190	1118	687	1233	383	635	394	121	695	273	332	745	553	564	818	488	1898	1087	508	905									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4973	116	33	67	150	499	86	242	200	31	200	180	68	131	29	130	99	61	38	67	48	19	160	177	70	9	10	108	37	52	86	70	72	44	21	43	89	86	10	131	66	101	17	26	18	10	62	42	63	232	5	41	151	74	234	35	7	20									
6	Число погашенных избирательных бюллетеней	24464	603	595	478	598	1371	1279	778	1147	989	683	467	1484	614	640	449	921	632	496	440	230	73	65	362	129	36	29	206	673	1078	1414	516	421	578	379	174	286	173	50	251	197	166	0	219	38	9	43	135	305	523	82	35	131	88	168	278	85	175									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4973	116	33	67	150	499	86	242	200	31	200	180	68	131	29	130	99	61	38	67	48	19	160	177	70	9	10	108	37	52	86	70	72	44	21	43	89	86	10	131	66	101	17	26	18	10	62	42	63	232	5	41	151	74	234	35	7	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	51164	1681	1371	1755	1652	630	935	1380	953	780	917	1353	648	1855	1631	1721	1480	1907	1428	1493	2222	258	75	1161	201	205	161	586	1190	470	700	1614	207	378	250	473	1075	741	190	1118	687	1233	383	635	394	121	695	273	332	745	553	564	818	488	1898	1087	508	905									
9	Число недействительных избирательных бюллетеней	389	10	32	0	0	50	17	8	9	9	11	6	21	3	0	0	2	10	25	8	9	0	1	0	0	1	0	3	16	11	3	31	10	10	0	9	0	4	0	0	5	5	0	10	0	0	8	0	3	0	0	1	7	3	8	2	4	4									
10	Число действительных избирательных бюллетеней	55748	1787	1372	1822	1802	1079	1004	1614	1144	802	1106	1527	695	1983	1660	1851	1577	1958	1441	1552	2261	277	234	1338	271	213	171	691	1211	511	783	1653	269	412	271	507	1164	823	200	1249	748	1329	400	651	412	131	749	315	392	977	558	604	962	559	2124	1120	511	921									
