Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																						
Дата голосования: 02.12.2007																																						
																																						
Наименование Избирательной комиссии:    Кинельская городская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31					
1	"Число избирателей, внесенных в списки избирателей"	37570	1416	848	1250	960	1037	724	847	1110	1772	2338	1870	1201	1294	1040	828	802	1202	940	842	1381	357	338	156	1252	2302	1474	1260	1751	1540	1796	1642					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	35860	1400	780	1190	920	1020	700	810	1130	1730	2210	1790	1160	1210	950	790	700	1120	880	820	1270	320	300	200	1180	2170	1380	1260	1620	1450	1820	1580					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	19185	656	399	576	379	440	334	392	612	859	1325	988	614	655	490	437	346	559	495	388	703	219	182	148	734	1351	798	696	766	695	1029	920					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1362	67	26	95	26	81	51	28	18	31	20	56	42	49	44	46	66	64	30	4	24	25	24	8	47	25	87	69	80	62	44	23					
6	Число погашенных избирательных бюллетеней	15313	677	355	519	515	499	315	390	500	840	865	746	504	506	416	307	288	497	355	428	543	76	94	44	399	794	495	495	774	693	747	637					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1362	67	26	95	26	81	51	28	18	31	20	56	42	49	44	46	66	64	30	4	24	25	24	8	47	25	87	69	80	62	44	23					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19152	656	399	575	379	440	334	392	612	859	1325	988	614	655	490	437	346	559	495	388	702	219	182	148	734	1321	797	696	766	695	1029	920					
9	Число недействительных избирательных бюллетеней	210	8	6	1	8	30	1	2	5	11	16	12	7	6	5	0	3	3	6	4	8	5	6	2	4	13	3	11	5	12	5	2					
10	Число действительных избирательных бюллетеней	20304	715	419	669	397	491	384	418	625	879	1329	1032	649	698	529	483	409	620	519	388	718	239	200	154	777	1333	881	754	841	745	1068	941					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	550	20	6	19	14	7	15	10	18	26	46	20	15	20	14	15	10	18	7	10	24	8	2	5	18	85	20	18	20	10	10	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	496	19	3	17	13	6	13	10	15	26	46	20	15	20	11	15	8	17	4	6	24	7	1	5	18	84	16	18	13	6	10	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	313	16	11	14	6	9	3	14	9	11	9	10	8	11	12	6	28	9	23	6	5	2	6	18	11	25	11	7	6	2	3	2					
14	Число погашенных неиспользованных открепительных удостоверений	54	1	3	2	1	1	2	0	3	0	0	0	0	0	3	0	2	1	3	4	0	1	1	0	0	1	4	0	7	4	0	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
18	1.Политическая партия «Аграрная партия России»	395	11	5	9	5	8	8	4	3	11	24	12	15	7	9	4	6	11	5	11	6	2	6	5	40	68	33	12	16	13	13	13					
		1.93%	1.52%	1.18%	1.34%	1.23%	1.54%	2.08%	0.95%	0.48%	1.24%	1.78%	1.15%	2.29%	0.99%	1.69%	0.83%	1.46%	1.77%	0.95%	2.81%	0.83%	0.82%	2.91%	3.21%	5.12%	5.05%	3.73%	1.57%	1.89%	1.72%	1.21%	1.38%					
19	2.Всероссийская политическая партия «Гражданская Сила»	183	8	0	2	3	0	7	4	2	11	16	8	4	8	4	2	2	8	4	7	8	2	1	3	3	18	1	13	11	6	3	14					
