Выборы Президента Российской Федерации																					
																					
Наименование Избирательной комиссии:    Ики-Бурульская																					
																					
Итоги голосования 																					
																					
		Сумма	УИК  83	УИК  84	УИК  85	УИК  86	УИК  87	УИК  88	УИК  89	УИК  90	УИК  91	УИК  92	УИК  93	УИК  94	УИК  95	УИК  96					
1	"Число избирателей, внесенных в список"	7634	429	269	2075	877	362	211	350	757	523	479	201	531	367	203					
2	Число полученных избирательных бюллетеней	7859	433	290	2109	905	367	216	367	760	577	481	229	548	378	199					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4261	258	175	1086	405	242	156	151	377	301	200	142	336	295	137					
5	"Число избирательных бюллетеней, выданных вне помещения"	1259	77	51	63	158	60	35	137	252	122	148	59	68	22	7					
6	Число погашенных избирательных бюллетеней	2339	98	64	960	342	65	25	79	131	154	133	28	144	61	55					
7	Число избирательных бюллетеней в переносных ящиках	1259	77	51	63	158	60	35	137	252	122	148	59	68	22	7					
8	Число бюллетеней в стационарных ящиках для голосования	4259	258	175	1085	405	242	156	150	377	301	200	142	336	295	137					
9	Число недействительных избирательных бюллетеней	46	5	0	8	8	2	1	0	8	2	2	0	2	4	4					
10	Число действительных избирательных бюллетеней	5472	330	226	1140	555	300	190	287	621	421	346	201	402	313	140					
11	Число полученных открепительных  удостоверений	195	10	15	50	15	10	5	15	10	15	5	5	10	15	15					
12	Число выданных открепительных удостоверений	170	9	13	50	14	4	5	15	10	15	4	5	10	15	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	97	5	5	19	7	3	3	2	16	6	11	4	4	6	6					
14	Число неиспользованных открепительных удостоверений	25	1	2	0	1	6	0	0	0	0	1	0	0	0	14					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	1	1	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																					
18	. Глазьев Сергей Юрьевич	81	4	3	26	4	3	1	9	8	9	6	1	2	4	1					
		1.47%	1.19%	1.33%	2.26%	0.71%	0.99%	0.52%	3.14%	1.27%	2.13%	1.72%	0.50%	0.50%	1.26%	0.69%					
19	. Малышкин Олег Александрович	20	1	0	7	1	0	0	0	0	0	1	2	1	5	2					
		0.36%	0.30%	0.00%	0.61%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	1.00%	0.25%	1.58%	1.39%					
20	. Миронов Сергей Михайлович	21	2	2	5	1	4	0	2	0	1	1	1	0	2	0					
		0.38%	0.60%	0.88%	0.44%	0.18%	1.32%	0.00%	0.70%	0.00%	0.24%	0.29%	0.50%	0.00%	0.63%	0.00%					
21	. Путин Владимир Владимирович	4529	270	206	939	456	246	174	210	557	325	271	164	346	244	121					
		82.08%	80.60%	91.15%	81.79%	80.99%	81.46%	91.10%	73.17%	88.55%	76.83%	77.87%	81.59%	85.64%	76.97%	84.03%					
22	. Хакамада Ирина Муцуовна	207	15	5	73	19	11	4	7	8	12	12	13	16	9	3					
		3.75%	4.48%	2.21%	6.36%	3.37%	3.64%	2.09%	2.44%	1.27%	2.84%	3.45%	6.47%	3.96%	2.84%	2.08%					
23	. Харитонов Николай Михайлович	568	38	10	78	66	36	8	57	42	70	50	18	36	46	13					
		10.29%	11.34%	4.42%	6.79%	11.72%	11.92%	4.19%	19.86%	6.68%	16.55%	14.37%	8.96%	8.91%	14.51%	9.03%					
																					
24	Против всех	46	0	0	12	8	0	3	2	6	4	5	2	1	3	0					
		0.83%	0.00%	0.00%	1.05%	1.42%	0.00%	1.57%	0.70%	0.95%	0.95%	1.44%	1.00%	0.25%	0.95%	0.00%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
