Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Сандовская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933					
1	"Число избирателей, внесенных в список"	7143	1761	1360	398	152	331	384	159	367	221	310	241	282	304	373	107	205	188					
2	Число полученных избирательных бюллетеней	7074	1734	1326	399	149	323	387	160	364	220	313	242	278	302	374	109	205	189					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3866	994	742	221	84	169	215	90	213	137	174	120	150	140	154	66	85	112					
5	"Число избирательных бюллетеней, выданных вне помещения"	1271	47	39	77	46	114	94	43	87	41	122	96	68	106	151	19	78	43					
6	Число погашенных избирательных бюллетеней	1937	693	545	101	19	40	78	27	64	42	17	26	60	56	69	24	42	34					
7	Число избирательных бюллетеней в переносных ящиках	1271	47	39	77	46	114	94	43	87	41	122	96	68	106	151	19	78	43					
8	Число бюллетеней в стационарных ящиках для голосования	3865	994	742	221	84	169	215	90	213	136	174	120	150	140	154	66	85	112					
9	Число недействительных избирательных бюллетеней	32	8	12	2	0	2	2	0	1	2	0	1	1	0	0	0	1	0					
10	Число действительных избирательных бюллетеней	5104	1033	769	296	130	281	307	133	299	175	296	215	217	246	305	85	162	155					
11	Число полученных открепительных  удостоверений	300	40	40	15	10	20	20	10	20	10	20	10	20	15	15	15	10	10					
12	Число выданных открепительных удостоверений	58	21	14	4	0	2	8	1	1	0	2	2	1	2	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	31	10	4	2	1	1	2	1	1	0	1	1	2	1	1	1	1	1					
14	Число неиспользованных открепительных удостоверений	242	19	26	11	10	18	12	9	19	10	18	8	19	13	15	15	10	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	70	18	17	4	4	4	5	0	1	0	6	4	1	1	1	2	2	0					
		1.36%	1.73%	2.18%	1.34%	3.08%	1.41%	1.62%	0.00%	0.33%	0.00%	2.03%	1.85%	0.46%	0.41%	0.33%	2.35%	1.23%	0.00%					
19	. Малышкин Олег Александрович	77	16	17	5	4	9	9	0	1	1	5	2	2	2	4	0	0	0					
		1.50%	1.54%	2.18%	1.68%	3.08%	3.18%	2.91%	0.00%	0.33%	0.56%	1.69%	0.93%	0.92%	0.81%	1.31%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	33	10	4	2	1	1	4	0	1	0	2	4	1	2	0	0	1	0					
		0.64%	0.96%	0.51%	0.67%	0.77%	0.35%	1.29%	0.00%	0.33%	0.00%	0.68%	1.85%	0.46%	0.81%	0.00%	0.00%	0.61%	0.00%					
21	. Путин Владимир Владимирович	4067	757	609	248	104	227	225	108	272	152	229	160	192	212	226	74	129	143					
		79.19%	72.72%	77.98%	83.22%	80.00%	80.21%	72.82%	81.20%	90.67%	85.88%	77.36%	74.07%	88.07%	86.18%	74.10%	87.06%	79.14%	92.26%					
22	. Хакамада Ирина Муцуовна	57	19	10	8	2	1	5	0	0	2	1	2	2	1	1	0	1	2					
		1.11%	1.83%	1.28%	2.68%	1.54%	0.35%	1.62%	0.00%	0.00%	1.13%	0.34%	0.93%	0.92%	0.41%	0.33%	0.00%	0.61%	1.29%					
23	. Харитонов Николай Михайлович	726	186	101	25	14	38	54	24	24	19	51	39	17	22	72	5	26	9					
		14.14%	17.87%	12.93%	8.39%	10.77%	13.43%	17.48%	18.05%	8.00%	10.73%	17.23%	18.06%	7.80%	8.94%	23.61%	5.88%	15.95%	5.81%					
																								
24	Против всех	74	27	11	4	1	1	5	1	0	1	2	4	2	6	1	4	3	1					
		1.44%	2.59%	1.41%	1.34%	0.77%	0.35%	1.62%	0.75%	0.00%	0.56%	0.68%	1.85%	0.92%	2.44%	0.33%	4.71%	1.84%	0.65%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
