Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Сосновская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24778	1484	1663	2061	2044	794	358	138	427	660	501	89	461	520	329	869	702	663	217	790	208	385	374	444	912	349	604	714	203	167	163	112	329	283	257	913	235	365	517	258	238	274	416	1288									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23735	1420	1560	1970	1950	760	360	130	400	620	470	85	440	500	310	830	660	630	220	770	200	360	360	420	880	340	570	690	200	170	160	150	320	270	250	870	220	350	490	250	230	260	400	1240									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13626	676	890	850	667	384	280	87	228	318	177	71	230	181	126	409	397	429	116	554	153	259	239	331	726	245	392	524	154	139	106	92	268	199	174	665	163	247	348	172	180	153	272	355									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2774	143	83	177	160	107	52	25	47	95	53	13	65	75	14	94	75	71	32	99	30	45	50	73	93	54	67	59	28	12	11	20	41	41	51	132	41	45	55	33	36	77	47	153									
6	Число погашенных избирательных бюллетеней	7335	601	587	943	1123	269	28	18	125	207	240	1	145	244	170	327	188	130	72	117	17	56	71	16	61	41	111	107	18	19	43	38	11	30	25	73	16	58	87	45	14	30	81	732									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2774	143	83	177	160	107	52	25	47	95	53	13	65	75	14	94	75	71	32	99	30	45	50	73	93	54	67	59	28	12	11	20	41	41	51	132	41	45	55	33	36	77	47	153									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13626	676	890	850	667	384	280	87	228	318	177	71	230	181	126	409	397	429	116	554	153	259	239	331	726	245	392	524	154	139	106	92	268	199	174	665	163	247	348	172	180	153	272	355									
9	Число недействительных избирательных бюллетеней	149	8	11	8	0	16	0	1	6	20	11	0	1	4	4	2	2	0	2	6	4	0	1	0	0	2	0	10	0	1	0	0	2	0	0	0	1	0	4	0	0	2	4	16									
10	Число действительных избирательных бюллетеней	16251	811	962	1019	827	475	332	111	269	393	219	84	294	252	136	501	470	500	146	647	179	304	288	404	819	297	459	573	182	150	117	112	307	240	225	797	203	292	399	205	216	228	315	492									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	321	13	10	10	20	10	5	5	10	10	10	0	10	10	8	10	5	5	10	10	5	5	5	5	10	5	5	5	5	5	5	5	5	5	5	10	5	5	10	5	5	5	5	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	156	10	6	10	8	0	3	5	3	1	3	0	1	1	7	10	0	5	10	10	1	0	0	2	7	4	0	1	0	0	5	1	4	1	3	3	0	2	3	1	1	0	4	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	82	2	6	2	3	2	0	1	3	3	4	0	1	1	1	2	4	5	2	0	1	2	1	3	5	1	0	0	0	0	2	0	1	0	2	7	2	0	2	1	0	2	2	6									
14	Число погашенных неиспользованных открепительных удостоверений	165	3	4	0	12	10	2	0	7	9	7	0	9	9	1	0	5	0	0	0	4	5	5	3	3	1	5	4	5	5	0	4	1	4	2	7	5	3	7	4	4	5	1	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	60	2	5	3	1	6	0	0	2	2	0	0	0	0	1	3	1	2	0	3	0	0	1	0	8	0	0	0	6	3	0	3	1	2	0	2	0	1	0	0	0	0	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	301	26	26	26	15	7	2	2	5	18	10	2	16	10	5	5	5	12	3	19	11	0	0	0	9	13	10	4	1	0	0	2	0	0	0	0	2	3	3	0	2	0	1	26									
		1.84%	3.17%	2.67%	2.53%	1.81%	1.43%	0.60%	1.79%	1.82%	4.36%	4.35%	2.38%	5.42%	3.91%	3.57%	0.99%	1.06%	2.40%	2.03%	2.91%	6.01%	0.00%	0.00%	0.00%	1.10%	4.35%	2.18%	0.69%	0.55%	0.00%	0.00%	1.79%	0.00%	0.00%	0.00%	0.00%	0.98%	1.03%	0.74%	0.00%	0.93%	0.00%	0.31%	5.12%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	248	9	14	16	19	14	0	0	11	8	4	0	0	8	6	9	17	4	4	12	3	0	2	0	5	4	4	9	1	3	0	6	3	0	0	0	2	6	11	0	6	7	7	14									
		1.51%	1.10%	1.44%	1.56%	2.30%	2.85%	0.00%	0.00%	4.00%	1.94%	1.74%	0.00%	0.00%	3.13%	4.29%	1.79%	3.60%	0.80%	2.70%	1.84%	1.64%	0.00%	0.69%	0.00%	0.61%	1.34%	0.87%	1.54%	0.55%	1.99%	0.00%	5.36%	0.97%	0.00%	0.00%	0.00%	0.98%	2.05%	2.73%	0.00%	2.78%	3.04%	2.19%	2.76%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	92	4	0	9	1	6	1	1	2	8	6	0	1	0	2	4	4	5	0	0	0	0	2	0	9	3	0	5	1	0	0	0	0	0	0	0	2	1	1	10	0	0	2	2									
		0.56%	0.49%	0.00%	0.88%	0.12%	1.22%	0.30%	0.89%	0.73%	1.94%	2.61%	0.00%	0.34%	0.00%	1.43%	0.80%	0.85%	1.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	1.10%	1.00%	0.00%	0.86%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.98%	0.34%	0.25%	4.88%	0.00%	0.00%	0.63%	0.39%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12137	563	661	647	528	327	302	87	178	229	143	72	202	116	85	368	359	410	116	459	107	246	224	384	680	226	389	452	161	136	99	84	284	203	195	688	151	242	306	158	177	189	242	262									
