Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Ардонская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23839	2060	2657	2267	1890	2609	1693	1826	175	1320	2348	1171	1053	1118	869	459	324									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23000	1980	2640	2130	1800	2480	1600	1750	170	1300	2280	1170	1030	1080	850	430	310									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15557	1611	2091	1906	570	1949	1367	1586	67	1068	723	348	764	809	314	200	184									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	632	39	46	40	30	69	37	25	0	76	36	50	61	55	24	29	15									
6	Число погашенных избирательных бюллетеней	6811	330	503	184	1200	462	196	139	103	156	1521	772	205	216	512	201	111									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	632	39	46	40	30	69	37	25	0	76	36	50	61	55	24	29	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15557	1611	2091	1906	570	1949	1367	1586	67	1068	723	348	764	809	314	200	184									
9	Число недействительных избирательных бюллетеней	71	0	0	0	15	0	0	0	1	0	10	8	0	0	10	0	27									
10	Число действительных избирательных бюллетеней	16118	1650	2137	1946	585	2018	1404	1611	66	1144	749	390	825	864	328	229	172									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	167	20	25	20	20	25	30	22	0	0	5	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	44	6	10	5	3	6	8	4	0	0	2	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	99	5	5	11	8	21	7	5	1	4	8	6	5	2	5	4	2									
14	Число погашенных неиспользованных открепительных удостоверений	123	14	15	15	17	19	22	18	0	0	3	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	83	13	15	11	3	10	5	11	0	1	5	4	1	2	1	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	199	10	21	13	10	57	12	17	0	5	11	3	9	17	2	2	10									
		1.23%	0.61%	0.98%	0.67%	1.67%	2.82%	0.85%	1.06%	0.00%	0.44%	1.45%	0.75%	1.09%	1.97%	0.59%	0.87%	5.03%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	285	30	22	18	28	24	10	3	2	19	72	9	19	2	14	7	6									
		1.76%	1.82%	1.03%	0.92%	4.67%	1.19%	0.71%	0.19%	2.99%	1.66%	9.49%	2.26%	2.30%	0.23%	4.14%	3.06%	3.02%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	77	3	9	8	4	7	9	5	1	11	7	1	3	2	4	2	1									
		0.48%	0.18%	0.42%	0.41%	0.67%	0.35%	0.64%	0.31%	1.49%	0.96%	0.92%	0.25%	0.36%	0.23%	1.18%	0.87%	0.50%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9962	1020	1341	1188	367	1268	919	986	51	706	363	288	415	543	236	139	132									
		61.54%	61.82%	62.75%	61.05%	61.17%	62.83%	65.46%	61.20%	76.12%	61.71%	47.83%	72.36%	50.30%	62.85%	69.82%	60.70%	66.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	65	2	2	2	5	9	3	8	1	1	4	0	13	3	6	6	0									
		0.40%	0.12%	0.09%	0.10%	0.83%	0.45%	0.21%	0.50%	1.49%	0.09%	0.53%	0.00%	1.58%	0.35%	1.78%	2.62%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0									
		0.03%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	1.49%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	472	15	14	110	9	45	27	55	1	59	15	10	74	18	8	6	6									
		2.92%	0.91%	0.66%	5.65%	1.50%	2.23%	1.92%	3.41%	1.49%	5.16%	1.98%	2.51%	8.97%	2.08%	2.37%	2.62%	3.02%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	113	91	2	4	2	3	1	0	0	3	3	0	3	0	1	0	0									
		0.70%	5.52%	0.09%	0.21%	0.33%	0.15%	0.07%	0.00%	0.00%	0.26%	0.40%	0.00%	0.36%	0.00%	0.30%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	41	0	4	4	3	7	6	0	1	5	4	0	4	1	1	0	1									
		0.25%	0.00%	0.19%	0.21%	0.50%	0.35%	0.43%	0.00%	1.49%	0.44%	0.53%	0.00%	0.48%	0.12%	0.30%	0.00%	0.50%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	25	0	0	3	0	3	10	0	0	0	2	1	4	0	0	1	1									
		0.15%	0.00%	0.00%	0.15%	0.00%	0.15%	0.71%	0.00%	0.00%	0.00%	0.26%	0.25%	0.48%	0.00%	0.00%	0.44%	0.50%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	31	7	3	1	1	7	3	1	0	0	1	0	3	0	4	0	0									
		0.19%	0.42%	0.14%	0.05%	0.17%	0.35%	0.21%	0.06%	0.00%	0.00%	0.13%	0.00%	0.36%	0.00%	1.18%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3730	392	608	501	51	486	354	440	4	281	125	17	199	208	29	21	14									
		23.04%	23.76%	28.45%	25.75%	8.50%	24.08%	25.21%	27.31%	5.97%	24.56%	16.47%	4.27%	24.12%	24.07%	8.58%	9.17%	7.04%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	584	50	70	57	61	55	24	75	3	35	35	25	20	40	12	22	0									
		3.61%	3.03%	3.28%	2.93%	10.17%	2.73%	1.71%	4.66%	4.48%	3.06%	4.61%	6.28%	2.42%	4.63%	3.55%	9.61%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	529	30	41	37	44	44	26	21	1	19	106	36	59	30	11	23	1									
		3.27%	1.82%	1.92%	1.90%	7.33%	2.18%	1.85%	1.30%	1.49%	1.66%	13.97%	9.05%	7.15%	3.47%	3.25%	10.04%	0.50%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
