Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Кудымкарская городская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №5201	УИК №5202	УИК №5203	УИК №5204	УИК №5205	УИК №5206	УИК №5207	УИК №5208	УИК №5209	УИК №5210	УИК №5211	УИК №5212	УИК №5213	УИК №5214	УИК №5215	УИК №5216	УИК №5217									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22748	1649	1489	1615	1346	219	1554	1512	1447	1466	1343	1354	1390	1616	1379	1636	1669	64									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21950	1600	1400	1400	1300	200	1400	1450	1400	1450	1300	1350	1350	1600	1350	1600	1600	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8128	602	506	502	412	106	473	607	608	631	507	426	533	572	481	565	573	24									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	355	10	9	163	8	14	9	5	19	13	12	10	13	8	14	10	9	29									
6	Число погашенных избирательных бюллетеней	13467	988	885	735	880	80	918	838	773	806	781	914	804	1020	855	1025	1018	147									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	355	10	9	163	8	14	9	5	19	13	12	10	13	8	14	10	9	29									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8125	602	506	502	412	106	473	607	607	631	507	426	533	572	479	565	573	24									
9	Число недействительных избирательных бюллетеней	426	24	25	39	8	26	27	28	19	29	26	18	36	20	35	30	35	1									
10	Число действительных избирательных бюллетеней	8054	588	490	626	412	94	455	584	607	615	493	418	510	560	458	545	547	52									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	525	35	35	35	30	5	35	35	35	35	35	35	35	35	35	35	35	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	85	3	6	12	1	0	7	4	5	6	6	5	6	9	3	5	7	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	49	4	2	4	2	1	0	1	15	5	3	1	2	6	1	2	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	440	32	29	23	29	5	28	31	30	29	29	30	29	26	32	30	28	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	5	1	3	3	0	0	0	0	0	4	0	0	2	2	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	72	6	3	6	9	0	5	3	5	2	2	6	5	5	4	6	4	1									
		0.85%	0.98%	0.58%	0.90%	2.14%	0.00%	1.04%	0.49%	0.80%	0.31%	0.39%	1.38%	0.92%	0.86%	0.81%	1.04%	0.69%	1.89%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	250	15	10	23	11	5	11	32	21	20	18	11	18	18	9	10	17	1									
		2.95%	2.45%	1.94%	3.46%	2.62%	4.17%	2.28%	5.23%	3.35%	3.11%	3.47%	2.52%	3.30%	3.10%	1.83%	1.74%	2.92%	1.89%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	188	15	15	7	8	5	10	15	11	28	12	11	11	8	7	13	12	0									
		2.22%	2.45%	2.91%	1.05%	1.90%	4.17%	2.07%	2.45%	1.76%	4.35%	2.31%	2.52%	2.01%	1.38%	1.42%	2.26%	2.06%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3573	269	245	241	186	43	199	225	261	225	244	204	189	246	219	273	275	29									
		42.13%	43.95%	47.57%	36.24%	44.29%	35.83%	41.29%	36.76%	41.69%	34.94%	47.01%	46.79%	34.62%	42.41%	44.42%	47.48%	47.25%	54.72%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	49	5	3	3	5	0	0	3	4	7	3	0	4	4	0	6	2	0									
		0.58%	0.82%	0.58%	0.45%	1.19%	0.00%	0.00%	0.49%	0.64%	1.09%	0.58%	0.00%	0.73%	0.69%	0.00%	1.04%	0.34%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	11	0	0	3	0	3	0	0	0	2	0	0	0	2	0	1	0	0									
		0.13%	0.00%	0.00%	0.45%	0.00%	2.50%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.34%	0.00%	0.17%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1582	131	90	173	87	14	82	95	106	88	100	82	86	112	103	107	113	13									
		18.66%	21.41%	17.48%	26.02%	20.71%	11.67%	17.01%	15.52%	16.93%	13.66%	19.27%	18.81%	15.75%	19.31%	20.89%	18.61%	19.42%	24.53%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	54	1	0	3	3	3	2	4	3	5	4	4	2	5	9	5	1	0									
		0.64%	0.16%	0.00%	0.45%	0.71%	2.50%	0.41%	0.65%	0.48%	0.78%	0.77%	0.92%	0.37%	0.86%	1.83%	0.87%	0.17%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	74	2	5	6	2	1	4	7	7	8	6	3	10	6	1	1	5	0									
		0.87%	0.33%	0.97%	0.90%	0.48%	0.83%	0.83%	1.14%	1.12%	1.24%	1.16%	0.69%	1.83%	1.03%	0.20%	0.17%	0.86%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	1	0	1	0	0	1	0	2	0	2	2	0	0	1	0	0	0									
		0.12%	0.16%	0.00%	0.15%	0.00%	0.00%	0.21%	0.00%	0.32%	0.00%	0.39%	0.46%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%									
