Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																											
Дата голосования: 07.12.2003 0:00:00																																																											
																																																											
Наименование Избирательной комиссии:    Купинская																																																											
																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																											
																																																											
		Сумма	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624					
1	"Число избирателей, внесенных в списки"	26303	2150	1358	1601	1546	1786	1745	1244	1037	564	218	136	466	128	85	146	511	166	254	677	113	187	496	152	220	413	495	226	125	652	384	589	448	619	335	125	384	556	88	105	172	213	427	209	137	64	414	129	546	587	555	146	174					
2	"Число бюллетеней, полученных участковыми комиссиями"	26035	2100	1300	1600	1500	1800	1700	1200	1002	568	214	138	467	128	89	145	510	162	253	677	113	190	494	154	223	418	502	230	119	654	392	577	440	620	342	124	383	542	87	100	172	205	424	212	140	65	424	131	543	576	562	148	176					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16266	1119	639	827	760	901	1049	619	532	381	192	106	268	111	74	108	401	130	186	316	104	110	368	91	204	315	386	181	85	363	277	450	335	453	268	89	265	375	76	85	95	148	295	168	116	47	272	121	325	401	419	131	129					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	904	14	41	39	52	60	33	117	23	15	0	14	30	0	0	0	0	0	0	32	0	0	48	0	0	5	0	0	4	31	6	17	0	15	22	25	18	0	0	0	36	10	16	0	0	0	46	0	58	18	59	0	0					
6	Число погашенных бюллетеней	8865	967	620	734	688	839	618	464	447	172	22	18	169	17	15	37	109	32	67	329	9	80	78	63	19	98	116	49	30	260	109	110	105	152	52	10	100	167	11	15	41	47	113	44	24	18	106	10	160	157	84	17	47					
7	Число бюллетеней в переносных ящиках для голосования	904	14	41	39	52	60	33	117	23	15	0	14	30	0	0	0	0	0	0	32	0	0	48	0	0	5	0	0	4	31	6	17	0	15	22	25	18	0	0	0	36	10	16	0	0	0	46	0	58	18	59	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	16229	1119	639	825	760	901	1016	619	532	381	192	106	268	111	74	108	400	130	186	316	104	110	368	91	204	315	386	181	85	363	277	450	335	453	268	89	265	375	76	85	95	148	295	168	116	47	272	121	325	400	419	131	129					
9	Число недействительных бюллетеней	374	16	12	23	21	18	14	11	11	11	4	2	13	2	3	0	15	4	1	9	0	6	4	1	0	1	8	2	5	17	11	15	6	13	2	1	6	8	2	0	4	0	12	5	0	0	10	0	13	4	25	0	3					
10	Число действительных бюллетеней	16759	1117	668	841	791	943	1035	725	544	385	188	118	285	109	71	108	385	126	185	339	104	104	412	90	204	319	378	179	84	377	272	452	329	455	288	113	277	367	74	85	127	158	299	163	116	47	308	121	370	414	453	131	126					
