Выборы Президента Российской Федерации																																																																		
																																																																		
Наименование Избирательной комиссии:    Стародубская																																																																		
																																																																		
Итоги голосования 																																																																		
																																																																		
		Сумма	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008					
1	"Число избирателей, внесенных в список"	33529	405	401	392	172	240	252	306	285	266	344	420	394	647	455	291	480	1154	304	500	235	680	247	191	1007	171	342	258	371	288	262	306	195	658	193	284	869	432	498	118	405	271	411	1017	356	430	174	212	371	339	1412	1503	1532	1727	1342	1300	1313	1205	1399	1497					
2	Число полученных избирательных бюллетеней	30746	370	360	365	175	220	235	285	265	250	320	395	360	590	420	265	430	1050	280	455	220	650	235	193	930	172	315	235	355	270	250	290	195	600	199	270	795	400	460	121	385	250	370	950	350	410	176	200	345	315	1270	1350	1360	1520	1200	1200	1170	1080	1270	1330					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17950	258	244	196	121	138	183	186	207	175	192	252	272	384	329	171	246	596	135	230	101	348	179	37	578	86	183	149	194	126	137	199	92	370	127	171	270	231	331	64	263	189	304	515	197	247	138	128	240	250	719	744	728	826	715	740	565	604	608	742					
5	"Число избирательных бюллетеней, выданных вне помещения"	3776	36	52	50	19	47	34	70	26	36	83	56	30	64	57	64	65	54	59	77	94	139	40	89	100	45	52	52	109	112	74	75	79	86	32	51	342	124	76	34	54	39	30	162	90	79	8	40	41	32	53	10	33	66	9	44	36	72	49	45					
6	Число погашенных избирательных бюллетеней	9020	76	64	119	35	35	18	29	32	39	45	87	58	142	34	30	119	400	86	148	25	163	16	67	252	41	80	34	52	32	39	16	24	144	40	48	183	45	53	23	68	22	36	273	63	84	30	32	64	33	498	596	599	628	476	416	569	404	613	543					
7	Число избирательных бюллетеней в переносных ящиках	3776	36	52	50	19	47	34	70	26	36	83	56	30	64	57	64	65	54	59	77	94	139	40	89	100	45	52	52	109	112	74	75	79	86	32	51	342	124	76	34	54	39	30	162	90	79	8	40	41	32	53	10	33	66	9	44	36	72	49	45					
8	Число бюллетеней в стационарных ящиках для голосования	17950	258	244	196	121	138	183	186	207	175	192	252	272	384	329	171	246	596	135	230	101	348	179	37	578	86	183	149	194	126	137	199	92	370	127	171	270	231	331	64	263	189	304	515	197	247	138	128	240	250	719	744	728	826	715	740	565	604	608	742					
9	Число недействительных избирательных бюллетеней	191	1	0	1	1	1	1	3	4	2	0	4	1	6	3	2	0	4	2	3	2	2	0	3	9	0	6	3	7	0	2	4	1	2	2	0	4	4	2	0	2	6	6	7	5	1	1	2	4	3	4	8	7	6	9	8	3	8	3	6					
10	Число действительных избирательных бюллетеней	21535	293	296	245	139	184	216	253	229	209	275	304	301	442	383	233	311	646	192	304	193	485	219	123	669	131	229	198	296	238	209	270	170	454	157	222	608	351	405	98	315	222	328	670	282	325	145	166	277	279	768	746	754	886	715	776	598	668	654	781					
