Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Ульяновская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК  659	УИК  660	УИК  661	УИК  662	УИК  663	УИК  664	УИК  665	УИК  666	УИК  667	УИК  668	УИК  669	УИК  670	УИК  671	УИК  672	УИК  673	УИК  674	УИК  675	УИК  676	УИК  677					
1	"Число избирателей, внесенных в списки"	6698	52	123	151	201	146	137	88	262	177	197	138	847	2482	249	728	127	132	298	163					
2	"Число бюллетеней, полученных участковыми комиссиями"	6820	59	132	145	190	148	134	147	262	181	203	149	934	2466	239	716	120	132	301	162					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3316	42	82	66	141	43	83	72	106	67	101	75	479	1153	96	317	62	68	183	80					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	764	8	17	44	0	74	17	16	87	49	34	34	45	128	68	29	14	47	28	25					
6	Число погашенных бюллетеней	2740	9	33	35	49	31	34	59	69	65	68	40	410	1185	75	370	44	17	90	57					
7	Число бюллетеней в переносных ящиках для голосования	764	8	17	44	0	74	17	16	87	49	34	34	45	128	68	29	14	47	28	25					
8	Число бюллетеней в стационарных ящиках для голосования	3316	42	82	66	141	43	83	72	106	67	101	75	479	1153	96	317	62	68	183	80					
9	Число недействительных бюллетеней	46	2	0	2	0	0	0	0	0	1	1	0	13	15	2	8	1	1	0	0					
10	Число действительных бюллетеней	4034	48	99	108	141	117	100	88	193	115	134	109	511	1266	162	338	75	114	211	105					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	93	2	3	2	3	2	2	2	2	2	2	2	10	24	4	15	3	5	1	7					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	37	0	0	0	0	1	0	0	0	2	0	0	7	24	0	1	0	0	0	2					
