Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																															
Дата голосования: 02.12.2007																																																															
																																																															
Наименование Избирательной комиссии:    ТИК Кунгурского МР																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №4601	УИК №4602	УИК №4603	УИК №4604	УИК №4605	УИК №4606	УИК №4607	УИК №4608	УИК №4609	УИК №4610	УИК №4611	УИК №4612	УИК №4613	УИК №4614	УИК №4615	УИК №4616	УИК №4617	УИК №4618	УИК №4619	УИК №4620	УИК №4621	УИК №4622	УИК №4623	УИК №4624	УИК №4625	УИК №4626	УИК №4627	УИК №4628	УИК №4629	УИК №4630	УИК №4631	УИК №4632	УИК №4633	УИК №4634	УИК №4635	УИК №4636	УИК №4637	УИК №4638	УИК №4639	УИК №4640	УИК №4641	УИК №4642	УИК №4643	УИК №4644	УИК №4645	УИК №4646	УИК №4647	УИК №4648	УИК №4649	УИК №4650	УИК №4651	УИК №4652	УИК №4653	УИК №4654	УИК №4655	УИК №4656					
1	"Число избирателей, внесенных в списки избирателей"	34446	140	618	1803	228	240	489	376	181	636	912	1139	1275	1245	240	1051	490	1143	1548	429	252	1162	433	1154	468	1266	120	99	86	210	247	1209	163	196	428	1270	890	574	516	734	192	140	290	829	709	1072	294	307	354	191	796	1025	681	304	342	620	640					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	33250	140	600	1800	200	250	450	350	170	650	900	1100	1250	1200	240	1000	450	1100	1500	400	250	1200	400	1100	450	1200	120	90	80	200	200	1200	150	180	430	1200	870	550	500	700	170	140	290	800	700	1000	300	300	300	190	750	1000	650	300	290	600	650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	76	0	11	33	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16822	90	283	690	79	120	261	191	77	277	488	563	753	792	140	578	186	515	619	203	64	589	196	580	191	563	59	44	39	65	71	458	75	86	203	547	371	274	266	342	52	65	129	671	479	587	138	195	215	88	339	449	326	156	204	328	413					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3303	15	108	163	62	32	60	24	50	128	61	54	22	11	31	26	55	53	194	34	88	117	77	104	96	114	24	13	10	52	82	147	20	26	29	130	113	51	18	54	67	15	47	50	37	37	8	38	5	15	88	155	36	36	7	73	41					
6	Число погашенных избирательных бюллетеней	13049	35	198	914	59	98	129	135	43	245	351	483	475	397	69	396	209	507	687	163	98	494	127	416	163	523	37	33	31	83	47	588	55	68	198	523	386	225	216	304	51	60	114	79	184	376	154	67	80	87	323	396	288	108	79	199	196					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3379	15	119	196	62	32	60	24	50	128	61	54	22	11	31	26	55	78	194	34	88	117	77	104	96	114	24	13	10	52	82	154	20	26	29	130	113	51	18	54	67	15	47	50	37	37	8	38	5	15	88	155	36	36	7	73	41					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16821	90	283	690	79	120	261	191	77	277	488	563	753	792	140	578	186	515	619	203	64	589	196	580	191	563	59	44	39	65	71	458	75	86	203	547	370	274	266	342	52	65	129	671	479	587	138	195	215	88	339	449	326	156	204	328	413					
9	Число недействительных избирательных бюллетеней	148	2	5	2	0	1	4	2	0	2	9	3	2	7	1	5	1	5	8	1	1	5	5	5	5	10	2	0	1	0	0	5	1	3	3	3	6	4	0	6	1	0	1	0	1	7	1	1	0	0	4	4	1	1	0	0	1					
10	Число действительных избирательных бюллетеней	20052	103	397	884	141	151	317	213	127	403	540	614	773	796	170	599	240	588	805	236	151	701	268	679	282	667	81	57	48	117	153	607	94	109	229	674	477	321	284	390	118	80	175	721	515	617	145	232	220	103	423	600	361	191	211	401	453					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	761	5	20	25	5	20	30	10	5	15	15	26	20	20	5	15	15	20	25	5	10	20	10	20	10	30	5	5	5	5	5	20	5	5	10	15	10	15	20	20	5	10	10	20	10	20	8	10	10	5	20	40	5	5	5	10	22					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	442	4	4	17	3	20	11	6	1	11	9	23	11	8	5	14	3	5	22	0	3	19	6	20	6	17	1	0	3	3	1	13	0	0	2	5	2	1	7	7	0	0	6	12	3	17	7	6	5	1	14	40	2	5	5	6	20					
