Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																	
Дата голосования: 07.12.2003 0:00:00																	
																	
Наименование Избирательной комиссии:    Павинская																	
																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																	
																	
		Сумма	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520					
1	"Число избирателей, внесенных в списки"	4862	1969	799	87	222	123	522	88	470	362	220					
2	"Число бюллетеней, полученных участковыми комиссиями"	4330	1700	700	80	200	110	500	80	430	330	200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2540	1024	308	45	157	90	257	50	280	175	154					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	328	55	48	24	1	14	68	14	31	54	19					
6	Число погашенных бюллетеней	1462	621	344	11	42	6	175	16	119	101	27					
7	Число бюллетеней в переносных ящиках для голосования	328	55	48	24	1	14	68	14	31	54	19					
8	Число бюллетеней в стационарных ящиках для голосования	2539	1023	308	45	157	90	257	50	280	175	154					
9	Число недействительных бюллетеней	30	6	4	2	7	0	4	1	2	3	1					
10	Число действительных бюллетеней	2837	1072	352	67	151	104	321	63	309	226	172					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	49	10	5	3	5	3	5	3	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	15	7	3	0	0	1	1	0	1	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	6	3	1	0	0	0	0	0	0	0	2					
14	Число погашенных открепительных удостоверений	34	3	2	3	5	2	4	3	4	4	4					
15	Число открепительных удостоверений выданных ТИК	3	0	1	0	0	0	0	0	0	1	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
																	
18	"1. ""ЕДИНЕНИЕ"""	28	6	5	2	1	0	5	1	5	1	2					
		0.97%	0.55%	1.40%	2.89%	0.63%	0.0%	1.53%	1.56%	1.60%	0.43%	1.15%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	8	6	1	0	1	0	0	0	0	0	0					
		0.27%	0.55%	0.28%	0.0%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	103	27	10	1	14	2	12	1	14	4	18					
		3.59%	2.50%	2.80%	1.44%	8.86%	1.92%	3.69%	1.56%	4.50%	1.74%	10.40%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	31	20	1	1	2	0	3	0	2	2	0					
		1.08%	1.85%	0.28%	1.44%	1.26%	0.0%	0.92%	0.0%	0.64%	0.87%	0.0%					
22	"5. ""За Русь Святую"""	17	7	3	1	1	2	0	0	2	1	0					
		0.59%	0.64%	0.84%	1.44%	0.63%	1.92%	0.0%	0.0%	0.64%	0.43%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	10	2	4	0	1	0	1	0	0	1	1					
		0.34%	0.18%	1.12%	0.0%	0.63%	0.0%	0.30%	0.0%	0.0%	0.43%	0.57%					
24	"7. ""Новый курс - Автомобильная Россия"""	6	3	1	0	0	0	0	0	0	1	1					
		0.20%	0.27%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.57%					
25	"8. ""Народно-республиканская партия России"""	5	1	1	0	0	0	0	0	1	2	0					
		0.17%	0.09%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.87%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	6	2	1	0	0	0	0	0	0	2	1					
		0.20%	0.18%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.87%	0.57%					
27	"10. ""Аграрная партия России"""	468	123	50	12	7	59	65	13	16	71	52					
		16.32%	11.41%	14.04%	17.39%	4.43%	56.73%	20.0%	20.31%	5.14%	31.00%	30.05%					
28	"11. ""Истинные патриоты России"""	3	0	1	0	0	1	0	0	0	0	1					
		0.10%	0.0%	0.28%	0.0%	0.0%	0.96%	0.0%	0.0%	0.0%	0.0%	0.57%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	58	28	2	0	3	0	2	1	4	8	10					
		2.02%	2.59%	0.56%	0.0%	1.89%	0.0%	0.61%	1.56%	1.28%	3.49%	5.78%					
30	"13. ""Демократическая партия России"""	7	1	1	0	3	0	0	0	0	1	1					
		0.24%	0.09%	0.28%	0.0%	1.89%	0.0%	0.0%	0.0%	0.0%	0.43%	0.57%					
31	"14. ""Великая Россия - Евразийский Союз"""	10	1	1	0	2	0	0	0	4	1	1					
		0.34%	0.09%	0.28%	0.0%	1.26%	0.0%	0.0%	0.0%	1.28%	0.43%	0.57%					
32	"15. ""Партия СЛОН"""	2	0	0	0	0	0	1	0	1	0	0					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.32%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	166	80	14	0	24	4	16	2	15	10	1					
		5.79%	7.42%	3.93%	0.0%	15.18%	3.84%	4.92%	3.12%	4.82%	4.36%	0.57%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	4	2	0	0	1	0	1	0	0	0	0					
		0.13%	0.18%	0.0%	0.0%	0.63%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	433	200	55	3	24	7	42	2	53	29	18					
		15.10%	18.55%	15.44%	4.34%	15.18%	6.73%	12.92%	3.12%	17.04%	12.66%	10.40%					
