Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																			
Дата голосования: 02.12.2007																																																																																																																			
																																																																																																																			
Наименование Избирательной комиссии:    Ангарская																																																																																																																			
																																																																																																																			
Сводная таблица результатов выборов																																																																																																																			
																																																																																																																			
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №1648					
1	"Число избирателей, внесенных в списки избирателей"	197951	1591	1691	1775	1918	1478	2665	1418	1616	2037	2357	2021	1716	2241	2087	2129	2015	2265	1611	1907	2041	2532	1919	1518	1594	2463	2597	2016	1118	2495	2612	1715	2452	2053	1706	1522	1754	1630	2192	1936	1866	2505	1608	1892	2090	2037	2633	2542	1867	2571	2647	2159	1804	1849	2278	2435	1358	2013	1692	2464	2605	1917	1750	1948	2062	2163	2177	2170	2357	2183	2425	1610	2617	2472	2120	2090	2365	2529	2404	2554	2320	1496	1847	1811	1364	1911	1978	1559	1738	2957	2055	2383	1232	1141	867	1571	1042	1894	633	1708	134	76	71	80	101	26	205	66	454					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	173200	1300	1400	1500	1700	1300	2400	1200	1400	1800	2000	1800	1400	2000	1900	1900	1800	2000	1400	1700	1800	2300	1700	1300	1400	2200	2400	1500	900	2200	2300	1500	2200	1800	1500	1300	1400	1500	1900	1700	1600	2200	1300	1600	1800	1800	2400	2300	1600	2400	2400	1900	1600	1600	2000	2200	1100	1800	1400	2200	2400	1700	1500	1700	1800	1900	1900	1900	2100	2000	2100	1400	2300	2200	1900	1800	2100	2300	2100	2300	2000	1200	1600	1600	1100	1600	1700	1300	1500	2600	1800	1800	1000	800	700	1400	800	1600	500	1500	150	150	150	150	150	150	250	150	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	123361	751	863	904	1032	850	1514	849	992	1313	1454	1308	1084	1457	1311	1264	1350	1537	1108	1073	1171	1535	1177	972	999	1408	1559	1150	804	1646	1676	1076	1544	1217	1028	977	1076	869	1416	1194	1164	1454	888	1126	1337	1156	1585	1607	1170	1607	1533	1334	1095	1154	1396	1546	884	1330	1137	1520	1589	1194	1013	1344	1290	1310	1411	1381	1501	1306	1378	1017	1630	1647	1459	1364	1516	1790	1641	1770	1483	969	1228	1337	957	1305	1369	1067	1203	2098	1484	1561	641	678	386	886	509	912	211	840	121	76	66	74	99	25	184	66	444					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2194	26	10	63	27	28	28	14	21	28	19	41	24	28	33	16	37	20	13	9	8	28	15	14	23	24	23	10	10	11	9	21	36	33	16	12	21	27	9	17	19	18	16	42	12	13	37	23	15	14	21	16	22	25	26	21	18	7	15	25	25	15	25	11	23	27	19	19	32	18	188	6	19	12	20	9	19	15	13	14	13	25	15	13	16	20	13	13	15	15	7	23	42	28	63	3	22	14	21	27	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	47645	523	527	533	641	422	858	337	387	459	527	451	292	515	556	620	413	443	279	618	621	737	508	314	378	768	818	340	86	543	615	403	620	550	456	311	303	604	475	489	417	728	396	432	451	631	778	670	415	779	846	550	483	421	578	633	198	463	248	655	786	491	462	345	487	563	470	500	567	676	534	377	651	541	421	427	565	495	446	516	504	206	357	250	127	275	318	220	282	487	309	216	317	94	251	511	269	674	268	633	29	74	84	76	51	125	66	84	56					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2186	26	10	63	27	28	28	6	21	28	19	41	24	28	33	16	37	20	13	9	8	28	15	14	23	24	23	10	10	11	9	21	36	33	16	12	21	27	9	17	19	18	16	42	12	13	37	23	15	14	21	16	22	25	26	21	18	7	15	25	25	15	25	11	23	27	19	19	32	18	188	6	19	12	20	9	19	15	13	14	13	25	15	13	16	20	13	13	15	15	7	23	42	28	63	3	22	14	21	27	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	123113	751	863	904	1029	845	1514	849	992	1309	1450	1306	1084	1457	1310	1264	1350	1534	1108	1073	1162	1528	1162	972	996	1408	1559	1150	791	1644	1676	1076	1541	1217	1028	977	1076	869	1416	1191	1164	1452	888	1126	1336	1156	1585	1607	1149	1607	1533	1334	1094	1154	1396	1546	884	1319	1137	1520	1587	1191	1012	1344	1286	1310	1392	1381	1501	1306	1378	1017	1630	1637	1459	1363	1516	1737	1638	1770	1483	965	1228	1324	957	1305	1366	1067	1203	2092	1472	1561	641	678	386	886	509	911	211	840	121	76	66	74	99	25	184	66	444					
9	Число недействительных избирательных бюллетеней	1671	14	22	28	16	17	18	19	21	22	16	18	9	19	55	13	28	17	13	13	20	22	0	20	5	24	25	17	7	11	15	15	14	14	20	17	17	7	22	9	21	12	17	13	24	15	23	22	18	16	17	12	6	20	24	18	10	10	12	18	23	23	12	11	9	17	2	20	13	16	1	20	18	13	20	19	11	40	32	34	15	12	13	6	11	22	21	17	21	33	14	29	18	13	2	8	7	11	8	12	1	0	0	3	0	0	4	0	9					
10	Число действительных избирательных бюллетеней	123628	763	851	939	1040	856	1524	836	992	1315	1453	1329	1099	1466	1288	1267	1359	1537	1108	1069	1150	1534	1177	966	1014	1408	1557	1143	794	1644	1670	1082	1563	1236	1024	972	1080	889	1403	1199	1162	1458	887	1155	1324	1154	1599	1608	1146	1605	1537	1338	1110	1159	1398	1549	892	1316	1140	1527	1589	1183	1025	1344	1300	1320	1409	1380	1520	1308	1565	1003	1631	1636	1459	1353	1524	1712	1619	1750	1481	978	1230	1331	962	1303	1358	1063	1197	2074	1465	1555	665	693	447	881	524	914	224	855	120	76	66	71	99	25	180	66	435					
