Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
Наименование Избирательной комиссии:    Кировская																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355	УИК  356	УИК  357					
1	"Число избирателей, внесенных в списки"	34500	2622	2359	1383	2228	1350	772	1828	1447	2391	2743	1684	1940	2443	420	393	256	243	221	194	267	313	262	292	777	397	510	374	122	337	2093	1839					
2	"Число бюллетеней, полученных участковыми комиссиями"	33096	2526	2225	1370	2148	1306	759	1729	1423	2343	2650	1598	1903	2322	416	385	251	248	221	186	263	305	255	287	751	402	510	368	125	333	1748	1740					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16044	1229	1017	688	1006	550	240	835	736	1105	1288	669	906	1088	133	152	140	154	144	96	166	202	112	117	291	143	262	173	64	108	1083	1147					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1528	35	51	20	39	34	16	46	8	98	47	28	27	30	137	105	47	36	32	37	29	41	74	61	87	77	26	92	32	124	10	2					
6	Число погашенных бюллетеней	15524	1262	1157	662	1103	722	503	848	679	1140	1315	901	970	1204	146	128	64	58	45	53	68	62	69	109	373	182	222	103	29	101	655	591					
7	Число бюллетеней в переносных ящиках для голосования	1528	35	51	20	39	34	16	46	8	98	47	28	27	30	137	105	47	36	32	37	29	41	74	61	87	77	26	92	32	124	10	2					
8	Число бюллетеней в стационарных ящиках для голосования	16009	1229	1017	688	1006	550	240	835	728	1105	1288	669	906	1087	133	152	140	154	144	96	166	202	112	117	291	143	262	173	64	108	1059	1145					
9	Число недействительных бюллетеней	231	8	13	3	22	12	10	17	4	6	21	14	15	26	2	7	1	2	0	3	2	1	0	7	10	2	0	10	1	7	2	3					
10	Число действительных бюллетеней	17306	1256	1055	705	1023	572	246	864	732	1197	1314	683	918	1091	268	250	186	188	176	130	193	242	186	171	368	218	288	255	95	225	1067	1144					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	577	35	25	25	25	25	25	25	25	25	25	25	25	25	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	25	25					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	125	4	4	5	8	3	0	6	9	11	4	4	5	9	1	2	0	5	0	0	0	2	1	1	0	2	3	3	1	0	16	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	82	1	4	1	6	5	3	2	6	2	7	2	11	5	0	1	0	3	0	0	3	1	0	0	3	1	1	3	0	1	3	7					
14	Число погашенных открепительных удостоверений	452	31	21	20	17	22	25	19	16	14	21	21	20	16	11	10	12	7	12	12	12	10	11	11	12	10	9	9	11	12	9	9					
15	Число открепительных удостоверений выданных ТИК	23	0	3	0	2	1	0	0	1	5	3	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
18	"1. ""ЕДИНЕНИЕ"""	149	15	7	5	12	2	4	9	5	8	14	2	6	8	1	3	3	0	2	6	1	3	2	0	4	3	4	0	3	2	7	8					
		0.84%	1.18%	0.65%	0.70%	1.14%	0.34%	1.56%	1.02%	0.67%	0.66%	1.04%	0.28%	0.64%	0.71%	0.37%	1.16%	1.60%	0.0%	1.13%	4.51%	0.51%	1.23%	1.07%	0.0%	1.05%	1.36%	1.38%	0.0%	3.12%	0.86%	0.65%	0.69%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	236	11	20	12	23	7	1	11	11	13	32	11	14	12	2	4	0	6	2	4	1	1	0	0	4	2	2	1	0	0	20	9					
		1.34%	0.87%	1.87%	1.69%	2.20%	1.19%	0.39%	1.24%	1.49%	1.08%	2.39%	1.57%	1.50%	1.07%	0.74%	1.55%	0.0%	3.15%	1.13%	3.00%	0.51%	0.41%	0.0%	0.0%	1.05%	0.90%	0.69%	0.37%	0.0%	0.0%	1.87%	0.78%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	394	20	12	8	23	13	7	20	15	37	46	12	15	26	12	11	2	4	4	5	7	3	5	4	16	7	1	4	0	5	27	23					
		2.24%	1.58%	1.12%	1.12%	2.20%	2.22%	2.73%	2.27%	2.03%	3.07%	3.44%	1.72%	1.60%	2.32%	4.44%	4.28%	1.06%	2.10%	2.27%	3.75%	3.58%	1.23%	2.68%	2.24%	4.23%	3.18%	0.34%	1.50%	0.0%	2.15%	2.52%	2.00%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	237	34	11	11	20	9	2	9	16	9	21	9	13	18	3	7	2	0	1	0	0	1	1	1	2	3	1	1	0	0	7	25					
		1.35%	2.68%	1.02%	1.55%	1.91%	1.54%	0.78%	1.02%	2.17%	0.74%	1.57%	1.29%	1.39%	1.61%	1.11%	2.72%	1.06%	0.0%	0.56%	0.0%	0.0%	0.41%	0.53%	0.56%	0.52%	1.36%	0.34%	0.37%	0.0%	0.0%	0.65%	2.17%					
22	"5. ""За Русь Святую"""	91	5	3	3	9	2	0	4	4	2	6	0	5	6	4	4	1	0	1	0	0	0	1	0	1	2	9	1	0	2	4	12					
		0.51%	0.39%	0.28%	0.42%	0.86%	0.34%	0.0%	0.45%	0.54%	0.16%	0.44%	0.0%	0.53%	0.53%	1.48%	1.55%	0.53%	0.0%	0.56%	0.0%	0.0%	0.0%	0.53%	0.0%	0.26%	0.90%	3.12%	0.37%	0.0%	0.86%	0.37%	1.04%					
23	"6. ""Объединенная Российская партия ""Русь"""	48	3	5	1	5	10	0	4	2	1	6	2	3	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	2	1					
		0.27%	0.23%	0.46%	0.14%	0.47%	1.71%	0.0%	0.45%	0.27%	0.08%	0.44%	0.28%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.53%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.18%	0.08%					
24	"7. ""Новый курс - Автомобильная Россия"""	99	7	4	4	5	2	1	3	6	3	17	7	2	2	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	19	12					
		0.56%	0.55%	0.37%	0.56%	0.47%	0.34%	0.39%	0.34%	0.81%	0.24%	1.27%	1.00%	0.21%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.75%	0.0%	0.0%	0.0%	0.56%	0.26%	0.45%	0.0%	0.37%	0.0%	0.0%	1.77%	1.04%					
25	"8. ""Народно-республиканская партия России"""	16	1	0	1	0	2	0	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	2					
		0.09%	0.07%	0.0%	0.14%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.07%	0.14%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.75%	0.0%	0.0%	0.09%	0.17%					
26	"9. ""Российская экологическая партия ""Зеленые"""	35	2	6	1	1	0	0	3	0	5	1	3	1	3	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	4					
		0.19%	0.15%	0.56%	0.14%	0.09%	0.0%	0.0%	0.34%	0.0%	0.41%	0.07%	0.43%	0.10%	0.26%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	1.02%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.34%					
27	"10. ""Аграрная партия России"""	679	39	35	15	29	25	3	19	23	37	22	13	32	25	9	23	8	15	17	19	51	13	45	13	16	8	13	37	11	21	19	24					
		3.87%	3.08%	3.27%	2.11%	2.77%	4.28%	1.17%	2.15%	3.12%	3.07%	1.64%	1.86%	3.42%	2.23%	3.33%	8.94%	4.27%	7.89%	9.65%	14.28%	26.15%	5.34%	24.19%	7.30%	4.23%	3.63%	4.51%	13.96%	11.45%	9.05%	1.77%	2.09%					
28	"11. ""Истинные патриоты России"""	15	2	0	1	2	1	0	1	0	0	2	0	0	1	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1					
		0.08%	0.15%	0.0%	0.14%	0.19%	0.17%	0.0%	0.11%	0.0%	0.0%	0.14%	0.0%	0.0%	0.08%	0.0%	0.0%	0.53%	0.0%	0.0%	0.75%	0.0%	0.0%	1.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	160	13	10	6	18	8	1	10	7	8	11	12	9	12	2	3	0	1	0	0	0	4	1	5	5	0	0	0	0	0	0	14					
		0.91%	1.02%	0.93%	0.84%	1.72%	1.36%	0.39%	1.13%	0.95%	0.66%	0.82%	1.72%	0.96%	1.07%	0.74%	1.16%	0.0%	0.52%	0.0%	0.0%	0.0%	1.64%	0.53%	2.80%	1.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.22%					
30	"13. ""Демократическая партия России"""	38	1	2	1	2	1	0	1	1	9	3	3	1	1	0	1	2	2	0	0	0	0	0	0	0	0	3	0	0	0	3	1					
		0.21%	0.07%	0.18%	0.14%	0.19%	0.17%	0.0%	0.11%	0.13%	0.74%	0.22%	0.43%	0.10%	0.08%	0.0%	0.38%	1.06%	1.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.04%	0.0%	0.0%	0.0%	0.28%	0.08%					
31	"14. ""Великая Россия - Евразийский Союз"""	31	0	1	3	1	2	1	1	1	4	2	2	2	0	0	0	0	0	0	1	0	2	2	1	0	2	0	2	0	0	0	1					
		0.17%	0.0%	0.09%	0.42%	0.09%	0.34%	0.39%	0.11%	0.13%	0.33%	0.14%	0.28%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.75%	0.0%	0.82%	1.07%	0.56%	0.0%	0.90%	0.0%	0.75%	0.0%	0.0%	0.0%	0.08%					
32	"15. ""Партия СЛОН"""	43	0	4	4	0	0	2	1	2	4	6	0	1	5	0	0	0	0	0	0	0	3	0	3	0	0	0	0	1	1	3	3					
		0.24%	0.0%	0.37%	0.56%	0.0%	0.0%	0.78%	0.11%	0.27%	0.33%	0.44%	0.0%	0.10%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.23%	0.0%	1.68%	0.0%	0.0%	0.0%	0.0%	1.04%	0.43%	0.28%	0.26%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1815	186	111	92	130	58	10	106	98	140	123	77	70	89	31	14	12	4	17	2	2	55	4	3	25	43	14	7	3	18	94	177					
		10.34%	14.71%	10.39%	12.99%	12.44%	9.93%	3.90%	12.03%	13.31%	11.63%	9.21%	11.04%	7.50%	7.96%	11.48%	5.44%	6.41%	2.10%	9.65%	1.50%	1.02%	22.63%	2.15%	1.68%	6.61%	19.54%	4.86%	2.64%	3.12%	7.75%	8.79%	15.43%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	39	0	2	3	0	0	2	2	3	6	2	1	0	0	0	0	0	2	0	0	0	3	1	0	2	3	1	1	0	0	1	4					
		0.22%	0.0%	0.18%	0.42%	0.0%	0.0%	0.78%	0.22%	0.40%	0.49%	0.14%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	1.05%	0.0%	0.0%	0.0%	1.23%	0.53%	0.0%	0.52%	1.36%	0.34%	0.37%	0.0%	0.0%	0.09%	0.34%					
35	"18. ""ЛДПР"""	2376	142	135	68	125	56	48	114	101	144	177	122	97	172	43	28	21	29	29	9	11	34	18	16	47	39	23	26	15	23	264	200					
		13.54%	11.23%	12.64%	9.60%	11.96%	9.58%	18.75%	12.93%	13.72%	11.97%	13.25%	17.50%	10.39%	15.39%	15.92%	10.89%	11.22%	15.26%	16.47%	6.76%	5.64%	13.99%	9.67%	8.98%	12.43%	17.72%	7.98%	9.81%	15.62%	9.91%	24.69%	17.43%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	723	50	44	27	42	23	9	31	35	54	41	25	42	60	10	5	4	1	6	2	12	7	1	4	15	3	67	26	3	28	25	21					
		4.12%	3.95%	4.11%	3.81%	4.01%	3.93%	3.51%	3.51%	4.75%	4.48%	3.07%	3.58%	4.50%	5.37%	3.70%	1.94%	2.13%	0.52%	3.40%	1.50%	6.15%	2.88%	0.53%	2.24%	3.96%	1.36%	23.26%	9.81%	3.12%	12.06%	2.33%	1.83%					
