Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
"Наименование Избирательной комиссии:    Казань, Авиастроительная"																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	89784	2901	2712	2345	2503	2479	2523	2338	2513	2276	2584	2813	1931	2153	2601	1761	2675	2089	2649	2542	2622	1643	1993	1905	2090	1775	2800	2545	2814	1864	2856	2328	2374	72	189	930	2562	2957	456	2206	2466	1949									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	84420	2800	2500	2200	2300	2300	2400	2200	2400	2100	2500	2600	1800	2100	2400	1600	2600	1900	2500	2400	2500	1500	1900	1800	2000	1600	2600	2400	2700	1700	2700	2100	2200	120	200	900	2400	2800	400	2100	2400	1800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	44740	1410	1368	1203	1246	1216	1240	1203	1241	1113	1227	1424	1181	1055	1354	825	1332	1111	1340	1224	1482	653	1030	973	1078	896	1167	1152	1102	928	1284	1248	1059	72	186	485	1287	1421	299	1221	1376	1028									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2156	41	52	63	35	35	25	4	20	118	71	45	55	17	10	70	38	20	38	117	9	11	16	29	69	87	152	204	43	35	187	62	83	0	0	15	83	146	22	12	5	12									
6	Число погашенных избирательных бюллетеней	37524	1349	1080	934	1019	1049	1135	993	1139	869	1202	1131	564	1028	1036	705	1230	769	1122	1059	1009	836	854	798	853	617	1281	1044	1555	737	1229	790	1058	48	14	400	1030	1233	79	867	1019	760									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2156	41	52	63	35	35	25	4	20	118	71	45	55	17	10	70	38	20	38	117	9	11	16	29	69	87	152	204	43	35	187	62	83	0	0	15	83	146	22	12	5	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	44610	1406	1359	1201	1241	1211	1233	1201	1236	1110	1225	1421	1176	1053	1350	822	1327	1101	1338	1220	1480	650	1028	972	1076	893	1164	1150	1100	926	1283	1247	1055	72	186	482	1282	1419	297	1217	1374	1026									
9	Число недействительных избирательных бюллетеней	828	8	25	4	43	7	7	6	89	5	38	38	10	36	36	10	38	50	8	23	30	2	20	2	3	30	10	19	32	12	15	26	49	0	7	8	16	2	9	21	17	17									
10	Число действительных избирательных бюллетеней	45938	1439	1386	1260	1233	1239	1251	1199	1167	1223	1258	1428	1221	1034	1324	882	1327	1071	1368	1314	1459	659	1024	999	1142	950	1306	1335	1111	949	1455	1283	1089	72	179	489	1349	1563	310	1208	1362	1021									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2350	60	60	60	80	50	50	60	50	60	60	60	80	60	60	60	70	50	80	60	60	50	50	50	60	50	60	60	60	50	90	50	60	0	0	80	60	60	30	60	80	60									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1659	23	27	44	64	29	37	40	49	33	51	53	80	49	50	37	59	33	63	46	40	29	42	27	45	22	39	39	33	27	58	31	48	0	0	59	49	32	20	27	78	47									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1085	9	17	53	28	16	10	16	6	20	11	37	44	11	27	35	11	35	29	24	9	11	33	30	36	11	17	16	12	9	23	98	24	22	186	31	8	16	14	20	14	6									
14	Число погашенных неиспользованных открепительных удостоверений	691	37	33	16	16	21	13	20	1	27	9	7	0	11	10	23	11	17	17	14	20	21	8	23	15	28	21	21	27	23	32	19	12	0	0	21	11	28	10	33	2	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	74	1	7	1	2	1	0	3	3	4	0	3	3	1	3	0	4	4	2	1	1	1	2	1	2	3	1	1	2	0	2	1	2	0	0	2	2	4	0	2	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	399	6	5	17	14	14	14	7	21	2	26	13	3	23	10	1	7	2	18	3	18	1	22	1	10	9	11	11	14	11	12	11	20	0	2	1	6	4	2	5	9	13									
		0.85%	0.41%	0.35%	1.34%	1.10%	1.12%	1.11%	0.58%	1.67%	0.16%	2.01%	0.89%	0.24%	2.15%	0.74%	0.11%	0.51%	0.18%	1.31%	0.22%	1.21%	0.15%	2.11%	0.10%	0.87%	0.92%	0.84%	0.81%	1.22%	1.14%	0.82%	0.84%	1.76%	0.00%	1.08%	0.20%	0.44%	0.26%	0.63%	0.41%	0.65%	1.25%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	2770	112	97	71	87	88	91	16	42	51	53	90	103	34	86	63	91	55	28	118	98	60	10	75	80	71	92	76	43	74	99	61	66	3	4	35	103	125	26	85	37	71									
		5.92%	7.74%	6.87%	5.62%	6.82%	7.06%	7.23%	1.33%	3.34%	4.15%	4.09%	6.14%	8.37%	3.18%	6.32%	7.06%	6.67%	4.91%	2.03%	8.83%	6.58%	9.08%	0.96%	7.49%	6.99%	7.24%	6.99%	5.61%	3.76%	7.70%	6.73%	4.66%	5.80%	4.17%	2.15%	7.04%	7.55%	7.99%	8.15%	6.92%	2.68%	6.84%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	561	6	5	16	8	10	32	9	18	3	43	9	6	41	6	6	5	3	21	5	19	2	29	1	7	28	9	10	38	20	17	42	22	0	4	1	7	11	6	4	29	3									
		1.20%	0.41%	0.35%	1.27%	0.63%	0.80%	2.54%	0.75%	1.43%	0.24%	3.32%	0.61%	0.49%	3.83%	0.44%	0.67%	0.37%	0.27%	1.53%	0.37%	1.28%	0.30%	2.78%	0.10%	0.61%	2.86%	0.68%	0.74%	3.32%	2.08%	1.16%	3.21%	1.93%	0.00%	2.15%	0.20%	0.51%	0.70%	1.88%	0.33%	2.10%	0.29%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	33304	1036	1025	950	938	950	958	918	770	1040	637	1115	985	513	1019	672	1006	857	1026	1069	1101	523	785	774	869	499	980	1082	584	665	1092	695	643	57	125	391	1012	1100	222	912	958	751									
		71.21%	71.60%	72.64%	75.16%	73.51%	76.24%	76.15%	76.18%	61.31%	84.69%	49.15%	76.06%	80.02%	47.94%	74.93%	75.34%	73.70%	76.45%	74.56%	79.96%	73.94%	79.12%	75.19%	77.32%	75.90%	50.92%	74.47%	79.91%	51.09%	69.20%	74.29%	53.09%	56.50%	79.17%	67.20%	78.67%	74.14%	70.29%	69.59%	74.21%	69.47%	72.35%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	234	6	3	6	7	7	1	3	10	2	11	11	2	14	12	2	6	2	4	3	3	1	11	1	5	18	5	9	15	6	4	10	6	1	3	3	2	2	2	3	11	1									
		0.50%	0.41%	0.21%	0.47%	0.55%	0.56%	0.08%	0.25%	0.80%	0.16%	0.85%	0.75%	0.16%	1.31%	0.88%	0.22%	0.44%	0.18%	0.29%	0.22%	0.20%	0.15%	1.05%	0.10%	0.44%	1.84%	0.38%	0.66%	1.31%	0.62%	0.27%	0.76%	0.53%	1.39%	1.61%	0.60%	0.15%	0.13%	0.63%	0.24%	0.80%	0.10%									
24	"6. Политическая партия ""Гражданская Платформа"""	117	2	2	5	10	2	2	3	1	3	2	0	1	4	0	1	3	1	6	2	4	1	2	1	0	15	4	8	6	5	5	2	0	0	0	1	1	1	2	4	3	2									
		0.25%	0.14%	0.14%	0.40%	0.78%	0.16%	0.16%	0.25%	0.08%	0.24%	0.15%	0.00%	0.08%	0.37%	0.00%	0.11%	0.22%	0.09%	0.44%	0.15%	0.27%	0.15%	0.19%	0.10%	0.00%	1.53%	0.30%	0.59%	0.52%	0.52%	0.34%	0.15%	0.00%	0.00%	0.00%	0.20%	0.07%	0.06%	0.63%	0.33%	0.22%	0.19%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1987	83	69	52	23	14	36	22	88	33	169	29	22	119	48	49	44	38	57	6	42	8	26	5	47	101	28	16	160	43	18	181	113	2	15	5	37	17	15	38	33	36									
		4.25%	5.74%	4.89%	4.11%	1.80%	1.12%	2.86%	1.83%	7.01%	2.69%	13.04%	1.98%	1.79%	11.12%	3.53%	5.49%	3.22%	3.39%	4.14%	0.45%	2.82%	1.21%	2.49%	0.50%	4.10%	10.31%	2.13%	1.18%	13.99%	4.47%	1.22%	13.83%	9.93%	2.78%	8.06%	1.01%	2.71%	1.09%	4.70%	3.09%	2.39%	3.47%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	243	7	5	4	3	5	2	5	8	1	13	11	1	7	18	5	5	2	3	3	7	1	4	1	4	21	4	7	8	8	19	9	14	1	0	1	2	6	2	5	7	4									
		0.52%	0.48%	0.35%	0.32%	0.24%	0.40%	0.16%	0.41%	0.64%	0.08%	1.00%	0.75%	0.08%	0.65%	1.32%	0.56%	0.37%	0.18%	0.22%	0.22%	0.47%	0.15%	0.38%	0.10%	0.35%	2.14%	0.30%	0.52%	0.70%	0.83%	1.29%	0.69%	1.23%	1.39%	0.00%	0.20%	0.15%	0.38%	0.63%	0.41%	0.51%	0.39%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	221	5	5	6	7	3	5	9	11	2	16	11	2	8	5	1	4	1	7	2	5	1	14	1	1	11	5	5	11	5	4	11	8	1	3	2	5	3	1	4	6	4									
		0.47%	0.35%	0.35%	0.47%	0.55%	0.24%	0.40%	0.75%	0.88%	0.16%	1.23%	0.75%	0.16%	0.75%	0.37%	0.11%	0.29%	0.09%	0.51%	0.15%	0.34%	0.15%	1.34%	0.10%	0.09%	1.12%	0.38%	0.37%	0.96%	0.52%	0.27%	0.84%	0.70%	1.39%	1.61%	0.40%	0.37%	0.19%	0.31%	0.33%	0.44%	0.39%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	96	1	6	2	4	4	3	3	0	2	3	0	2	1	2	1	2	2	4	3	7	1	1	1	0	0	11	2	0	2	6	4	3	0	0	0	1	3	1	5	0	3									
		0.21%	0.07%	0.43%	0.16%	0.31%	0.32%	0.24%	0.25%	0.00%	0.16%	0.23%	0.00%	0.16%	0.09%	0.15%	0.11%	0.15%	0.18%	0.29%	0.22%	0.47%	0.15%	0.10%	0.10%	0.00%	0.00%	0.84%	0.15%	0.00%	0.21%	0.41%	0.31%	0.26%	0.00%	0.00%	0.00%	0.07%	0.19%	0.31%	0.41%	0.00%	0.29%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	735	8	7	15	17	10	21	28	12	4	27	26	6	20	15	9	14	8	14	2	26	2	7	1	11	39	14	37	29	17	18	27	11	0	3	2	12	157	4	31	12	12									
