Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																														
Дата голосования: 04.12.2011																																																																																																														
																																																																																																														
"Наименование Избирательной комиссии:    Курск, Центральная"																																																																																																														
																																																																																																														
Сводная таблица результатов выборов																																																																																																														
																																																																																																														
		Сумма	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201					
1	"Число избирателей, внесенных в список избирателей"	173710	722	1292	2332	2477	1133	1724	2081	2036	2232	1977	3055	2590	949	1939	678	2058	3037	2094	2210	2542	1281	2297	989	2319	2510	2052	1971	2030	1894	2477	2264	2235	2169	1161	2829	2776	2769	2566	2518	2216	2827	1502	2976	2149	1432	857	1036	1968	830	1148	1469	1357	1138	2690	1154	2286	1692	2531	1202	1990	905	1489	2025	1669	1602	1801	1415	2500	1943	2752	2787	1243	2251	2492	655	1863	1774	2191	1253	1735	289	1554	1533	2764	2766	505	2913	1411	2012	2854	89	26	671	254	188	124	72	68	78	119	203	46	111					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	142318	600	1100	1900	2000	950	1400	1700	1700	1800	1500	2250	2100	800	1550	550	1700	2500	1700	1800	2100	1050	1900	850	1900	2050	1700	1600	1650	1550	2050	1850	1800	1800	950	2300	2250	2250	2100	2050	1800	2300	1250	2400	1750	1200	700	850	1600	700	900	1200	1100	900	2000	950	1800	1500	2100	1000	1600	750	1250	1650	1350	1300	1500	1150	2050	1900	2250	2250	1000	1850	2050	550	1550	1450	1800	1000	1400	300	1300	1200	2250	2300	400	2300	1150	1650	2250	90	50	700	255	252	130	72	70	78	155	205	50	111					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	84645	319	620	987	1373	534	696	966	903	1112	1157	1629	1071	383	830	368	860	1999	961	1017	1192	531	986	307	1130	1178	966	908	851	832	1088	933	1022	948	577	1253	1236	1217	1157	1243	1023	1343	596	1092	870	610	390	594	1005	363	606	817	533	591	1315	570	1133	894	1489	707	1385	561	577	921	858	731	877	769	1181	1807	1253	1175	743	1178	1214	363	1087	890	950	449	1084	259	606	690	1387	1422	270	1149	648	1026	1220	88	26	671	253	188	124	72	61	78	119	197	46	111					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2194	3	28	16	27	18	27	28	31	46	328	18	31	12	46	20	38	14	39	11	30	9	25	1	22	15	7	15	4	8	15	17	10	11	8	23	9	6	7	0	6	21	4	24	48	38	11	16	28	9	57	32	20	15	45	14	32	26	31	27	9	16	17	29	43	27	17	25	34	0	23	36	6	9	27	14	35	28	47	26	29	0	47	24	14	9	6	14	5	25	19	0	0	0	0	0	0	0	7	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	55479	278	452	897	600	398	677	706	766	642	15	603	998	405	674	162	802	487	700	772	878	510	889	542	748	857	727	677	795	710	947	900	768	841	365	1024	1005	1027	936	807	771	936	650	1284	832	552	299	240	567	328	237	351	547	294	640	366	635	580	580	266	206	173	656	700	449	542	606	356	835	93	974	1039	251	663	809	173	428	532	803	525	287	41	647	486	849	869	124	1137	497	599	1011	2	24	29	2	64	6	0	2	0	36	8	4	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2194	3	28	16	27	18	27	28	31	46	328	18	31	12	46	20	38	14	39	11	30	9	25	1	22	15	7	15	4	8	15	17	10	11	8	23	9	6	7	0	6	21	4	24	48	38	11	16	28	9	57	32	20	15	45	14	32	26	31	27	9	16	17	29	43	27	17	25	34	0	23	36	6	9	27	14	35	28	47	26	29	0	47	24	14	9	6	14	5	25	19	0	0	0	0	0	0	0	7	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	84600	319	620	986	1372	533	696	965	903	1112	1157	1629	1071	382	830	368	860	1999	961	1017	1191	531	986	307	1130	1177	966	908	851	832	1088	933	1022	948	577	1253	1231	1211	1157	1243	1020	1343	596	1092	870	610	390	594	1004	363	605	817	533	591	1314	570	1133	894	1489	707	1381	559	577	921	858	731	877	769	1179	1807	1252	1175	743	1178	1213	363	1087	890	950	449	1084	259	606	690	1387	1411	270	1149	648	1026	1220	88	26	671	253	188	124	72	61	78	119	197	46	111					
9	Число недействительных избирательных бюллетеней	1195	4	7	12	24	13	15	14	10	16	57	22	14	9	11	5	11	39	12	17	10	9	14	6	13	19	15	8	8	15	15	12	9	15	6	9	19	17	11	18	17	10	5	15	10	7	8	6	16	5	15	14	7	11	23	12	18	3	19	6	13	6	9	15	14	7	4	10	15	28	7	19	6	23	24	9	20	12	11	7	0	0	7	16	13	31	2	13	5	14	12	0	0	7	5	4	4	1	4	0	4	5	2	0					
10	Число действительных избирательных бюллетеней	85599	318	641	990	1375	538	708	979	924	1142	1428	1625	1088	385	865	383	887	1974	988	1011	1211	531	997	302	1139	1173	958	915	847	825	1088	938	1023	944	579	1267	1221	1200	1153	1225	1009	1354	595	1101	908	641	393	604	1016	367	647	835	546	595	1336	572	1147	917	1501	728	1377	569	585	935	887	751	890	784	1198	1779	1268	1192	743	1164	1216	368	1102	906	986	468	1113	259	646	698	1388	1389	274	1150	648	1037	1227	88	26	664	248	184	120	71	64	78	115	192	44	111					
