Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																
Дата голосования: 18.09.2016																
																
Наименование Избирательной комиссии:    Нижнеколымская																
																
Сводная таблица итогов голосования по федеральному избирательному округу																
																
		Сумма	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	2738	1141	640	460	370	127									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3100	1200	600	600	500	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	155	0	0	84	46	25									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1453	642	290	250	187	84									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	76	25	11	20	16	4									
6	Число погашенных избирательных бюллетеней	1416	533	299	246	251	87									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	231	25	11	104	62	29									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1453	642	290	250	187	84									
9	Число недействительных избирательных бюллетеней	38	22	7	3	4	2									
10	Число действительных избирательных бюллетеней	1646	645	294	351	245	111									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	100	20	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	35	5	4	20	6	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	14	9	1	2	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	65	15	16	0	14	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	21	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0									
																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	30	13	6	5	3	3									
		1.78%	1.95%	1.99%	1.41%	1.20%	2.65%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	36	16	9	5	6	0									
		2.14%	2.40%	2.99%	1.41%	2.41%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	38	19	7	9	3	0									
		2.26%	2.85%	2.33%	2.54%	1.20%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	962	350	132	257	153	70									
		57.13%	52.47%	43.85%	72.60%	61.45%	61.95%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	5	0	3	1	1	0									
		0.30%	0.00%	0.99%	0.28%	0.40%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	0	2	1	2	0									
		0.30%	0.00%	0.66%	0.28%	0.80%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	222	107	56	15	30	14									
		13.18%	16.04%	18.60%	4.24%	12.05%	12.39%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	8	2	4	0	2	0									
		0.48%	0.30%	1.33%	0.00%	0.80%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	15	8	5	0	2	0									
		0.89%	1.20%	1.66%	0.00%	0.80%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	2	1	0	1									
		0.24%	0.00%	0.66%	0.28%	0.00%	0.88%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	10	7	0	1	0	2									
		0.59%	1.05%	0.00%	0.28%	0.00%	1.77%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	191	79	43	33	24	12									
		11.34%	11.84%	14.29%	9.32%	9.64%	10.62%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	2	1	1	0	0	0									
		0.12%	0.15%	0.33%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	118	43	24	23	19	9									
		7.01%	6.45%	7.97%	6.50%	7.63%	7.96%									
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
