Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																						
Дата голосования: 04.12.2011																																						
																																						
Наименование Избирательной комиссии:    Сегежская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505					
1	"Число избирателей, внесенных в список избирателей"	34809	1172	1178	2274	2410	2876	2553	2589	2505	2418	1928	1232	708	653	247	1784	1826	1733	392	675	113	404	78	214	179	494	268	328	178	194	1095	111					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31780	1100	1100	2100	2150	2650	2300	2350	2300	2200	1800	1150	500	550	250	1650	1700	1600	350	600	100	400	80	200	150	450	200	350	150	150	1050	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	15	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16320	400	559	1047	939	1506	1325	1314	1235	1224	934	657	307	225	67	936	848	858	121	301	48	169	33	112	73	191	143	131	82	68	429	38					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	764	13	12	34	92	28	24	13	8	23	20	19	144	5	7	15	26	44	8	12	3	20	11	2	14	36	29	16	5	14	64	3					
6	Число погашенных избирательных бюллетеней	14649	687	529	1019	1119	1116	951	1023	1057	953	846	474	49	320	176	699	826	698	221	287	49	211	36	86	63	223	28	171	63	68	542	59					
7	Число избирательных бюллетеней в переносных ящиках для голосования	811	13	12	34	92	28	24	13	8	23	20	19	144	5	7	15	26	44	8	12	3	20	11	2	14	36	29	48	5	14	79	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16305	400	558	1047	939	1506	1325	1313	1223	1224	933	657	307	225	67	936	848	858	121	301	48	169	33	112	73	191	143	131	82	68	429	38					
9	Число недействительных избирательных бюллетеней	382	12	8	41	21	23	38	38	25	23	27	16	17	2	2	12	25	18	2	10	0	4	0	3	1	1	1	0	2	0	9	1					
10	Число действительных избирательных бюллетеней	16734	401	562	1040	1010	1511	1311	1288	1206	1224	926	660	434	228	72	939	849	884	127	303	51	185	44	111	86	226	171	179	85	82	499	40					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	410	10	10	15	15	25	20	25	25	25	15	10	10	20	15	15	15	15	5	10	3	10	3	5	5	5	5	35	15	5	15	4					
